year	1995
imdb score	8.1
meta score	74
genre	Mystery
genre	Sci-Fi
genre	Thriller
keyword	virus
keyword	future
keyword	monkey
keyword	1990s
keyword	volunteer
keyword	animal
keyword	mental institution
keyword	underground
keyword	epidemic
keyword	past
keyword	murder
keyword	animal rights
keyword	kidnapping
keyword	disease
keyword	time travel
keyword	psychiatrist
keyword	contamination suit
keyword	tiger
keyword	prison
keyword	escaped mental patient
keyword	thumb's up sign
keyword	world war one
keyword	cassandra complex
keyword	laboratory
keyword	shooting
keyword	falling down stairs
keyword	newspaper headline
keyword	cross
keyword	skid row
keyword	fresno california
keyword	battle
keyword	jail
keyword	altering history
keyword	alternate reality
keyword	kick in face
keyword	alternate history
keyword	bum
keyword	deja vu
keyword	2030s
keyword	grizzly bear
keyword	key
keyword	nude pantyhose
keyword	police surveillance
keyword	lazy eye
keyword	bare butt
keyword	hearing voices
keyword	gun
keyword	obscene finger gesture
keyword	older version of self
keyword	paranoia
keyword	tooth
keyword	voice mail
keyword	biological weapon
keyword	watching tv
keyword	drooling
keyword	lion
keyword	pandemic
keyword	man punches woman
keyword	banquet
keyword	flashback within a flashback
keyword	shot to death
keyword	spider web
keyword	leopard
keyword	mri
keyword	cell phone
keyword	homeless man
keyword	florida keys
keyword	child's point of view
keyword	environment
keyword	trapped
keyword	decontamination
keyword	obsession
keyword	axe
keyword	blood
keyword	shot in the leg
keyword	street life
keyword	activism
keyword	doomsday
keyword	lab rabbit
keyword	spray paint
keyword	subterranean
keyword	microbiologist
keyword	revolver
keyword	nonlinear timeline
keyword	father son relationship
keyword	tooth extraction
keyword	attempted rape
keyword	party
keyword	male nudity
keyword	cartoon on tv
keyword	20th century
keyword	lab animal
keyword	mooning
keyword	nightmare
keyword	recurring dream
keyword	bullet
keyword	elephant
keyword	bad breath
keyword	person in a car trunk
keyword	auto theft
keyword	forced drug consumption
keyword	tango music
keyword	airport
keyword	telephone call
keyword	jail cell
keyword	pillow feathers
keyword	flophouse
keyword	escaped animal
keyword	public nudity
keyword	elevator
keyword	street preacher
keyword	giraffe
keyword	remake
keyword	ecoterrorism
keyword	beaten to death
keyword	santa claus suit
keyword	recording
keyword	nudity
keyword	nuevo tango
keyword	psychiatric hospital
keyword	speech
keyword	insanity
keyword	stockholm syndrome
keyword	mental breakdown
keyword	cockroach
keyword	prisoner
keyword	philadelphia pennsylvania
keyword	barn
keyword	germ
keyword	graffiti
keyword	trapped inside a pipe
keyword	year 1996
keyword	black comedy
keyword	21st century
keyword	seedy motel
keyword	secret
keyword	crotch grab
keyword	pulling tooth
keyword	lecture
keyword	biblical quote
keyword	baltimore maryland
keyword	wig
keyword	drug use
keyword	talking to self
keyword	time traveler
keyword	animal rights activist
keyword	tv news
keyword	death
keyword	sedative
keyword	police van
keyword	stairway
keyword	shower
keyword	airplane
keyword	watching a movie
keyword	remake of french film
keyword	trench warfare
keyword	metal detector
keyword	pursuit
keyword	undressing
keyword	policeman
keyword	stream
keyword	tied to a bed
keyword	dinner
keyword	plague
keyword	bear
keyword	male rear nudity
keyword	reference to cassandra
keyword	paradox
keyword	science
keyword	cult film
keyword	psycho ward
keyword	psychosis
keyword	real movie shown in fictional situation
keyword	violence
keyword	prison cell
keyword	future noir
keyword	gas mask
keyword	police
keyword	movie theater
keyword	disguise
keyword	pardon
keyword	year 1917
keyword	post apocalypse
keyword	dormitory
keyword	endless loop
keyword	mistaken identity
keyword	eating spider
keyword	taxi driver
keyword	virologist
keyword	therapist
keyword	spider
keyword	rescue
keyword	madness
keyword	hospital
keyword	boy
keyword	wheelchair
keyword	zoo
keyword	secret army
keyword	activist
keyword	biological research
keyword	flashback
keyword	hit in the crotch
keyword	desolation
keyword	eating insect
keyword	depopulation
keyword	reference to houdini
keyword	spacesuit
keyword	prank
keyword	sanitarium
keyword	memory
keyword	based on short film
keyword	dystopia
keyword	abandoned theater
keyword	sadness
keyword	insane asylum
keyword	pimp
keyword	psychiatric care
keyword	phony mustache
keyword	mental ward
keyword	red eyes
keyword	dream
keyword	asylum
keyword	black pantyhose
keyword	hobo
keyword	self dentistry
keyword	psychology
keyword	time loop
keyword	reference to einstein
keyword	taxi
keyword	christmas
keyword	chains
keyword	haunted by the past
keyword	chase
keyword	figment of imagination
keyword	surrealism
keyword	snow
keyword	vivisection
keyword	medical research
keyword	slow motion scene
keyword	dutch angle
keyword	neo noir
keyword	hiding in a barn
keyword	female stockinged legs
keyword	animal in title
keyword	animal noises
keyword	1910s
keyword	fugitive
keyword	shot in the back
keyword	pantyhose
keyword	year 1990
keyword	alternate timeline
keyword	number in title
keyword	title spoken by character
keyword	surprise ending
cast	Joseph Melito	Young Cole
cast	Bruce Willis	James Cole
cast	Jon Seda	Jose
cast	Michael Chance	Scarface
cast	Vernon Campbell	Tiny
cast	H. Michael Walls	Botanist
cast	Bob Adrian	Geologist
cast	Simon Jones	Zoologist
cast	Carol Florence	Astrophysicist
cast	Bill Raymond	Microbiologist
cast	Ernest Abuba	Engineer
cast	Irma St. Paule	Poet
cast	Madeleine Stowe	Kathryn Railly
cast	Joey Perillo	Detective Franki
cast	Bruce Kirkpatrick	Policeman No. 1
cast	Wilfred Williams	Policeman No. 2
cast	Rozwill Young	Billings
cast	Brad Pitt	Jeffrey Goines
cast	Nell Johnson	Ward Nurse
cast	Frederick Strother	L.J. Washington
cast	Rick Warner	Dr. Casey
cast	Frank Gorshin	Dr. Fletcher
cast	Anthony 'Chip' Brienza	Dr. Goodin
cast	Joilet Harris	Harassed Mother
cast	Drucie McDaniel	Waltzing Woman Patient
cast	John Blaisse	Old Man Patient
cast	Louis Lippa	Patient at Gate
cast	Stan Kang	X-Ray Doctor
cast	Pat Dias	WWI Captain
cast	Aaron Michael Lacey	WWI Sergeant
cast	David Morse	Dr. Peters
cast	Charles Techman	Professor
cast	Jann Ellis	Marilou
cast	Johnnie Hobbs Jr.	Officer No. 1
cast	Janet Zappala	Anchorwoman
cast	Thomas Roy	Evangelist
cast	Harry O'Toole	Louie / Raspy Voice
cast	Korchenko	Thug No. 1
cast	Chuck Jeffreys	Thug No. 2
cast	LisaGay Hamilton	Teddy
cast	Felix Pire	Fale
cast	Matt Ross	Bee
cast	Barry Price	Agent No. 1
cast	John Panzarella	Agent No. 2
cast	Christopher Plummer	Dr. Goines
cast	Larry Daly	Agent No. 3
cast	Arthur Fennell	Anchorman
cast	Karl Warren	Pompous Man
cast	Christopher Meloni	Lt. Halperin
cast	Paul Meshejian	Detective Dalva
cast	Robert O'Neill	Wayne
cast	Kevin Thigpen	Kweskin
cast	Lee Golden	Hotel Clerk
cast	Joseph McKenna	Wallace
cast	Jeff Tanner	Plain Clothes Cop
cast	Faith Potts	Store Clerk
cast	Michael Ryan Segal	Weller
cast	Annie Golden	Woman Cabbie
cast	Lisa Talerico	Ticket Agent
cast	Stephen Bridgewater	Airport Detective
cast	Ray Huffman	Plump Businessman
cast	Jodi Dawson	Gift Store Clerk
cast	Jack Dougherty	Airport Security No. 1
cast	Lenny Daniels	Airport Security No. 2
cast	Herbert C. Hauls Jr.	Airport Security No. 3
cast	Charley Scalies	Impatient Traveler
cast	Carolyn Walker	Terrified Traveler
cast	Tiffany Baldwin	Student in Airport
cast	C.J. Byrnes	Psychiatric Patient
cast	Phillip V. Caruso	French War Photographer
cast	Tom Detrik	FBI Agent
cast	Joe Gerety	Sprayer
cast	Laura Glas	Terrified Traveler #2
cast	John Hagy	Bus Passenger
cast	Adam Hatley	Drug Addict
cast	Bonnie Loev	Time Portal Nurse
cast	Julie Mabry	Prostitute
cast	Raymond Mamrak	Travler
cast	Sal Mazzotta	Prisoner Joey
cast	Roger Pratt	Man Tying Shoe in Hotel
cast	Allelon Ruggiero	Inpatient
cast	Richard Stanley	Man in Transit Lounge
cast	Thang	Monkey Member
