year	2005
imdb score	7.6
meta score	65
genre	Drama
keyword	12 year old
keyword	death
keyword	boy
keyword	twin
keyword	friend
keyword	picnic
keyword	sense of taste
keyword	thief
keyword	mother daughter relationship
keyword	loss of son
keyword	psychotherapist
keyword	interracial adoption
keyword	singer
keyword	wind
keyword	adoption
keyword	photograph
keyword	accident
keyword	baseball glove
keyword	gun
keyword	chainsaw
keyword	family relationships
keyword	christmas
keyword	trailer home
keyword	husband wife relationship
keyword	running away
keyword	flashlight
keyword	birthday
keyword	artificial respiration
keyword	arson
keyword	bicycle
keyword	policeman
keyword	loss of twin
keyword	prison
keyword	singing
keyword	nudity
keyword	halloween
keyword	fireworks
keyword	obesity
keyword	prison visitation
keyword	treehouse
keyword	12th birthday
keyword	murder
keyword	toilet
keyword	suicide
keyword	bulldozer
keyword	funeral
keyword	bunk bed
keyword	running
keyword	menstruation
keyword	children
keyword	bare chested male
keyword	talent show
keyword	blood
keyword	brother sister relationship
keyword	rain
keyword	wind chime
keyword	mother son relationship
keyword	construction site
keyword	mask
keyword	bare butt
keyword	anosmia
keyword	hostage
keyword	digging a grave
keyword	absent father
keyword	forgiveness
keyword	school
keyword	loss of taste
keyword	euthanasia
keyword	child killing a child
keyword	lipstick
keyword	psychotherapy
keyword	fire
keyword	african american
keyword	adolescence
keyword	friendship
keyword	food
keyword	crying
keyword	atheist
keyword	plastic surgery
keyword	childhood
keyword	flutist
keyword	wake
keyword	tears
keyword	birthmark
keyword	fourth of july
keyword	brother brother relationship
keyword	flashback
keyword	molotov cocktail
keyword	stepbrother stepbrother relationship
keyword	flute
keyword	gym class
keyword	gas leak
keyword	doctor
keyword	dieting
keyword	firefighter
keyword	underwear
keyword	shower
keyword	nurse
keyword	picnic basket
keyword	tampon
keyword	infatuation
keyword	male nudity
keyword	sense of smell
keyword	coming of age
keyword	mercy killing
keyword	girl man relationship
keyword	bicycle helmet
keyword	loneliness
keyword	father daughter relationship
keyword	police car
keyword	death of brother
keyword	teacher
keyword	love
keyword	burying a dead body
keyword	dancing
keyword	child uses a gun
keyword	classroom
keyword	theft
keyword	divorcee
keyword	breaking down a door
keyword	crush
keyword	time lapse photography
keyword	hockey mask
keyword	hospital
keyword	anger
keyword	urine
keyword	jogging
keyword	basement
keyword	apple
keyword	dancer
keyword	salad
keyword	father son relationship
keyword	dead body
keyword	construction worker
keyword	death of twin
keyword	nutrition
keyword	girl with glasses
keyword	revenge
keyword	coach
keyword	girl
keyword	class
keyword	song
keyword	precocious child
keyword	older man younger woman relationship
keyword	death of son
keyword	number in title
cast	Conor Donovan	Jacob / Rudy Carges
cast	Jesse Camacho	Leonard Fisher
cast	Zoe Weizenbaum	Malee Chuang
cast	Jeremy Renner	Gus Maitland
cast	Annabella Sciorra	Carla Chuang
cast	Jayne Atkinson	Ashley Carges
cast	Linus Roache	Jim Carges
cast	Marcia DeBonis	Grace Fisher
cast	Tom McGowan	Patrick Fisher
cast	Michael C. Fuchs	Kenny
cast	Martin Campetta	Jeff
cast	Joseph Foster	Keith Gardner
cast	Max Miner	Tommy
cast	Noelle 'Parker' Present	Haley Fisher
cast	Jessica Sorto	Sara Fisher
cast	Adam LeFevre	Gabe Artunion
cast	Bruce Altman	Coach Gilmore
cast	Mark Linn-Baker	Mr. Farmer
cast	Julia Ryan	Funeral Guest #1
cast	Terry Walters	Funeral Guest #2
cast	Robertson Carricart	Priest
cast	Tony Roberts	Doctor
cast	Marcella Lowery	Nurse
cast	Jodie Markell	Teacher
cast	Bianca Ryan	Singing Girl
cast	Merritt Wever	Debbie Poole
cast	Michael A. Siravo IV	Guitar Guy
cast	Emilio Cuesta	Kid in Red
