year	1988
imdb score	5.9
meta score	N/A
genre	Action
genre	Crime
genre	Drama
genre	Thriller
keyword	cia
keyword	drugs
keyword	vietnam
keyword	martial arts
keyword	explosive
keyword	murder
keyword	immigrant
keyword	detective
keyword	police
keyword	church
keyword	senator
keyword	vietnam war
keyword	priest
keyword	hot pursuit
keyword	action hero
keyword	quick draw
keyword	gangster
keyword	cigar smoking
keyword	vigilante justice
keyword	arm breaking
keyword	rescue
keyword	police badge
keyword	punched in the stomach
keyword	mp 40 machine gun
keyword	shotgun
keyword	alley fight
keyword	knife
keyword	flirting
keyword	policewoman
keyword	karate
keyword	buddy cop
keyword	vietnam veteran
keyword	opening action scene
keyword	police partner
keyword	machete
keyword	cult film
keyword	showdown
keyword	hospital
keyword	bone breaking
keyword	sword
keyword	bulletproof vest
keyword	pistol
keyword	black belt
keyword	blood
keyword	fight
keyword	hit on the head
keyword	colt .45
keyword	needle
keyword	martial arts master
keyword	f word
keyword	hired killer
keyword	glove
keyword	good versus evil
keyword	urban setting
keyword	fistfight
keyword	sword fight
keyword	explosion
keyword	foot chase
keyword	police vigilantism
keyword	hand to hand combat
keyword	bloody nose
keyword	crime boss
keyword	held at gunpoint
keyword	ride on top of car
keyword	gun
keyword	unarmed man killed
keyword	italian american
keyword	rogue cop
keyword	on top of car
keyword	violence
keyword	sermon
keyword	blood splatter
keyword	bartender
keyword	disarming someone
keyword	ambush
keyword	thrown through glass
keyword	death of boss
keyword	shootout
keyword	martial arts school
keyword	disobeying orders
keyword	lead actor's first film
keyword	martial artist
keyword	six shooter
keyword	hitman
keyword	vigilantism
keyword	tough guy
keyword	tough cop
keyword	social commentary
keyword	police brutality
keyword	asian woman
keyword	chicago illinois
keyword	assassination attempt
keyword	capture
keyword	drug addict
keyword	hit with a gun butt
keyword	hero
keyword	m 16
keyword	surveillance
keyword	one against many
keyword	revolver
keyword	bar fight
keyword	gunfight
keyword	pimp
keyword	semiautomatic pistol
keyword	internal affairs
keyword	suspended cop
keyword	torture
keyword	punched in the face
keyword	kendo
keyword	suspense
keyword	gun fu
keyword	maverick cop
keyword	bar brawl
keyword	thrown out a window
keyword	opium
keyword	fighting
keyword	severed hand
keyword	brutal cop
keyword	catholic
keyword	stalking
keyword	brutality
keyword	telephone call
keyword	beating
keyword	hand cut off
keyword	machine gun
keyword	back broken
keyword	punched in the nose
keyword	indoor parking lot
keyword	aikido
keyword	pump action shotgun
keyword	death of friend
keyword	title spoken by character
cast	Steven Seagal	Nico Toscani
cast	Pam Grier	Delores 'Jacks' Jackson
cast	Henry Silva	Kurt Zagon
cast	Ron Dean	Detective Lukich
cast	Daniel Faraldo	Tony Salvano
cast	Sharon Stone	Sara Toscani
cast	Miguel Nino	Chi Chi Ramon
cast	Nicholas Kusenko	FBI Agent Neeley
cast	Joe Greco	Father Joseph Gennaro
cast	Chelcie Ross	Nelson Fox
cast	Gregory Alan Williams	FBI Agent Halloran
cast	Jack Wallace	Uncle Branca
cast	Metta Davis	Rosa Toscani
cast	Joseph F. Kosala	Lieutenant Strozah
cast	Ronnie Barron	CIA Bartender
cast	Joe D. Lauck	Senator Ernest Harrison
cast	Henry Godinez	Father Tomasino
cast	Danny Goldring	Zagon's Aide
cast	Thalmus Rasulala	Deputy Supt. Crowder
cast	Gene Barge	Detective Henderson
cast	Mike James	Officer O'Hara
cast	India Cooper	Sister Mary, Sanctuary Nun
cast	Michelle Hoard	Lucy
cast	Christopher Peditto	Alex, the Pimp
cast	Rafael González	Carlos Abandano, Cocaine Lawyer
cast	Nydia Rodriguez Terracina	Bomb Woman
cast	Cheryl Hamada	Watanabe
cast	Ralph Foody	Federal Clerk
cast	Vince Viverito	Giuseppe
cast	Alex Ross	Luigi
cast	Toni Fleming	Grandma Zingaro
cast	Gene Hartline	Man in Bar
cast	Tom Milanovich	Man in Bar
cast	Dan Janecek	Man in Bar
cast	Michael Rooker	Man in Bar
cast	Lee de Broux	CIA Interrogator
cast	Patrick Gorman	CIA Interrogator
cast	Gary Goldman	CIA Interrogator
cast	Le Tuan	Interpreter
cast	Dennis Phun	Asian Prisoner
cast	April Tran	Asian Prisoner
cast	Chantara Nop	Cambodian Irregular
cast	Al Rasho	Grocery Store Owner
cast	Mike Coglianese	Branca's Bodyguard
cast	Sandy Holt	Hostess
cast	Mike Nakayama	NEC Show Rep
cast	Zaid Farid	Street Dude
cast	Juan Ramírez	Machete Man
cast	Mario Nieves	Man with Gun
cast	Terry Stewart	Machete Man's Buddy
cast	Anthony Cannata	Wiseguy Hitman
cast	Lisa Tejero	Refugee Woman
cast	Chris Karchmar	Refugee Man
cast	John Drummond	TV Reporter
cast	Clare Peck	Judge Roberta Alspaugh
cast	Tom Muzila	Aikido Fighter
cast	Craig Dunn	Aikido Fighter
cast	Marc Katz	Aikido Fighter
cast	Haruo Matsuoka	Aikido Fighter
cast	Fred Degerberg	Bar Drunk
cast	Robert Minkoff	Bit
cast	Richard Nixon	Himself - in Speech
cast	Thi Kim Phuc Phan	Herself - Napalmed Young Vietnamese Girl
cast	Timothy W. Tiedje	CIA Thug
