year	1986
imdb score	8.5
meta score	87
genre	Action
genre	Adventure
genre	Sci-Fi
genre	Thriller
keyword	alien
keyword	space marine
keyword	nightmare
keyword	rescue
keyword	rescue mission
keyword	warrior
keyword	sequel
keyword	cryogenics
keyword	monster
keyword	cat
keyword	extraterrestrial
keyword	stasis
keyword	alien planet
keyword	escape
keyword	tank
keyword	cult film
keyword	cult film
keyword	acid
keyword	tragedy
keyword	christ allegory
keyword	violence
keyword	protector
keyword	motion sensor
keyword	jumping through a window
keyword	power outage
keyword	human body alien host
keyword	egg
keyword	hand grenade
keyword	cocoon
keyword	black humor
keyword	bare chested male
keyword	self sacrifice
keyword	ambush
keyword	dark humor
keyword	dismemberment
keyword	corrupting influence of capitalism
keyword	critique of capitalism
keyword	face slap
keyword	falling through the floor
keyword	homing beacon
keyword	strong female character
keyword	reverse footage
keyword	spaceship
keyword	warrior woman
keyword	malnutrition
keyword	torn in half
keyword	character's point of view camera shot
keyword	friendly fire
keyword	person on fire
keyword	alien hunter
keyword	bio organic weapon
keyword	impalement
keyword	female pilot
keyword	slow motion scene
keyword	suspended animation
keyword	female soldier
keyword	crushed to death
keyword	conspiracy
keyword	alien contact
keyword	famous line
keyword	terraforming
keyword	lieutenant
keyword	parenthood
keyword	heroism
keyword	naivety
keyword	blockbuster
keyword	character repeating someone else's dialogue
keyword	tracking device
keyword	child in peril
keyword	future
keyword	surprise after end credits
keyword	xenomorph
keyword	blood
keyword	action heroine
keyword	slide locked back
keyword	pistol
keyword	laboratory
keyword	trapped in space
keyword	loyalty
keyword	woman slaps a man
keyword	technology
keyword	alien intrusion
keyword	shotgun
keyword	video footage
keyword	nuclear explosion
keyword	22nd century
keyword	one word title
keyword	shot in the chest
keyword	friendship
keyword	love
keyword	brotherhood
keyword	exploding body
keyword	creature feature
keyword	disobeying orders
keyword	blood splatter
keyword	alien hunt
keyword	hiding under a bed
keyword	crawling through an air shaft
keyword	bravery
keyword	flamethrower
keyword	finger gun
keyword	megacorporation
keyword	android
keyword	exploding ship
keyword	burnt face
keyword	reference to snow white
keyword	cigarette smoking
keyword	crushed head
keyword	betrayal
keyword	combat
keyword	burned alive
keyword	stabbed in the back
keyword	grenade launcher
keyword	orchestral music score
keyword	corporal
keyword	swarm tactic
keyword	redemption
keyword	childhood innocence
keyword	cryonics
keyword	space colony
keyword	strong female lead
keyword	hit by a car
keyword	elevator
keyword	subjective camera
keyword	gothic
keyword	promise
keyword	parasite
keyword	concussion
keyword	honor
keyword	poetic justice
keyword	2100s
keyword	spacecraft
keyword	mother figure
keyword	soldier
keyword	mother daughter relationship
keyword	power suit
keyword	body snatching
keyword	second part
keyword	cigar smoking
keyword	head blown off
keyword	cowardice
keyword	murder of family
keyword	knife game
keyword	suicide
keyword	death
keyword	shot through the mouth
keyword	space travel
keyword	dissection
keyword	pull ups
keyword	obscene finger gesture
keyword	impregnation
keyword	dream sequence
keyword	torso cut in half
keyword	siege
keyword	shot to death
keyword	machine gun
keyword	alien breeding
keyword	spacesuit
keyword	slime
keyword	human versus alien
keyword	fish out of water
keyword	sergeant
keyword	child's point of view
keyword	outer space
keyword	female protagonist
keyword	explosion
keyword	lens flare
keyword	reluctant hero
cast	Sigourney Weaver	Ellen Ripley
cast	Carrie Henn	Rebecca 'Newt' Jorden
cast	Michael Biehn	Cpl. Dwayne Hicks
cast	Paul Reiser	Carter Burke
cast	Lance Henriksen	Bishop
cast	Bill Paxton	Pvt. Hudson
cast	Jenette Goldstein	Pvt. Vasquez
cast	William Hope	Lt. Gorman
cast	Al Matthews	Sgt. Apone
cast	Mark Rolston	Pvt. Drake
cast	Ricco Ross	Pvt. Frost
cast	Colette Hiller	Cpl. Ferro
cast	Daniel Kash	Pvt. Spunkmeyer
cast	Cynthia Dale Scott	Cpl. Dietrich
cast	Tip Tipping	Pvt. Crowe
cast	Trevor Steedman	Pvt. Wierzbowski
cast	Paul Maxwell	Van Leuwen
cast	Valerie Colgan	ECA Representative
cast	Alan Polonsky	Insurance Man
cast	Alibe Parsons	Med Tech
cast	Blain Fairman	Doctor
cast	Barbara Coles	Cocooned Woman
cast	Carl Toop	Alien Warrior
cast	John Lees	Power Loader Operator
