year	1973
imdb score	7.5
meta score	N/A
genre	Comedy
genre	Drama
keyword	night
keyword	college
keyword	school
keyword	car
keyword	high school
keyword	summer
keyword	cruising
keyword	rock 'n' roll
keyword	love
keyword	drag racing
keyword	gang
keyword	california
keyword	coming of age
keyword	teenager
keyword	americana
keyword	young love
keyword	teen romance
keyword	cable
keyword	drive in restaurant
keyword	slumber party
keyword	reference to connie stevens
keyword	underage drinking
keyword	liquor store hold up
keyword	radio station
keyword	music band
keyword	white panties
keyword	gunshot
keyword	car movie
keyword	buttocks
keyword	ensemble cast
keyword	school life
keyword	listening to the radio
keyword	reflection
keyword	rock music
keyword	two word title
keyword	juvenile
keyword	street gang
keyword	panties
keyword	thunderbird
keyword	adolescence
keyword	reference to the lone ranger
keyword	teen rebel
keyword	dance
keyword	nudity
keyword	reference to buddy holly
keyword	vandalism
keyword	underage
keyword	dance contest
keyword	prank
keyword	high school dance
keyword	teenage love
keyword	reference to john f. kennedy
keyword	reference to albert einstein
keyword	ford coupe
keyword	radio dj
keyword	cadillac
keyword	reference to dick clark
keyword	teenage girl
keyword	school dance
keyword	radio
keyword	twist the dance
keyword	high school student
keyword	delinquent
keyword	shy girl
keyword	gymnasium
keyword	upskirt
keyword	1955 chevrolet
keyword	shaving cream
keyword	airliner
keyword	fight
keyword	reference to the beach boys
keyword	sexual awakening
keyword	diner
keyword	high school love
keyword	forbidden love
keyword	police
keyword	auto theft
keyword	airplane
keyword	car crash
keyword	underwear
keyword	generation gap
keyword	semi autobiographical
keyword	fistfight
keyword	year 1962
keyword	dream girl
keyword	brother sister relationship
keyword	car salesman
keyword	what happened to epilogue
keyword	dating
keyword	high school sweethearts
keyword	school yearbook
keyword	disc jockey
keyword	vomit
keyword	adolescent romance
keyword	telephone box
keyword	teen love
keyword	unrequited love
keyword	robber
keyword	liquor store
keyword	angst
keyword	watching tv
keyword	first love
keyword	airport
keyword	blockbuster
keyword	teenage romance
keyword	mechanic
keyword	automobile
keyword	d.j.
keyword	greaser
keyword	small town
keyword	singing
keyword	teen angst
keyword	mooning
keyword	friendship
keyword	tape recording
keyword	reference to johnny ace
keyword	love at first sight
keyword	crash
keyword	boyfriend girlfriend relationship
keyword	nerd
keyword	student
keyword	1960s
keyword	car hop
keyword	car accident
keyword	making out
keyword	robbery
keyword	jukebox
keyword	teenager
keyword	cult film
keyword	street racing
keyword	tears
keyword	ambiguous title
keyword	convertible
keyword	scooter
keyword	country name in title
keyword	police car
keyword	multi protagonist
keyword	motor bike
keyword	yearbook
keyword	hot rod
keyword	boy with glasses
keyword	popsicle
keyword	police officer
keyword	teenage boy
keyword	teen movie
keyword	roadster
keyword	punched in the face
keyword	one day
keyword	reference to sandra dee
keyword	teenager
keyword	dancing
keyword	roller skates
keyword	hoodlum
keyword	independent film
keyword	surprise ending
keyword	
cast	Richard Dreyfuss	Curt
cast	Ron Howard	Steve
cast	Paul Le Mat	John
cast	Charles Martin Smith	Terry
cast	Cindy Williams	Laurie
cast	Candy Clark	Debbie
cast	Mackenzie Phillips	Carol
cast	Wolfman Jack	Disc Jockey
cast	Bo Hopkins	Joe
cast	Manuel Padilla Jr.	Carlos
cast	Beau Gentry	Ants
cast	Harrison Ford	Bob Falfa
cast	Jim Bohan	Holstein
cast	Jana Bellan	Budda
cast	Deby Celiz	Wendy
cast	Lynne Marie Stewart	Bobbie
cast	Terence McGovern	Mr. Wolfe
cast	Kathleen Quinlan	Peg
cast	Timothy F. Crowley	Eddie
cast	Scott Beach	Mr. Gordon
cast	John Brent	Car Salesman
cast	Gordon Analla	Bozo
cast	John Bracci	Station Attendant
cast	Jody Carlson	Girl in Studebaker
cast	Del Close	Man at Bar
cast	Chuck Dorsett	Man at Accident
cast	Stephen Knox	Kid at Accident
cast	Joe Miksak	Man at Liquor Store
cast	George Meyer	Bum at Liquor Store
cast	James Cranna	Thief
cast	Johnny Weissmuller Jr.	Badass #1
cast	William Niven	Clerk at Liquor Store
cast	Al Nalbandian	Hank
cast	Bob Pasaak	Dale
cast	Christopher Pray	Al
cast	Susan Richardson	Judy
cast	Fred Ross	Ferber
cast	Jan Dunn	Old Woman
cast	Charlie Murphy	Old Man
cast	Ed Greenberg	Kip
cast	Lisa Herman	Girl in Dodge
cast	Mark Anger	Mr. Kroot
cast	Kay Lenz	Jane
cast	Caprice Schmidt	Announcer at Dance
cast	Joe Spano	Vic
cast	Debralee Scott	Falfa's Girl
cast	Ron Vincent	Jeff
cast	Donna Wehr	Carhop
cast	Cam Whitman	Balloon Girl
cast	Jan Wilson	Girl at Dance
cast	Suzanne Somers	Blonde in T-Bird
cast	Warren Knight	Herby and the Heartbeats
cast	Sam McFadin	Herby and the Heartbeats
cast	Kris Moe	Herby and the Heartbeats
cast	Linn Phillips III	Herby and the Heartbeats
cast	George Robinson	Herby and the Heartbeats
cast	Linda Christensen	Girl
