year	2003
imdb score	7.6
meta score	90
genre	Biography
genre	Comedy
genre	Drama
keyword	comic book
keyword	clerk
keyword	artist
keyword	writing
keyword	reading
keyword	greeting card
keyword	jellybean
keyword	garage sale
keyword	underground
keyword	celebrity
keyword	robert crumb
keyword	v.a. hospital
keyword	junk sale
keyword	co worker
keyword	fame
keyword	1980s
keyword	hospital
keyword	joyce barber
keyword	file clerk
keyword	lentil
keyword	vocal cords
keyword	american dream
keyword	superhero
keyword	love
keyword	friend
keyword	champagne
keyword	telephone call
keyword	cake
keyword	teacher
keyword	1960s
keyword	ohio
keyword	yelling
keyword	donut
keyword	hair loss
keyword	curmudgeon
keyword	reference to walt kelly
keyword	underwear
keyword	father daughter relationship
keyword	stoicism
keyword	writing teacher
keyword	loser
keyword	bohemian
keyword	school bus
keyword	watching tv
keyword	record collector
keyword	ice skating
keyword	throat doctor
keyword	reference to robin the character
keyword	prison teacher
keyword	vomit
keyword	collector
keyword	cancer
keyword	laryngitis
keyword	computer
keyword	neurotic
keyword	nerd
keyword	reference to superman
keyword	diner
keyword	cynicism
keyword	megalomania
keyword	record player
keyword	family relationships
keyword	illustrator
keyword	talk show in plot
keyword	cat
keyword	thrift store
keyword	voice over narration
keyword	reference to marlon brando
keyword	depression
keyword	money
keyword	restaurant
keyword	student
keyword	interview
keyword	kiss
keyword	stick figure
keyword	breaking the fourth wall
keyword	new york city
keyword	internal monologue
keyword	low self esteem
keyword	reference to the little mermaid
keyword	reference to jennie gerhardt
keyword	green room
keyword	reference to theodore dreiser
keyword	old woman
keyword	anemia
keyword	bathroom
keyword	american splendor the comic book
keyword	boy
keyword	halloween
keyword	eating disorder
keyword	discographer
keyword	toilet
keyword	book signing
keyword	college student
keyword	movie reality crossover
keyword	obsession
keyword	psychoanalysis
keyword	cosmic comics
keyword	husband wife relationship
keyword	autism
keyword	doctor
keyword	loud shirt
keyword	tape recorder
keyword	red chinese ballet
keyword	vasectomy
keyword	recital
keyword	stoic
keyword	guitarist
keyword	cafe
keyword	nun
keyword	lymphoma
keyword	luggage
keyword	bakery
keyword	supermarket
keyword	chemotherapy
keyword	shower
keyword	prison
keyword	theatre production
keyword	delusion of grandeur
keyword	telephone
keyword	illness
keyword	theatre audience
keyword	animated sequence
keyword	1950s
keyword	letter
keyword	toledo ohio
keyword	jazz music
keyword	cleveland ohio
keyword	television studio
keyword	based on comic
keyword	hotel room
keyword	holding hands
keyword	based on autobiography
keyword	vow of silence
keyword	talking to mirror
keyword	reference to david letterman
keyword	graffiti
keyword	adopted daughter
keyword	coupon
keyword	college
keyword	comic book art
keyword	lent
keyword	food allergy
keyword	marriage
keyword	dysfunctional family
keyword	loneliness
keyword	self referential
keyword	recording
keyword	halloween costume
keyword	play within a film
keyword	railway station
keyword	airplane
keyword	anger
keyword	cynic
keyword	grandmother grandson relationship
keyword	friendship
keyword	dark horse comics
keyword	adoption
keyword	retirement party
keyword	based on comic book
keyword	obsessive compulsive disorder
keyword	1970s
keyword	plebian
keyword	vegetarian
keyword	trick or treating
keyword	retirement
keyword	fight
keyword	paranoia
keyword	comic book shop
keyword	cult figure
keyword	airport
keyword	class
keyword	divorce
keyword	part animation
keyword	rock music
keyword	reference to white castle restaurant
keyword	compulsiveness
keyword	reference to batman
keyword	phd
keyword	mtv
keyword	scratching
keyword	hamburger
keyword	reference to mark twain
keyword	veterans hospital
keyword	cartoonist
keyword	bitterness
keyword	blue collar
keyword	listening to music
cast	Chris Ambrose	Superman
cast	Joey Krajcar	Batman
cast	Josh Hutcherson	Robin
cast	Cameron Carter	Green Lantern
cast	Daniel Tay	Young Harvey
cast	Mary Faktor	Housewife
cast	Paul Giamatti	Harvey Pekar
cast	Harvey Pekar	Real Harvey
cast	Shari Springer Berman	Interviewer
cast	Larry John Meyers	Throat Doctor
cast	Vivienne Benesch	Lana
cast	Barbara Brown	Nurse
cast	Earl Billings	Mr. Boats
cast	Danny Hoch	Marty
cast	James Urbaniak	Robert Crumb
cast	Eli Ganias	Pahls
cast	Sylvia Kauders	Old Jewish Lady
cast	Rebecca Borger	Cashier
cast	Nick Baxter	Mattress Guy #1
cast	Allen Branstein	Mattress Guy #2
cast	Dick Prochaska	WW II Patient
cast	Charles Eduardos	Doctor
cast	Judah Friedlander	Toby Radloff
cast	Robert Pulcini	Bob The Director
cast	Toby Radloff	Real Toby
cast	Bianca Santos	Counter Girl
cast	Maggie Moore	Alice Quinn
cast	Hope Davis	Joyce Brabner
cast	Mike Rad	Rand
cast	Amy K. Harmon	Cheery Waitress
cast	Joyce Brabner	Real Joyce
cast	Donal Logue	Stage Actor Harvey
cast	Molly Shannon	Stage Actor Joyce
cast	Eytan Mirsky	Guitarist
cast	Rob Grader	Stage Manager
cast	Terrence Sullivan	Letterman Regular
cast	Ebon Moss-Bachrach	MTV Director
cast	Patrick Lafferty	Yuppie
cast	Jesse Perez	Miguel
cast	Jeff Peters	Talk Show Host
cast	Ola Creston	PA #1
cast	Robert J. Williams	Cancer Doctor
cast	James McCaffrey	Fred
cast	Madylin Sweeten	Danielle
cast	Danielle Batone	Real Danielle
cast	Jason Stevens	Letterman Regular Voice
cast	Todd Cummings	Talk Show Host Voice
cast	Rae Sunshine Lee	Cashier
cast	Marcus Wynnycky	Comic Book Fan
