year	2009
imdb score	7.3
meta score	85
genre	Drama
keyword	oxford
keyword	1960s
keyword	boy
keyword	latin
keyword	money
keyword	teenage girl
keyword	coming of age
keyword	reference to edward burne jones
keyword	grief
keyword	reference to shakespeare's king lear
keyword	bordeaux st germaine paris
keyword	infidelity
keyword	reference to prince rainier of monaco
keyword	cigarette lighter
keyword	reference to jacques brel
keyword	supper
keyword	reference to william shakespeare
keyword	bourgeoisie
keyword	rock 'n' roll
keyword	tea party
keyword	string orchestra
keyword	teacher student relationship
keyword	16 year old
keyword	travel
keyword	snowing
keyword	school friend
keyword	jazz music
keyword	photography
keyword	youth orchestra
keyword	swindler
keyword	coward
keyword	impostor
keyword	singing
keyword	schoolgirl
keyword	wealth
keyword	teddy boy
keyword	kitchen
keyword	london england
keyword	stuffed armadillo
keyword	girls' school
keyword	love
keyword	title directed by female
keyword	englishwoman abroad
keyword	year 1961
keyword	bare chested male
keyword	record player
keyword	mirror
keyword	house for sale
keyword	englishman abroad
keyword	thief
keyword	auction
keyword	mother son relationship
keyword	loss of virginity
keyword	teenage boy
keyword	umbrella
keyword	age difference
keyword	father daughter relationship
keyword	old man
keyword	birthday cake
keyword	partner in crime
keyword	reading
keyword	deception
keyword	westminster abbey london
keyword	greyhound
keyword	champagne
keyword	classroom
keyword	reference to edward elgar
keyword	song
keyword	nightclub
keyword	cigarette smoking
keyword	flowers
keyword	lie
keyword	forgery
keyword	singing in french
keyword	reference to minnie mouse
keyword	tears
keyword	badminton
keyword	west end london
keyword	walking with a book on one's head
keyword	dancing in the street
keyword	older man younger woman relationship
keyword	student
keyword	theft
keyword	hairy chest
keyword	reference to jane eyre
keyword	bicycle
keyword	reference to maurice ravel
keyword	egg beater
keyword	seduction
keyword	paris france
keyword	secret
keyword	scam artist
keyword	reference to virgil
keyword	birthday
keyword	bus
keyword	fur coat
keyword	seine river
keyword	dictionary
keyword	private school
keyword	drinking
keyword	art theft
keyword	taking picture
keyword	dancing
keyword	painting
keyword	teacher
keyword	virginity
keyword	adultery
