year	1999
imdb score	6.7
meta score	61
genre	Comedy
genre	Crime
keyword	psychiatrist
keyword	mafia
keyword	wedding
keyword	mafia boss
keyword	fbi
keyword	gun
keyword	fantasy sequence
keyword	therapist
keyword	second marriage
keyword	undercover
keyword	freud
keyword	jewish
keyword	impotence
keyword	panic attack
keyword	counsellor
keyword	mistress
keyword	crying gangster
keyword	murder
keyword	closure
keyword	satire
keyword	canceled wedding
keyword	dream sequence
keyword	hitman
keyword	mob summit
keyword	disturbed childhood
keyword	miami florida
keyword	police
keyword	cow
keyword	restaurant
keyword	spoof
keyword	father son relationship
keyword	ruined life
keyword	1990s
keyword	prison
keyword	stupidity
keyword	fountain
keyword	attempted murder
keyword	anger
keyword	gay slur
keyword	getaway
keyword	pillow
keyword	shotgun
keyword	falling out a window
keyword	death
keyword	betrayal
keyword	oedipus complex
keyword	guilt
keyword	new york
keyword	reference to mark twain
keyword	gangster
keyword	shark tank
keyword	doctor patient relationship
keyword	rivalry
keyword	machine gun
keyword	infidelity
keyword	new york city
keyword	fender bender
keyword	father in law
keyword	helicopter
keyword	deception
cast	Robert De Niro	Paul Vitti
cast	Billy Crystal	Dr. Ben Sobel
cast	Lisa Kudrow	Laura MacNamara Sobel
cast	Chazz Palminteri	Primo Sidone
cast	Kresh Novakovic	'50s Gangster
cast	Bart Tangredi	Young Vitti Sr.
cast	Michael Straka	Young Dominic Manetta
cast	Joseph Rigano	Dominic Manetta
cast	Joe Viterelli	Jelly
cast	Richard C. Castellano	Jimmy Boots
cast	Molly Shannon	Caroline
cast	Max Casella	Nicky Shivers
cast	Frank Pietrangolare	Tuna
cast	Kyle Sabihy	Michael Sobel
cast	Bill Macy	Dr. Isaac Sobel
cast	Rebecca Schull	Dorothy Sobel
cast	Pat Cooper	Salvatore Masiello
cast	Leo Rossi	Carlo Mangano
cast	Aasif Mandvi	Dr. Shulman
cast	Neil Pepe	Carl
cast	Tony Darrow	Moony
cast	Michael Haley	Producer
cast	Ian Marioles	Soundman
cast	Donnamarie Recco	Sheila
cast	Vince Cecere	Tino
cast	Jimmie Ray Weeks	FBI Agent Steadman
cast	Bob Cea	FBI Agent Ricci
cast	William Hill	FBI Agent Provano
cast	Ira Wheeler	Scott MacNamara
cast	Luce Ennis	Belinda MacNamara
cast	Elizabeth Bracco	Marie Vitti
cast	Gina Gallagher	Theresa Vitti
cast	Francesca Mari	Anna Vitti
cast	Vinny Vella Jr.	Anthony Vitti
cast	Mickey Bruno	Miami Soldier
cast	Dave Corey	Miami Hall Guard
cast	Fred Workman	Justice of the Peace
cast	Daniel W. Barringer	Dream Sequence Gunman
cast	John Polce	Dream Sequence Gunman
cast	Drew Eliot	Priest at Funeral
cast	Grace DeSena	Tommy Angels' Widow
cast	New York Joe Catalfumo	Exuberant Mourner
cast	Michael Guarino Jr.	Stevie Beef
cast	Michael Harkins	Paretti's Family
cast	Paula Raflo	Paretti's Family
cast	Ondine Harris	Paretti's Family
cast	Matthew Vega	Paretti's Family
cast	Clem Caserta	Handsome Jack
cast	Tony Ray Rossi	Potatoes
cast	Judith Kahan	Elaine Felton
cast	Ted Neustadt	Rabbi
cast	Pasquale Cajano	Joe Baldassare
cast	Gene Ruffini	Frankie Zello
cast	Alfred Sauchelli Jr.	Mo-Mo
cast	Tony DiBenedetto	Johnny 'Bigs'
cast	Frank Aquilino	Eddie 'Cokes'
cast	Tony Bennett	Himself
cast	Albert Anastasia	Himself
cast	Joseph Bonanno	Himself
cast	Frank Costello	Himself
cast	Albert Gallo	Himself
cast	Joe Gallo	Himself
cast	Larry Gallo	Himself
cast	Carlo Gambino	Himself
cast	Vito Genovese	Himself
cast	Kenny Alfonso	Car Chase Driver
cast	Tracie Bruce	Bikini Girl
cast	Phillip V. Caruso	Wedding Photographer
cast	Anthony Caso	Johnny Angel
cast	Neal A. Corl	Mafia Bodyguard
cast	Richard D'Alessandro	Gangster
cast	Trish Dempsey	Hotel Guest
cast	Tony Devon	Bobby Angel
cast	Russell Gibson	Mafio Capo
cast	Michael Rothberger	Soldier
cast	Anthony Russo	Mafia Bodyguard
