year	1979
imdb score	8.5
meta score	90
genre	Drama
genre	War
keyword	colonel
keyword	jungle
keyword	army
keyword	boat
keyword	captain
keyword	vietnam
keyword	river
keyword	navy
keyword	tribe
keyword	green beret
keyword	insanity
keyword	cambodia
keyword	special forces
keyword	vietnam war
keyword	patrol boat
keyword	hypocrisy
keyword	soldier
keyword	helicopter
keyword	battle
keyword	cavalry
keyword	violence
keyword	bridge
keyword	general
keyword	massacre
keyword	guerilla base
keyword	lieutenant colonel
keyword	vietcong vietnam
keyword	tropical disease
keyword	fire
keyword	tank
keyword	secret mission
keyword	rain
keyword	1960s
keyword	chief petty officer
keyword	radio transmission
keyword	exploding helicopter
keyword	allegory
keyword	puppy
keyword	madness
keyword	assassin
keyword	explosion
keyword	journalist
keyword	tape recorder
keyword	slaughter
keyword	firework
keyword	water skiing
keyword	fighting
keyword	atrocity
keyword	cigar smoking
keyword	military
keyword	colonialism
keyword	imagery
keyword	male nudity
keyword	idolatry
keyword	cia agent
keyword	mythological
keyword	spear
keyword	journalism
keyword	opium smoking
keyword	cult
keyword	surrealism
keyword	topless
keyword	army base
keyword	god complex
keyword	assassination plot
keyword	government assassin
keyword	warfare
keyword	helicopter pilot
keyword	playboy playmate
keyword	male rear nudity
keyword	american soldier
keyword	beer
keyword	nikon camera
keyword	ceiling fan
keyword	mango
keyword	opium pipe
keyword	decapitation
keyword	bare breasts
keyword	drug abuse
keyword	united states navy
keyword	odyssey
keyword	tiger
keyword	road movie
keyword	medal
keyword	napalm
keyword	air strike
keyword	bugle
keyword	moral transformation
keyword	woman smoking cigar
keyword	psychedelic
keyword	machine gun
keyword	dark hero
keyword	chopper
keyword	topless female nudity
keyword	rainstorm
keyword	army life
keyword	lsd
keyword	explosive
keyword	death
keyword	body paint
keyword	missile
keyword	voice over narration
keyword	united states army
keyword	bull decapitation
keyword	cult film
keyword	air cavalry
keyword	nihilism
keyword	assassination
keyword	campfire
keyword	mud
keyword	female nudity
keyword	animal sacrifice
keyword	knife
keyword	gatling gun
keyword	wagner's ride of the valkyries
keyword	helicopter raid
keyword	exploding car
keyword	montagnard
keyword	priest
keyword	wagner
keyword	riverboat
keyword	animal abuse
keyword	cia
keyword	exploding bridge
keyword	temple
keyword	flamethrower
keyword	no title at beginning
keyword	poetry
keyword	magazine
keyword	machete
keyword	regicide
keyword	metaphor
keyword	guerrilla warfare
keyword	marijuana
keyword	roadboatmovie
keyword	famous line
keyword	saigon vietnam
keyword	lieutenant general
keyword	modern day adaptation
keyword	plantation
keyword	air raid
keyword	severed head
keyword	evacuation
keyword	actual animal killed
keyword	spear through chest
keyword	pacifism
keyword	villain played by lead actor
keyword	combat
keyword	awol
keyword	imperialism
keyword	racism
keyword	morality
keyword	military officer
keyword	no opening credits
keyword	water buffalo
keyword	jungle warfare
keyword	beach
keyword	graffiti
keyword	surfing
keyword	uniform
keyword	surfboard
keyword	black humor
keyword	chaos
keyword	native
keyword	head on a stake
keyword	independent film
keyword	based on novel
keyword	
cast	Marlon Brando	Colonel Walter E. Kurtz
cast	Martin Sheen	Captain Benjamin L. Willard
cast	Robert Duvall	Lieutenant Colonel Bill Kilgore
cast	Frederic Forrest	Jay 'Chef' Hicks
cast	Sam Bottoms	Lance B. Johnson
cast	Laurence Fishburne	Tyrone 'Clean' Miller
cast	Albert Hall	Chief Phillips
cast	Harrison Ford	Colonel Lucas
cast	Dennis Hopper	Photojournalist
cast	G.D. Spradlin	General Corman
cast	Jerry Ziesmer	Jerry, Civilian
cast	Scott Glenn	Lieutenant Richard M. Colby
cast	Bo Byers	MP Sergeant #1
cast	James Keane	Kilgore's Gunner
cast	Kerry Rossall	Mike from San Diego
cast	Ron McQueen	Injured Soldier
cast	Tom Mason	Supply Sergeant
cast	Cynthia Wood	Playmate of the Year
cast	Colleen Camp	Playmate, Miss May
cast	Linda Carpenter	Playmate
cast	Jack Thibeau	Soldier in Trench
cast	Glenn Walken	Lieutenant Carlsen
cast	George Cantero	Soldier with Suitcase
cast	Damien Leake	Machine Gunner
cast	Herb Rice	Roach
cast	William Upton	Spotter
cast	Larry Carney	MP Sergeant #2
cast	Marc Coppola	AFRS Announcer
cast	Daniel Kiewit	Major from New Jersey
cast	Father Elias	Catholic Priest
cast	Bill Graham	Agent
cast	Hattie James	Mrs. Miller, Clean's Mother
cast	Jerry Ross	Johnny from Malibu / Mike from San Diego
cast	Dick White	Helicopter Pilot
cast	Christian Marquand	Hubert de Marais
cast	Aurore Clément	Roxanne Sarrault
cast	Michel Pitton	Philippe de Marais
cast	Frank Villard	Gaston de Marais
cast	David Olivier	Christian de Marais
cast	Chrystel Le Pelletier	Claudine
cast	Robert Julian	The Tutor
cast	Yvon LeSeaux	Sergeant Le Fevre
cast	Roman Coppola	Francis de Marais
cast	Gian-Carlo Coppola	Gilles de Marais
cast	Henri Sadardeil	French Soldier #1
cast	Gilbert Renkens	French Soldier #2
cast	Don Gordon Bell	Soldier
cast	Francis Ford Coppola	Director of TV Crew
cast	R. Lee Ermey	Eagle Thrust Seven Helicopter Pilot
cast	Jim Gaines	Extra
cast	Evan A. Lottman	Soldier
cast	Nick Nicholson	Soldier
cast	Linn Phillips III	Guitarist in Band
cast	Pierre Segui	French Soldier
cast	Charlie Sheen	Extra
cast	Vittorio Storaro	TV Photographer
cast	Henry Strzalkowski	Bit Part
cast	Lonnie 'Lono' Woodley	Helicopter Skid Marine
