year	1995
imdb score	7.6
meta score	77
genre	Adventure
genre	Drama
genre	History
keyword	space
keyword	astronaut
keyword	apollo 13
keyword	nasa
keyword	moon
keyword	spacecraft
keyword	lunar mission
keyword	outer space
keyword	survival
keyword	explosion
keyword	1970s
keyword	interview
keyword	helicopter
keyword	shaving chest
keyword	wedding ring
keyword	vest
keyword	footsteps
keyword	duct tape
keyword	reference to richard nixon
keyword	military academy
keyword	motel
keyword	disaster
keyword	medical
keyword	countdown
keyword	video camera
keyword	hope
keyword	moon landing
keyword	baseball
keyword	press conference
keyword	zero gravity
keyword	emergency
keyword	1960s
keyword	aircraft carrier
keyword	florida
keyword	character repeating someone else's dialogue
keyword	press
keyword	team
keyword	nightgown
keyword	flight simulator
keyword	mother son relationship
keyword	physician
keyword	trapped in space
keyword	photographer
keyword	command center
keyword	lunar module
keyword	ship
keyword	computer
keyword	imax version
keyword	pope
keyword	measles
keyword	news footage
keyword	space disaster
keyword	rocket
keyword	halloween
keyword	simulation
keyword	nursing home
keyword	inspiring story
keyword	reference to christopher columbus
keyword	gadget
keyword	number 13 in title
keyword	chewing gum
keyword	historical
keyword	urinary tract infection
keyword	reference to isaac newton
keyword	saturn v rocket
keyword	against the odds
keyword	improvisation
keyword	spacesuit
keyword	shower
keyword	cape kennedy
keyword	reference to johnny cash
keyword	news report
keyword	engineer
keyword	launch
keyword	urine
keyword	uniform
keyword	congressman
keyword	fantasy sequence
keyword	houston texas
keyword	television news
keyword	father daughter relationship
keyword	party
keyword	mother daughter relationship
keyword	voice over narration
keyword	oxygen
keyword	husband wife relationship
keyword	wisconsin
keyword	south pacific
keyword	space program
keyword	vomit
keyword	premarital sex
keyword	air pressure
keyword	media
keyword	spacecraft accident
keyword	father son relationship
keyword	doctor
keyword	what happened to epilogue
keyword	bare chested male
keyword	responsibility
keyword	cameo appearance by real life subject
keyword	race against time
keyword	dream
keyword	watching tv
keyword	dolly zoom
keyword	space exploration
keyword	famous line
keyword	two word title
keyword	national air and space administration
keyword	blockbuster
keyword	reporter
keyword	courage
keyword	station
keyword	nightmare
keyword	technology
keyword	reference to the beatles
keyword	marriage
keyword	photograph
keyword	decision
keyword	optimism
keyword	flashlight
keyword	urination
keyword	reference to dick cavett
keyword	u.s. space program
keyword	blackboard
keyword	math
keyword	based on true story
keyword	based on book
keyword	title spoken by character
keyword	number in title
keyword	
cast	Tom Hanks	Jim Lovell
cast	Bill Paxton	Fred Haise
cast	Kevin Bacon	Jack Swigert
cast	Gary Sinise	Ken Mattingly
cast	Ed Harris	Gene Kranz
cast	Kathleen Quinlan	Marilyn Lovell
cast	Mary Kate Schellhardt	Barbara Lovell
cast	Emily Ann Lloyd	Susan Lovell
cast	Miko Hughes	Jeffrey Lovell
cast	Max Elliott Slade	Jay Lovell
cast	Jean Speegle Howard	Blanch Lovell
cast	Tracy Reiner	Mary Haise
cast	David Andrews	Pete Conrad
