year	1993
imdb score	5.1
meta score	N/A
genre	Action
genre	Thriller
keyword	snow
keyword	chase
keyword	murder
keyword	independent film
cast	Rutger Hauer	Ben Corbett
cast	Dylan Walsh	Eric Desmond
cast	Rya Kihlstedt	Anne Marie
cast	Johnny Cuthbert	Lemalle
cast	John 'Bear' Curtis	Mitchell
cast	Bill Croft	'Viking' Bob Corbett
cast	Richard Bradford	Wilder
cast	Kevin Cooney	Meyerling
cast	Michael Lawrenchuk	Earl Kenai
cast	Stephen E. Miller	Arthur Neff
cast	Gunargie O'Sullivan	Dixie
cast	J.B. Bivens	Sportsman #1
cast	Michael St. John Smith	Sportsman #2
cast	Ron Chartier	Sportsman #3
cast	Dan Shea	Pilot
cast	Sacha Moiseiwitsch	Whore
