year	1995
imdb score	6.2
meta score	N/A
genre	Action
genre	Crime
genre	Thriller
keyword	assassin
keyword	thief
keyword	russian
keyword	floppy disk
keyword	rival
keyword	computer
keyword	hitman
keyword	radio controlled toy
keyword	warrior
keyword	detroit michigan
keyword	left wing politics
keyword	seattle washington
keyword	mexican standoff
keyword	hidden camera
keyword	revenge
keyword	enemy
keyword	pantyhose
keyword	gun
keyword	crisis of conscience
keyword	held at gunpoint
keyword	violence
keyword	left wing
keyword	computer cracker
keyword	defenselessness
keyword	woman in jeopardy
keyword	female impersonation
keyword	female thief
keyword	misanthropy
keyword	killers
keyword	cat
keyword	hotel
keyword	predator turns victim
keyword	kidnapping
keyword	stylized violence
keyword	tough guy
keyword	action hero
keyword	1990s
keyword	national rifle association
keyword	perverted
keyword	helicopter
keyword	cia
keyword	one word title
keyword	bank
keyword	bank account
keyword	woman with a gun
keyword	assassination plot
keyword	silencer
keyword	invasion of privacy
keyword	contract killer
keyword	money transfer
keyword	love
keyword	hypocrisy
keyword	explosion
keyword	police officer killed
keyword	political propaganda
keyword	faked death
keyword	paranoia
keyword	gunman
keyword	shootout
keyword	suicide
keyword	rivalry
keyword	bulletproof vest
keyword	opening action scene
keyword	gun fu
keyword	sniper rifle
keyword	instant messaging
keyword	bitch
keyword	pro choice
keyword	voyeur
keyword	vandal
keyword	vulnerable
keyword	maine coon cat
keyword	escape from custody
keyword	sniper
keyword	psychopath
keyword	voyeurism
keyword	female criminal
keyword	gas explosion
keyword	bulletproof glass
keyword	sociopath
keyword	damsel in distress
keyword	female stockinged legs
keyword	national rifle association
keyword	loss of friend
keyword	competition
keyword	dual wield
keyword	diskette
keyword	cat lover
keyword	assassination
keyword	turning the tables
keyword	chase
keyword	evil versus evil
keyword	killer vs killer
keyword	suit
keyword	hotel fight
keyword	motel
keyword	white bitch
keyword	pervert
keyword	one last job
keyword	propaganda
keyword	animal in cast credits
keyword	female impersonator
keyword	hired killer
keyword	villain turns good
keyword	anti fur
keyword	sadist
keyword	vandalism
keyword	thick accent
keyword	apartment
keyword	redheaded woman
keyword	neo noir
keyword	policewoman killing
keyword	death
keyword	rescue
keyword	ginger
keyword	vulnerability
keyword	evil man
keyword	interpol
keyword	cemetery
keyword	arm in cast
keyword	anti hero
keyword	assassination attempt
keyword	gunslinger
keyword	evil woman
keyword	caribbean
keyword	home invasion
keyword	bad guy
keyword	monorail
keyword	mercilessness
keyword	cat and mouse
keyword	privacy
keyword	on the run
keyword	deception
keyword	right to privacy
keyword	woman with gun
keyword	west indies
keyword	abandoned hotel
keyword	day of the dead
keyword	mexico
keyword	carjacking
keyword	hero
keyword	suspense
keyword	murder
keyword	black pantyhose
keyword	police chase
keyword	gun violence
keyword	pistol
keyword	double cross
keyword	preachy
keyword	voyeuristic
keyword	falling from height
keyword	cat lady
keyword	machismo
keyword	one man army
keyword	e mail
keyword	surprise ending
cast	Sylvester Stallone	Robert Rath
cast	Antonio Banderas	Miguel Bain
cast	Julianne Moore	Electra
cast	Anatoli Davydov	Nicolai Tashlinkov
cast	Muse Watson	Ketcham
cast	Steve Kahan	Alan Branch
cast	Kelly Rowan	Jennifer, Electra's Neighbor
cast	Reed Diamond	Bob
cast	Kai Wulff	Remy
cast	Kerry Skalsky	Buyer with Remy
cast	James Douglas Haskins	Buyer with Remy
cast	Stephen Liska	Cop
cast	John Harms	Cop
cast	Edward J. Rosen	Cemetery Caretaker
cast	Christina Orchid	Dowager
cast	Bruce R. Orchid	Cabbie
