year	1997
imdb score	7.0
meta score	51
genre	Comedy
genre	Crime
genre	Sci-Fi
keyword	1990s
keyword	agent
keyword	spy
keyword	british
keyword	1960s
keyword	secret agent
keyword	spoof
keyword	free love
keyword	evil man
keyword	penis pump
keyword	run over by a steamroller
keyword	sexual promiscuity
keyword	mother daughter relationship
keyword	double entendre
keyword	james bond spoof
keyword	nuclear threat
keyword	reference to margaret thatcher
keyword	hero from the past
keyword	cryonics
keyword	man with glasses
keyword	father son relationship
keyword	robot
keyword	british army
keyword	burned alive
keyword	reference to prince charles
keyword	femme fatale
keyword	hot tub
keyword	scene during end credits
keyword	female nudity
keyword	breaking the fourth wall
keyword	sexy agent
keyword	bad pun
keyword	8 track
keyword	one night stand
keyword	written by star
keyword	soldier
keyword	fish out of water
keyword	compact disc
keyword	outer space
keyword	nightclub
keyword	gadget
keyword	future shock
keyword	laughing
keyword	sexual overtones
keyword	group therapy
keyword	irish stereotype
keyword	good versus evil
keyword	female spy
keyword	beavis and butt head
keyword	marriage
keyword	reanimation
keyword	punctuation in title
keyword	sphynx cat
keyword	model
keyword	reference to janis joplin
keyword	casino
keyword	female agent
keyword	urination
keyword	loneliness
keyword	surrealism
keyword	penis enlarger
keyword	first of series
keyword	trapdoor
keyword	dance
keyword	reverse footage
keyword	barefoot
keyword	condom reference
keyword	absurd violence
keyword	pants around ankles
keyword	twister the game
keyword	reference to oprah winfrey
keyword	female assassin
keyword	reference to princess diana
keyword	united nations
keyword	summer of love
keyword	reference to andy warhol
keyword	tour
keyword	retro style secret agent
keyword	evil plot
keyword	bullet firing bra
keyword	dental floss
keyword	disguise
keyword	airplane
keyword	garrote
keyword	reference to mama cass
keyword	spy spoof
keyword	escape pod
keyword	culture clash
keyword	gadget car
keyword	product placement
keyword	cult film
keyword	irish
keyword	desert
keyword	reference to lucky charms cereal
keyword	time travel
keyword	year 1967
keyword	psychedelia
keyword	culture shock
keyword	teeth
keyword	assassination attempt
keyword	actor playing multiple roles
keyword	cryogenics
keyword	reference to jimi hendrix
keyword	unprotected sex
keyword	knocked out
keyword	head in a toilet
keyword	pistol
keyword	posing as husband and wife
keyword	explosion
keyword	man disguised as a woman
keyword	reference to liberace
keyword	single parent
keyword	implied nudity
keyword	desert eagle
keyword	eye patch
keyword	invincible henchman
keyword	revenge
keyword	tank
keyword	photographer
keyword	actor playing both hero and villain
keyword	las vegas nevada
keyword	cat
keyword	gadgetry
keyword	sex with a robot
keyword	british stereotype
keyword	hairy chest
keyword	factory
keyword	british secret service
keyword	exploding head
keyword	fish
keyword	shootout
keyword	texan stereotype
keyword	assassin
keyword	telescope
keyword	bass
keyword	jumping fish
keyword	reference to frankenstein
keyword	london england
keyword	cartoon on tv
keyword	penthouse apartment
keyword	big boy statue
keyword	korean
keyword	hotel
keyword	android
keyword	male nudity
keyword	character name in title
cast	Mike Myers	Austin Powers / Dr. Evil
cast	Elizabeth Hurley	Vanessa Kensington
cast	Michael York	Basil Exposition
cast	Mimi Rogers	Mrs. Kensington
cast	Robert Wagner	Number Two
cast	Seth Green	Scott Evil
cast	Fabiana Udenio	Alotta Fagina
cast	Mindy Sterling	Frau Farbissina
cast	Paul Dillon	Patty O'Brien
cast	Charles Napier	Cmdr. Gilmour
cast	Will Ferrell	Mustafa
cast	Joann Richter	'60s Model
cast	Anastasia Sakelaris	'60s Model
cast	Afifi Alaouie	'60s Model
cast	Monet Mazur	Mod Girl
cast	Mark Bringelson	Andy Warhol
cast	Clint Howard	Johnson Ritter
cast	Elya Baskin	Gen. Borschevsky
cast	Carlton Lee Russell	Gary Coleman
cast	Daniel Weaver	Vanilla Ice
cast	Neil Mullarkey	Quartermaster Clerk
cast	Lea Sullivan	Go-Go Dancer
cast	Chekesha Van Putten	Go-Go Dancer
cast	Heather Marie Marsden	Go-Go Dancer
cast	Sarah Christine Smith	Go-Go Dancer
cast	Laura Payne-Gabriel	Go-Go Dancer
cast	Joe Son	Random Task
cast	Tyde Kierny	Las Vegas Tourist
cast	Larry Thomas	Casino Dealer
cast	Cheryl Bartel	Fembot
cast	Cindy Margolis	Fembot
cast	Donna W. Scott	Fembot
cast	Barbara Ann Moore	Fembot
cast	Cynthia Lamontagne	Fembot
cast	Brian George	UN Secretary
cast	Kaye Wade	Mrs. Exposition
cast	Steve Monroe	Son
cast	Vince Melocchi	Dad
cast	Patrick Bristow	Bolton, Virtucon Tour Guide
cast	Jim McMullan	American UN Representative
cast	Robin Gammell	British UN Representative
cast	Ted Kairys	Eastern European Technician
cast	Burt Bacharach	Himself
cast	Douglas Aarniokoski	Voice on Dr. Evil's Telephone
cast	Lana Antonova	Go-Go Dancer
cast	Tom Arnold	Cowboy
cast	Kira Burt	Valet Attendant
cast	Neill Calabro	Dancer Behind British Flag Girls
cast	Bruno Campolo	Underground Worker
cast	Lois Chiles	Steamrolled Henchman's Wife
cast	Lisa Danielle	Skater
