year	1990
imdb score	7.7
meta score	74
genre	Biography
genre	Drama
keyword	patient
keyword	coma
keyword	hope
keyword	doctor
keyword	medical experiment
keyword	1930s
keyword	one word title
keyword	violence
keyword	time warp
keyword	sadness
keyword	earthworm
keyword	encephalitis lethargica
keyword	anger
keyword	1960s
keyword	frustration
keyword	dying
keyword	man with glasses
keyword	diaper change
keyword	neurologist
keyword	hospital
keyword	bronx new york city
keyword	title directed by female
keyword	cynicism
keyword	doctor patient relationship
keyword	psychiatric hospital
keyword	paralytic
keyword	medical profession
keyword	drug testing
keyword	sleeping sickness
keyword	happiness
keyword	influenza
keyword	illness
keyword	miracle
keyword	catatonia
keyword	death
keyword	wheelchair
keyword	based on novel
keyword	based on true story
cast	Robert De Niro	Leonard Lowe
cast	Robin Williams	Dr. Malcolm Sayer
cast	Julie Kavner	Eleanor Costello
cast	Ruth Nelson	Mrs. Lowe
cast	John Heard	Dr. Kaufman
cast	Penelope Ann Miller	Paula
cast	Alice Drummond	Lucy
cast	Judith Malina	Rose
cast	Barton Heyman	Bert
cast	George Martin	Frank
cast	Anne Meara	Miriam
cast	Richard Libertini	Sidney
cast	Laura Esterman	Lolly
cast	Dexter Gordon	Rolando
cast	Jayne Haynes	Frances
cast	Le Clanché du Rand	Magda
cast	Yusef Bulos	Joseph
cast	Steven Randazzo	Luis
cast	Gloria Harper	Dottie
cast	Gwyllum Evans	Desmond
cast	Mary Catherine Wright	Nurse Beth
cast	Mary Alice	Nurse Margaret
cast	Keith Diamond	Anthony
cast	Steve Vinovich	Ray
cast	Tiger Haynes	Janitor
cast	John Christopher Jones	Dr. Sullivan
cast	Bradley Whitford	Dr. Tyler
cast	Max von Sydow	Dr. Peter Ingham
cast	Harvey Miller	Hospital Director
cast	Tanya Berezin	Psychiatrist
cast	Peter Stormare	Neurochemist
cast	Shane Fistell	Man in Hall
cast	Waheedah Ahmad	Hysterical Woman
cast	Charles Keating	Mr. Kean
cast	Christina Huertes	Christina
cast	Linda Burns	Fishsticks
cast	Judy Jacksina	Hospital Receptionist
cast	Gary Tacon	George, Security Guard
cast	Rico Elias	Orderly #1
cast	Mel Gorham	Nurse Sara
cast	Chris Carolan	EEG Technician
cast	Debra Kovner-Zaks	Cafeteria Nurse
cast	Max Rabinowitz	Ward #5 Orderly
cast	Gordon Joseph Weiss	Ward #5 Patient
cast	Byron Utley	Ward #5 Patient #2
cast	Anthony McGowen	Ward #5 Patient #3
cast	Paul Montgomery	Ward #5 Patient #4
cast	Leonard Tepper	Ward #5 Patient #5
cast	Vincent Pastore	Ward #5 Patient #6
cast	Howard Feller	Ward #5 Patient #7
cast	Libby Titus	Club Singer
cast	Michael Hyde	Bus Driver
cast	Tomislav Novakovic	Bartender
cast	Adam Bryant	Librarian
cast	Anthony J. Nici	Young Leonard
cast	Oliver Block	Leonard's Friend #1
cast	Buck Smith	Leonard's Friend #2
cast	Joan E. MacIntosh	Teacher
cast	Harry L. Seddon	Medical Student
cast	Vin Diesel	Hospital Orderly
cast	Heather Rose Dominic	Neighborhood Girl
cast	Tom Farrell	Patient on Film
cast	Michael Hurley	Orderly
cast	James Medina	
cast	Jack Mulcahy	Intern on Psych Ward
cast	Jan Saint	Man Hit with Ball
