year	2011
imdb score	5.7
meta score	47
genre	Comedy
keyword	teacher
keyword	school
keyword	breasts
keyword	foul mouth
keyword	flash forward
keyword	woman with glasses
keyword	turtle
keyword	mercedes
keyword	slow motion scene
keyword	car driving
keyword	female protagonist
keyword	bare breasts
keyword	humor
keyword	talking while driving
keyword	classroom
keyword	basketball court
keyword	drinking
keyword	high speed in reverse
keyword	two word title
keyword	dry humping
keyword	birthday cake
keyword	school bus
keyword	sexual humor
keyword	dodgeball
keyword	bus
keyword	little black dress
keyword	car
keyword	low self esteem
keyword	f word
keyword	drink
keyword	vulgarity
keyword	smoking pot
keyword	impersonating abraham lincoln
keyword	sexy teacher
keyword	singing in a car
keyword	sunglasses
keyword	cactus
keyword	daisy dukes
keyword	coffee
keyword	black humor
keyword	hallway
keyword	blackboard
keyword	champagne
keyword	irony
keyword	shorts
keyword	singing on bus
keyword	alcoholic teacher
keyword	female teacher
keyword	singing on a bus
keyword	car wash
keyword	sarcasm
keyword	ball
keyword	man with glasses
keyword	profanity
keyword	hit with a ball
keyword	washing car
cast	Cameron Diaz	Elizabeth Halsey
cast	Lucy Punch	Amy Squirrel
cast	Jason Segel	Russell Gettis
cast	Justin Timberlake	Scott Delacorte
cast	Phyllis Smith	Lynn Davies
cast	John Michael Higgins	Principal Wally Snur
cast	Dave Allen	Sandy Pinkus
cast	Jillian Armenante	Ms. Pavicic
cast	Matthew J. Evans	Garrett Tiara
cast	Kaitlyn Dever	Sasha Abernathy
cast	Kathryn Newton	Chase Rubin-Rossi
cast	Igal Ben Yair	Arkady
cast	Aja Bair	Devon
cast	Andra Nechita	Gaby
cast	Noah Munck	Tristan
cast	Finneas O'Connell	Spencer / Twilight
cast	Daniel Castro	Rodrigo
cast	Adrian Kali Turner	Shawn
cast	Eric Stonestreet	Kirk
cast	Thomas Lennon	Carl Halabi
cast	Paul Bates	School Superintendent
cast	Jeff Judah	Janitor
cast	Nat Faxon	Mark
cast	Stephanie Faracy	Mrs. Pubich
cast	David Paymer	Doctor Vogel
cast	Alanna Ubach	Angela
cast	Christine Smith	Danni
cast	Paul Feig	Dad at Carwash
cast	Deirdre Lovejoy	Sasha's Mother
cast	Melvin Mar	Male Teacher
cast	Rose Abdoo	School Secretary
cast	Jerry Lambert	Morgan's Dad
cast	Jennifer Irwin	Chase's Mom
cast	Christopher Rockwell	Chase's Dad
cast	David Doty	Armando the Homeless Guy
cast	Molly Shannon	Melody
cast	Rick Overton	Philip
cast	Danny Trap	Cowboy at Palace
cast	Matt Besser	Abraham Lincoln
cast	Lee Eisenberg	Blacksmith
cast	Bruno Gunn	Police Officer
cast	Jordan Van Vranken	Crying Girl
cast	Richard Bernard	Dancer in Cowboy Palace
cast	Kadee Noel Brown	Student in Elizabeth's Class
cast	B.J. Bugert	Student
cast	Daniel Cohen	Kid in Elizabeth's Classroom
cast	Austin Michael Coleman	8th Grade Student
cast	Noah Dahl	Dim Looking Boy
cast	Youlanda Davis	Drama Teacher
cast	Christina Gabrielle	8th Grade Student
cast	Andy Scott Harris	Flamboyant Boy
cast	Jennifer Holloway	Sheila
cast	Dot-Marie Jones	Pill-Providing Lady
cast	Laurie Landry	Ms. Landry
cast	Christopher Mason	Student
cast	Lindsay McGrail	Teacher at Party
cast	Daniel Messier	P.E. Teacher
cast	Keith Middlebrook	Mr. Vanderbilt
cast	Scott Moran	Johnny Walker Red
cast	Ryan Seacrest	Himself
cast	Bridget Shergalis	Cara
cast	Victoria Strauss	Student
cast	Joanna Theobalds	Nurse
cast	Preston Thompson	8th Grader
