year	2010
imdb score	7.2
meta score	81
genre	Comedy
genre	Drama
genre	Romance
keyword	death
keyword	terrier
keyword	flashback
keyword	cancer
keyword	actress
keyword	french
keyword	sadness
keyword	marriage
keyword	hotel
keyword	grief
keyword	love
keyword	graphic artist
keyword	jack russell terrier
keyword	artist
keyword	terminal cancer
keyword	drawing
keyword	gay pride
keyword	hotel room
keyword	closeted homosexual
keyword	subtitled scene
keyword	french accent
keyword	placing hands over someone's eyes
keyword	drinking
keyword	dog
keyword	bereavement
keyword	liar
keyword	old man
keyword	personal ad
keyword	son feeds father
keyword	trust
keyword	welcome home party
keyword	emotional healing
keyword	coming out
keyword	reading
keyword	drink
keyword	lung cancer
keyword	gay kiss
keyword	reggae music
keyword	silverlake los angeles
keyword	game playing
keyword	1950s
keyword	mirror
keyword	reference to the fbi
keyword	telephone call
keyword	rollerskating rink
keyword	reference to dwight d. eisenhower
keyword	break up
keyword	tape recording
keyword	terminal illness
keyword	reference to veronica lake
keyword	reference to calvin coolidge
keyword	biting
keyword	book
keyword	ventilator
keyword	78 year old
keyword	taxi
keyword	loss of mother
keyword	tea
keyword	bookstore
keyword	friend
keyword	medication
keyword	apartment
keyword	gay relationship
keyword	archive footage
keyword	art museum
keyword	hospital
keyword	repeated scene
keyword	reference to adolf hitler
keyword	new york city
keyword	lie
keyword	art opening
keyword	rainbow flag
keyword	mourning
keyword	reference to bill clinton
keyword	spray paint
keyword	recording
keyword	therapy
keyword	female nudity
keyword	reference to franklin d. roosevelt
keyword	looking at self in mirror
keyword	fast motion scene
keyword	record player
keyword	halloween
keyword	depression
keyword	underwear
keyword	nonlinear timeline
keyword	year 1953
keyword	year 1955
keyword	autobiographical
keyword	doctor
keyword	ex boyfriend ex girlfriend relationship
keyword	gay parent
keyword	pipe smoking
keyword	pretending to be dead
keyword	illness
keyword	loss of wife
keyword	old age
keyword	year 2003
keyword	oxygen tank
keyword	kiss
keyword	reference to the mattachine society
keyword	massaging someone's face
keyword	graffiti
keyword	wedding
keyword	sex in hotel
keyword	hair gel
keyword	flash forward
keyword	distrust
keyword	flashlight
keyword	reference to louise brooks
keyword	california
keyword	monogamy
