year	2001
imdb score	6.1
meta score	51
genre	Comedy
genre	Crime
genre	Thriller
keyword	mail order bride
keyword	russia
keyword	bank clerk
keyword	birthday
keyword	bank
keyword	internet
keyword	russian
keyword	montage
keyword	ring
keyword	reference to johnny depp
keyword	urinal
keyword	bathtub
keyword	bare chested male bondage
keyword	cigarette smoking
keyword	guitar
keyword	theft
keyword	cousin cousin relationship
keyword	underwear
keyword	english russian dictionary
keyword	newbury massachusetts
keyword	bondage
keyword	tied up while barefoot
keyword	swimming
keyword	trust exercise
keyword	guitarist
keyword	secret marriage
keyword	running
keyword	sex
keyword	drink
keyword	personal ad
keyword	photograph
keyword	vault
keyword	husband wife relationship
keyword	flashback
keyword	nerd
keyword	happy birthday to you
keyword	blackmail
keyword	birthday cake
keyword	s&m
keyword	vomit
keyword	hand job
keyword	gran torino
keyword	web camera
keyword	children
keyword	porn video
keyword	bank robbery
keyword	fugitive
keyword	telephone call
keyword	restaurant
keyword	dictionary
keyword	prostitute
keyword	tied to a toilet
keyword	campfire
keyword	binoculars
keyword	hotel
keyword	camera
keyword	motel
keyword	kiss
keyword	swimming in underwear
keyword	england
keyword	black panties
keyword	briefs
keyword	bare chested male
keyword	bank employee
keyword	ice cream
keyword	tied feet
keyword	reference to the hard rock cafe
keyword	airplane
keyword	bare butt
keyword	drinking
keyword	translator
keyword	actor
keyword	thief
keyword	con artist
keyword	polaroid
keyword	rabbit
keyword	black bra
keyword	money
keyword	loneliness
keyword	women's toilet
keyword	watching tv
keyword	male underwear
keyword	kneed in the crotch
keyword	toilet stall
keyword	police car
keyword	underwater scene
keyword	unwanted guest
keyword	men's bathroom
keyword	home movie
keyword	kidnapping
keyword	cafe
keyword	waitress
keyword	arcade
keyword	car accident
keyword	sunglasses
keyword	bank teller
keyword	tied up
keyword	computer
keyword	safe
keyword	barn
keyword	tape over mouth
keyword	birthday party
keyword	jogging
keyword	skinny dipping
keyword	woods
keyword	hostage
keyword	passport
keyword	musician
keyword	knife
keyword	robbery
keyword	nudity
keyword	reference to cats the stage musical
keyword	airport
keyword	shower
keyword	police
keyword	knocked unconscious with a guitar
keyword	pregnancy
keyword	chase
keyword	extortion
keyword	friend
keyword	face slap
keyword	female nudity
keyword	fight
keyword	backfire
keyword	gun shaped lighter
keyword	friendship
keyword	bath
keyword	rain
keyword	voice over narration
keyword	bound and gagged
keyword	watching porn
keyword	getaway
keyword	independent film
keyword	
cast	Nicole Kidman	Sophia, alias Nadia
cast	Ben Chaplin	John
cast	Vincent Cassel	Alexei
cast	Mathieu Kassovitz	Yuri
cast	Kate Lynn Evans	Clare
cast	Stephen Mangan	Bank Manager
cast	Alexander Armstrong	Robert Moseley
cast	Sally Phillips	Karen
cast	Jo McInnes	Waitress
cast	Ben Miller	Concierge
cast	Jonathan Aris	D.I. O'Fetiger
cast	Katya Barton-Chapple	Young Sophia
cast	Rebecca Clarke	Bank Colleague
cast	Mark Gatiss	Porter
cast	Raj Ghatak	Bank Colleague
cast	David Mark	Bank Colleague
cast	Steve Pemberton	Duty Sergeant
cast	Jack Pierce	Bank Colleague
cast	Reece Shearsmith	Porter
cast	Alan Stocks	Passport Official
cast	J.J. Toba	Policeman
cast	Jason Canning	Airport Security Gaurd
