year	2010
imdb score	8.1
meta score	79
genre	Drama
genre	Mystery
genre	Thriller
keyword	ballerina
keyword	dancer
keyword	swan lake
keyword	ballet
keyword	dance
keyword	new york city
keyword	overbearing mother
keyword	competition
keyword	madness
keyword	bulimia
keyword	choreographer
keyword	applying makeup
keyword	red eyes
keyword	bloody scratch
keyword	rage
keyword	woman in a bath
keyword	surrealism
keyword	mental illness
keyword	knocked out
keyword	lincoln center for the performing arts manhattan new york city
keyword	ecstasy
keyword	color in title
keyword	garbage chute
keyword	toilet
keyword	masturbation
keyword	dream sequence
keyword	lesbian cunnilingus
keyword	dance show
keyword	murder
keyword	grand guignol
keyword	vomit
keyword	animal metamorphosis
keyword	lesbian sex
keyword	toenail
keyword	character repeating someone else's dialogue
keyword	walking on tiptoes
keyword	death on stage
keyword	mirror does not reflect reality
keyword	tiptoe
keyword	stabbed in the stomach
keyword	music box
keyword	champagne glass
keyword	incinerator
keyword	falling from height
keyword	artist
keyword	jealousy
keyword	lipstick on mirror
keyword	man groping a woman
keyword	playing violin
keyword	biting lip
keyword	bouquet
keyword	toe shoes
keyword	manhattan new york city
keyword	split toenail
keyword	audition
keyword	perfectionist
keyword	bar
keyword	ambiguous ending
keyword	breaking a mirror
keyword	fear
keyword	female masturbation
keyword	lesbian kiss
keyword	rehearsal
keyword	weight loss
keyword	domineering mother
keyword	hospital
keyword	drinking
keyword	clipping fingernails
keyword	reflection in window
keyword	cigarette case
keyword	lipstick
keyword	no opening credits
keyword	slow motion scene
keyword	slow motion
keyword	mirror
keyword	taxi
keyword	self destructiveness
keyword	skin ripping
keyword	cake
keyword	mental rehearsal
keyword	applause
keyword	thinness
keyword	nightclub
keyword	paranoia
keyword	sexual repression
keyword	modifying equipment
keyword	mentor protégé relationship
keyword	door slammed on hand
keyword	woman wearing towel
keyword	obscene gesture
keyword	animal in title
keyword	bite
keyword	no panties
keyword	f word
keyword	disturbed individual
keyword	self destruction
keyword	two word title
keyword	stage
keyword	forced kiss
keyword	lesbian fantasy
keyword	cigarette smoking
keyword	heavy petting
keyword	pink grapefruit
keyword	blood
keyword	fingering
keyword	woman in bathtub
keyword	groping
keyword	nail file
keyword	kissing
keyword	bleeding
keyword	behind the scenes
keyword	camera shot of feet
keyword	eating disorder
keyword	partial female nudity
keyword	drunkenness
keyword	dance audition
keyword	obsession
keyword	cutting fingernails
keyword	premiere
keyword	painting
keyword	theatre audience
keyword	actress breaking typecast
