year	2001
imdb score	7.6
meta score	52
genre	Biography
genre	Crime
genre	Drama
keyword	cocaine
keyword	1970s
keyword	california
keyword	1960s
keyword	prison
keyword	marijuana
keyword	1950s
keyword	cell mate
keyword	american
keyword	wealth
keyword	friend
keyword	jail
keyword	gay slur
keyword	fbi
keyword	padrone
keyword	beer
keyword	suitcase
keyword	cannabis
keyword	miami beach florida
keyword	criminal
keyword	homosexual
keyword	shooting
keyword	bail
keyword	voice over narration
keyword	turned into the law by own mother
keyword	dream
keyword	child custody
keyword	death of girlfriend
keyword	otisville correctional facility
keyword	vacation
keyword	drug use
keyword	crime school
keyword	court
keyword	gay hairdresser
keyword	bare breasts
keyword	hypocrisy
keyword	gun
keyword	drug addiction
keyword	bank
keyword	smashing telephone
keyword	murder
keyword	gang
keyword	gay
keyword	farmer
keyword	pistol whip
keyword	policeman
keyword	drinking
keyword	pilot
keyword	protective custody
keyword	musician
keyword	bong
keyword	organized crime
keyword	cartagena colombia
keyword	courtroom
keyword	colombian drug cartel
keyword	danbury connecticut
keyword	hair salon
keyword	burial
keyword	puerto vallarta mexico
keyword	home movie
keyword	ken doll
keyword	drug cartel
keyword	barbie doll
keyword	escape
keyword	dea
keyword	parole
keyword	arrest
keyword	blood
keyword	shot in the shoulder
keyword	disco
keyword	drug dealing
keyword	college
keyword	logan international airport
keyword	panamanian
keyword	divorce
keyword	love
keyword	hypocrite
keyword	flash forward
keyword	colombia
keyword	drug ring
keyword	1980s
keyword	drug lord
keyword	marriage
keyword	arm sling
keyword	swimming pool
keyword	poverty
keyword	blood spatter
keyword	outlaw
keyword	ring
keyword	dancer
keyword	fiancee
keyword	s&m
keyword	father son relationship
keyword	spanish
keyword	bankruptcy
keyword	norman's cay bahamas
keyword	roller skate
keyword	medellin colombia
keyword	loneliness
keyword	death
keyword	colombian
keyword	private plane
keyword	panama city florida
keyword	slow motion
keyword	tape recorder
keyword	single engine airplane
keyword	drug courier
keyword	beach
keyword	childbirth
keyword	illness
keyword	mexico
keyword	manhattan beach california
keyword	birthday cake
keyword	prison visit
keyword	photograph
keyword	miami international airport
keyword	police
keyword	episodic structure
keyword	pregnancy
keyword	smuggling
keyword	nudity
keyword	overdose
keyword	montage
keyword	gun in mouth
keyword	fugitive
keyword	waiter
keyword	raid
keyword	drug pusher
keyword	female nudity
keyword	money
keyword	drink
keyword	prison cell
keyword	boston massachusetts
keyword	father daughter relationship
keyword	bloody nose
keyword	snorting cocaine
keyword	liberty city florida
keyword	adultery
keyword	absent mother
keyword	hallucinogenic drug
keyword	otisville new york
keyword	southern california
keyword	christmas party
keyword	shot in the forehead
keyword	theft
keyword	auto theft
keyword	pistol
keyword	mother daughter relationship
keyword	family relationships
keyword	double cross
keyword	airplane
keyword	cigarette smoking
keyword	betrayal
keyword	tragic event
keyword	drug smuggling
keyword	wedding
keyword	graveyard
keyword	cemetery
keyword	christmas
keyword	roach clip
keyword	mansion
keyword	dancing
keyword	mother son relationship
keyword	thief
keyword	cancer
keyword	promise
keyword	van
keyword	drug trafficking
keyword	convicted felon
keyword	telephone
keyword	materialism
keyword	university
keyword	airplane stewardess
keyword	bus
keyword	obscene finger gesture
keyword	1990s
keyword	beating
keyword	transcendental meditation
keyword	drug overdose
keyword	party
