year	1986
imdb score	7.8
meta score	75
genre	Crime
genre	Drama
genre	Mystery
genre	Thriller
keyword	police
keyword	detective
keyword	police detective
keyword	singer
keyword	nightclub
keyword	hospital
keyword	front yard
keyword	home from college
keyword	color in title
keyword	murder
keyword	silencer
keyword	father son relationship
keyword	alcoholism
keyword	drug abuse
keyword	corpse
keyword	broken leg
keyword	heineken beer
keyword	male nudity
keyword	young love
keyword	flame
keyword	mother
keyword	title appears in song
keyword	shot in the hand
keyword	cult film
keyword	kidnapping
keyword	writer director
keyword	horns
keyword	suburbia
keyword	stroke
keyword	black eye
keyword	title based on song
keyword	jealousy
keyword	mystery woman
keyword	floral microphone
keyword	student
keyword	mother son relationship
keyword	breaking and entering
keyword	dance party
keyword	shot to death
keyword	knife
keyword	womb imagery
keyword	serial killer
keyword	paladin
keyword	convertible
keyword	man in disguise
keyword	face slap
keyword	police officer shot
keyword	avant garde
keyword	corrupt cop
keyword	villain
keyword	hallucination
keyword	sex
keyword	blackmail
keyword	blindness
keyword	police officer killed
keyword	sex slave
keyword	post modern
keyword	revolver
keyword	secret
keyword	exterminator
keyword	oxygen mask
keyword	female rear nudity
keyword	grass
keyword	male rear nudity
keyword	shot in the forehead
keyword	sexual humiliation
keyword	public nudity
keyword	cult director
keyword	severed ear
keyword	sexual obsession
keyword	alienated sexuality
keyword	kidnapped man
keyword	hardware store
keyword	small town stereotype
keyword	neo noir
keyword	black bra and panties
keyword	talking while driving
keyword	gangster
keyword	drug dealer
keyword	female full frontal nudity
keyword	drug murder
keyword	brothel
keyword	surveillance
keyword	pacific northwest
keyword	crime scene
keyword	innocence lost
keyword	doppelganger
keyword	sexual aberration
keyword	horus
keyword	controversy
keyword	insect
keyword	amyl nitrate
keyword	gomorrahy
keyword	hiding in a closet
keyword	americana
keyword	drugs
keyword	bad nightclub singer
keyword	rape
keyword	voyeurism
keyword	perversion
keyword	handball
keyword	switchblade
keyword	fire engine
keyword	stairwell
keyword	assault
keyword	non statutory female on male rape attempt
keyword	american mythology
keyword	fetish
keyword	forced to strip
keyword	car chase
keyword	high school football
keyword	psychotronic
keyword	obsession
keyword	butcher knife
keyword	robin
keyword	hidden camera
keyword	kidnapped child
keyword	peeping tom
keyword	full circle
keyword	female pubic hair
keyword	kabuki makeup
keyword	female frontal nudity
keyword	gun
keyword	lip synching
keyword	osiris
keyword	lounge singer
keyword	rough sex
keyword	two word title
keyword	amateur detective
keyword	go go dancer
keyword	surrealism
keyword	violence
keyword	small town
keyword	hyperrealism
keyword	beer
keyword	diner
keyword	female nudity
keyword	middle america
keyword	masochism
keyword	sexual predator
keyword	nightmare
keyword	muscle car
keyword	musical number
keyword	police corruption
keyword	masochist
keyword	mutilation
keyword	love triangle
keyword	psychopath
keyword	femme fatale
keyword	misogyny
keyword	striptease
keyword	sadomasochism
keyword	satire
keyword	psychological abuse
keyword	killer cop
keyword	wig
keyword	good versus evil
keyword	song in title
keyword	father daughter relationship
keyword	cliche
keyword	woman in jeopardy
keyword	independent film
cast	Isabella Rossellini	Dorothy Vallens
cast	Kyle MacLachlan	Jeffrey Beaumont
cast	Dennis Hopper	Frank Booth
cast	Laura Dern	Sandy Williams
cast	Hope Lange	Mrs. Williams
cast	Dean Stockwell	Ben
cast	George Dickerson	Detective Williams
cast	Priscilla Pointer	Mrs. Beaumont
cast	Frances Bay	Aunt Barbara
cast	Jack Harvey	Mr. Beaumont
cast	Ken Stovitz	Mike
cast	Brad Dourif	Raymond
cast	Jack Nance	Paul
cast	J. Michael Hunter	Hunter
cast	Dick Green	Don Vallens
cast	Fred Pickler	Yellow Man
cast	Philip Markert	Dr. Gynde
cast	Leonard Watkins	Double Ed
cast	Moses Gibson	Double Ed
cast	Selden Smith	Nurse Cindy
cast	Peter Carew	Coroner
cast	Jon Jon Snipes	Little Donny
cast	Angelo Badalamenti	Piano Player
cast	Jean Pierre Viale	Master of Ceremonies
cast	Donald Moore	Desk Sergeant
cast	A. Michelle Depland	Party Girl
cast	Michelle Sasser	Party Girl
cast	Katie Reid	Party Girl
cast	Sparky	The Dog
cast	Robert J. Maxwell	Slow Club Customer
