year	1996
imdb score	7.2
meta score	60
genre	Comedy
genre	Crime
keyword	robbery
keyword	escapade
keyword	motel
keyword	fireworks
keyword	target practice
keyword	remake
keyword	prison
keyword	texas
keyword	laundry room
keyword	crime boss
keyword	frat pack
keyword	box office flop
keyword	swimming pool
keyword	thief
keyword	kicked in the butt
keyword	caper
keyword	barbershop
keyword	based on short film
keyword	bookstore
keyword	gas station
cast	Luke Wilson	Anthony Adams
cast	Owen Wilson	Dignan
cast	Ned Dowd	Dr. Nichols
cast	Shea Fowler	Grace
cast	Haley Miller	Bernice
cast	Robert Musgrave	Bob Mapplethorpe
cast	Andrew Wilson	Future Man
cast	Brian Tenenbaum	H. Clay Murchison
cast	Jenni Tooley	Stacy Sinclair
cast	Temple Nash	Temple
cast	Dipak Pallana	Bookstore Employee
cast	Darryl Cox	Bookstore Manager
cast	Stephen Dignan	Rob
cast	Lumi Cavazos	Inez
cast	Julie Mayfield	Wife in Motelroom
cast	Don Phillips Jr.	Husband in Motelroom
cast	Anna Cifuentes	Carmen
cast	Donny Caicedo	Rocky
cast	Melinda Renna	Anita
cast	Richard Reyes	Man in Bar
cast	Julio Cedillo	Man Outside Bar
cast	Teddy Wilson	Hector Mapplethorpe
cast	Jim Ponds	Applejack
cast	James Caan	Mr. Henry
cast	Tak Kubota	Rowboat
cast	Kumar Pallana	Kumar
cast	Haskell Craver	Jackson
cast	Jill Parker-Jones	Motel Manager
cast	Nena Smarz	Maid
cast	Héctor García	Freezer Guy
cast	Daniel R. Padgett	Freezer Guy
cast	Russell Towery	Cop
cast	Ben Loggins	Cop
cast	Linn Mullin	Detective
cast	Dan Burkarth	Country Club Golfer with Mr. Henry
cast	Lisa Cangelosi	
cast	Frank Crim	Phil
cast	Jordan Elliott	Little Girl
cast	Gene Gallerano	St. Mark's Student
cast	Leslie Mann	Sorority Girl
cast	Richard Phillips	Inmate
cast	Raymond Rivera	Bar Patron
cast	Lisa Rotondi	Sorority Girl
cast	Amanda Welles	Bob's Date
cast	Angus G. Wynne III	Podra - Fool Clipping Hedge
