year	1995
imdb score	6.3
meta score	61
genre	Comedy
genre	Drama
keyword	singer
keyword	ups
keyword	on the road
keyword	aids
keyword	lesbian
keyword	real estate agent
keyword	feminist
keyword	fainting
keyword	piano
keyword	poster
keyword	chick flick
keyword	female nudity
keyword	death of brother
keyword	fight
keyword	cancer
keyword	karaoke
keyword	law
keyword	cheerios the cereal
keyword	absent father
keyword	product placement
keyword	cafe
keyword	audition
keyword	abusive boyfriend
keyword	happy hour
keyword	birthday cake
keyword	wheelchair
keyword	unhappiness
keyword	band
keyword	reference to abraham lincoln
keyword	menstruation
keyword	friendship between women
keyword	violence
keyword	single mother
keyword	hit with a baseball bat
keyword	trial
keyword	street fair
keyword	wig
keyword	gardening
keyword	painting one's toenails
keyword	birthday
keyword	money
keyword	cross country
keyword	dancer
keyword	father daughter relationship
keyword	airplane
keyword	jury
keyword	hallucination
keyword	snow
keyword	hiv
keyword	keyboard
keyword	waitress
keyword	strawberry blonde
keyword	memory
keyword	road trip
keyword	drink
keyword	reference to jimmy carter
keyword	tragedy
keyword	desk clerk
keyword	pills
keyword	family relationships
keyword	police car
keyword	drug use
keyword	blindfold
keyword	uniform
keyword	newspaper
keyword	love
keyword	flowers
keyword	husband wife relationship
keyword	food
keyword	secret
keyword	polaroid
keyword	court
keyword	song
keyword	photo album
keyword	self defense
keyword	reference to donna reed
keyword	black american
keyword	clove cigarette
keyword	moving
keyword	witness
keyword	san diego california
keyword	allergy
keyword	women's bathroom
keyword	liar
keyword	motto
keyword	surrogate family
keyword	brother sister relationship
keyword	thong
keyword	bar
keyword	oxygen mask
keyword	puppet
keyword	singing
keyword	reference to barbra streisand
keyword	ransacking
keyword	beating
keyword	restaurant
keyword	vomit
keyword	planting flowers
keyword	african american
keyword	policeman
keyword	charades the game
keyword	cigarette smoking
keyword	listening to music
keyword	musician
keyword	eating
keyword	motorcycle
keyword	highway
keyword	female bonding
keyword	friend
keyword	drug deal
keyword	bus stop
keyword	baseball bat
keyword	telephone call
keyword	pregnancy
keyword	underwear
keyword	parking
keyword	judge
keyword	curse
keyword	pittsburgh pennsylvania
keyword	making faces
keyword	car
keyword	blood
keyword	reference to the carpenters
keyword	sex
keyword	drug dealer
keyword	mariachi
keyword	reference to george washington
keyword	photograph
keyword	fortune teller
keyword	birth
keyword	interracial baby
keyword	flirting
keyword	bourbon
keyword	reference to katharine hepburn
keyword	happiness
keyword	dancing
keyword	watching tv
keyword	exercise
keyword	involuntary manslaughter
keyword	oath
keyword	physical abuse
keyword	baby
keyword	mini van
keyword	tucson arizona
keyword	diner
keyword	driving
keyword	giving birth
keyword	testimony
keyword	kissing through wire fencing
keyword	hospital nursery
keyword	drinking
keyword	courthouse
keyword	tunnel
keyword	taxi driver
keyword	bartender
keyword	black comedy
keyword	marijuana
keyword	answering machine
keyword	penis
keyword	blonde
keyword	bare breasts
keyword	friendship
keyword	tarot card
keyword	birthday present
keyword	apology
keyword	beer
keyword	st. louis missouri
keyword	childbirth
keyword	head injury
keyword	paper flower
keyword	four word title
keyword	camera
keyword	los angeles california
keyword	butt
keyword	motel
keyword	nurse
keyword	miss america
keyword	pinata
keyword	face slap
keyword	tears
keyword	topless female nudity
keyword	kiss
keyword	terminal illness
keyword	psychic
keyword	loneliness
