year	2010
imdb score	7.0
meta score	65
genre	Drama
genre	Mystery
genre	Thriller
keyword	coffin
keyword	buried alive
keyword	iraq
keyword	desert
keyword	darkness
keyword	trapped
keyword	race against time
keyword	cell phone
keyword	death
keyword	psychological torture
keyword	hostage
keyword	snake
keyword	american abroad
keyword	contractor
keyword	minimal cast
keyword	writing
keyword	terrorist
keyword	blackberry
keyword	abduction
keyword	character says i love you
keyword	flooding
keyword	amnesia
keyword	entrapment
keyword	mysterious villain
keyword	claustrophobic setting
keyword	foul line
keyword	crying
keyword	repeated line
keyword	death of protagonist
keyword	captive
keyword	contemplating suicide
keyword	fear
keyword	note
keyword	wedding ring
keyword	medication
keyword	threatening telephone call
keyword	psycho thriller
keyword	dread
keyword	ransom
keyword	confinement
keyword	insurgent
keyword	need help
keyword	one person
keyword	held at gunpoint
keyword	hyperventilation
keyword	despair
keyword	murder
keyword	fbi agent
keyword	false information
keyword	suffocation
keyword	last will and testament
keyword	truck driver
keyword	glow stick
keyword	suicide thoughts
keyword	scare
keyword	upside down camera shot
keyword	jack knife
keyword	voice mail
keyword	threatening family
keyword	bound and gagged
keyword	threat
keyword	ethnic music
keyword	isolation
keyword	kidnapping
keyword	call and help
keyword	nursing home
keyword	mother son relationship
keyword	sos
keyword	survival
keyword	underground
keyword	machine gun
keyword	severed finger
keyword	ambush
keyword	flashlight
keyword	fired from the job
keyword	convoy
keyword	call for help
keyword	desperation
keyword	help me
keyword	one day
keyword	accent
keyword	telephone number
keyword	slow motion scene
keyword	one character
keyword	fantasy sequence
keyword	u.s. state department
keyword	terror
keyword	camera phone
keyword	yelling
keyword	filmed killing
keyword	mortality
keyword	wristwatch
keyword	self mutilation
keyword	video camera
keyword	sadism
keyword	suspense
keyword	no actors
keyword	single set production
keyword	blood spatter
keyword	chemical light
keyword	cruelty
keyword	nail
keyword	high concept
keyword	finger cut off
keyword	calling for help
keyword	tragic event
keyword	zippo lighter
keyword	tragic event
keyword	2000s
keyword	alcohol
keyword	flask
keyword	actor breaking typecast
keyword	pistol
keyword	vomit
keyword	jeopardy
keyword	claustrophobia
keyword	reference to youtube
keyword	compassion
keyword	memory loss
keyword	red light
keyword	voice acting
keyword	blood
keyword	sand
keyword	one actor
keyword	subjective camera
keyword	one word title
keyword	frustration
keyword	knife
keyword	greed
keyword	pencil
keyword	panic
keyword	shot in the forehead
keyword	character repeating someone else's dialogue
keyword	location finder
keyword	critically acclaimed
keyword	fire
keyword	wrath
keyword	husband wife relationship
keyword	reference to saddam hussein
keyword	psycho
keyword	extreme closeup
keyword	anxiety
keyword	one man show
keyword	independent film
keyword	title spoken by character
keyword	surprise ending
cast	Ryan Reynolds	Paul Conroy
cast	José Luis García Pérez	Jabir
cast	Robert Paterson	Dan Brenner
cast	Stephen Tobolowsky	Alan Davenport
cast	Samantha Mathis	Linda Conroy
cast	Ivana Miño	Pamela Lutti
cast	Warner Loughlin	Maryanne Conroy / Donna Mitchell / Rebecca Browning
cast	Erik Palladino	Special Agent Harris
cast	Kali Rocha	911 Operator
cast	Chris William Martin	State Department Rep.
cast	Cade Dundish	Shane Conroy
cast	Mary Birdsong	411 Female Operator
cast	Kirk Baily	411 Male Operator
cast	Anne Lockhart	CRT Operator
cast	Robert Clotworthy	CRT Spokesman
cast	Michalla Petersen	Nursing Home Nurse
cast	Juan Hidalgo	Kidnapper
cast	Abdelilah Ben Massou	Kidnapper
cast	Joe Guarneri	Additional Voice
cast	Heath Centazzo	Additional Voice
