year	2008
imdb score	7.0
meta score	63
genre	Comedy
genre	Crime
genre	Drama
keyword	gym
keyword	memoir
keyword	cia
keyword	embassy
keyword	divorce
keyword	disc
keyword	cia agent
keyword	punched in the face
keyword	woman doctor
keyword	dysfunctional marriage
keyword	zoom shot from space
keyword	personal trainer
keyword	womanizer
keyword	reference to mickey mouse
keyword	earth viewed from space
keyword	liposuction
keyword	extortion
keyword	russian intelligence
keyword	accidental death
keyword	blowtorch
keyword	dildo
keyword	government cover up
keyword	cult film reference
keyword	shopping list
keyword	satire
keyword	disposing of a dead body
keyword	coma
keyword	hmo
keyword	gymnasium
keyword	adultery
keyword	farce
keyword	internet dating
keyword	divorce lawyer
keyword	jogging
keyword	axe murder
keyword	blackmail
keyword	political satire
keyword	bechdel test failed
keyword	quitting a job
keyword	bare breasts
keyword	car accident
keyword	hispanic american
keyword	reference to boris karloff
keyword	one night stand
keyword	treason
keyword	cosmetic surgery
keyword	reference to dermot mulroney
keyword	raised middle finger
keyword	data disk
keyword	reference to home depot
keyword	lactose intolerance
keyword	bare chested male
keyword	murder
keyword	black comedy
keyword	dark comedy
keyword	stabbed in the chest
keyword	guilt
keyword	burglary
keyword	fitness center
keyword	top secret
keyword	infidelity
keyword	breaking and entering
keyword	hiding in a closet
keyword	plastic surgeon
keyword	dinner party
keyword	dictation
keyword	helicopter
keyword	reference to zoe caldwell
keyword	american flag
keyword	party
keyword	cheating husband
keyword	hatchet
keyword	cheating wife
keyword	intelligence analyst
keyword	stupidity
keyword	blood on shirt
keyword	bloody nose
keyword	sloop
keyword	ex priest
keyword	ice tray
keyword	nihilism
keyword	computer disc
keyword	stabbed in the head
keyword	ax murder
keyword	violence
keyword	allergic reaction
keyword	jefferson memorial
keyword	car crash
keyword	shot in the shoulder
keyword	ensemble cast
keyword	surveillance
keyword	reference to jane alexander
keyword	death
keyword	shot in the head
keyword	park
keyword	accidental shooting
keyword	cheese
keyword	paranoia
keyword	canape
keyword	sailboat
keyword	blood splatter
keyword	t man
keyword	georgetown washington,d.c.
keyword	betrayal
keyword	husband wife relationship
keyword	knife
keyword	corpse
keyword	computer dating
keyword	russian diplomat
keyword	philanderer
keyword	goat cheese
keyword	fitness gym
keyword	dating service
keyword	drunkenness
keyword	punch in nose
keyword	singing
keyword	u s marshal
keyword	escape
keyword	virginia
keyword	falling down stairs
keyword	ipod
keyword	insecurity
keyword	marital infidelity
keyword	process server
keyword	imperative in title
keyword	confusion
keyword	shot in the face
keyword	alcoholic
keyword	butt slap
keyword	reference to tony bennett
keyword	pistol
keyword	suit
keyword	beauty mask
keyword	seattle washington
cast	George Clooney	Harry Pfarrer
cast	Frances McDormand	Linda Litzke
cast	Brad Pitt	Chad Feldheimer
cast	John Malkovich	Osborne Cox
cast	Tilda Swinton	Katie Cox
cast	Richard Jenkins	Ted
cast	Elizabeth Marvel	Sandy Pfarrer
cast	David Rasche	CIA Officer
cast	J.K. Simmons	CIA Superior
cast	Olek Krupa	Krapotkin
cast	Michael Countryman	Alan
cast	Kevin Sussman	Tuchman Marsh Man
cast	J.R. Horne	Divorce Lawyer
cast	Hamilton Clancy	Peck
cast	Armand Schultz	Olson
cast	Pun Bandhu	Party Guest
cast	Karla Mosley	Party Guest
cast	Jeffrey DeMunn	Cosmetic Surgeon
cast	Richard Poe	Stretching Gym Patron
cast	Carmen M. Herlihy	Prospective Gym Customer
cast	Raul Aranas	Manolo
cast	Judy Frank	Lawyer's Secretary
cast	Sándor Técsy	Russian Embassy Escort
cast	Yury Tsykun	Senior Russian Embassy Man
cast	Brian O'Neill	Hal
cast	Robert Prescott	Process Server
cast	Matt Walton	Morning Show Host
cast	Lori Hammel	Morning Show Hostess
cast	Crystal Bock	PR Woman
cast	Patrick Boll	Sandy's Man
cast	Logan Kulick	Four-Year-Old Patient
cast	Dermot Mulroney	Star of "Coming Up Daisy"
cast	Robert R. Barry	Drunken Princetonian
cast	Ted Bouton	Drunken Princetonian
cast	Bob Bowersox	Drunken Princetonian
cast	Oliver Buckingham	Drunken Princetonian
cast	Michael Fawcett	Drunken Princetonian
cast	William Fowle	Drunken Princetonian
cast	Charles Gemmill	Drunken Princetonian
cast	Mitch Giannunzio	Drunken Princetonian
cast	Cliff Goulet	Drunken Princetonian
cast	William D. Grey	Drunken Princetonian
cast	Gary Henderson	Drunken Princetonian
cast	Ron Kidd	Drunken Princetonian
cast	Bill Massof	Drunken Princetonian
cast	Brian McKeon	Drunken Princetonian
cast	Ken McNeill	Drunken Princetonian
cast	Tim Miller	Drunken Princetonian
cast	Jay Parks	Drunken Princetonian
cast	Roger Rathburn	Drunken Princetonian
cast	Eric Richardson	Drunken Princetonian
cast	Bart Wilder	Drunken Princetonian
cast	Stephen Ananicz	Gym Guy
cast	James Thomas Bligh	Lt. Macdonald
cast	Matt Cannon	Tourist
cast	Justin Doescher	Suspicious Man
cast	Kimberly Dorsey	Tourist
cast	Liam Ferguson	Businessman
cast	Matthew James Gulbranson	Midwestern Tourist
cast	Joe Jagatic	CIA Agent
cast	Richard Karn	Himself - Family Feud Host
cast	RJ Konner	Senator
cast	T. Alloy Langenfeld	Nam Vet Visiting WWII Memorial
cast	Douglas Nelson	Man in Park
cast	Lil Rhee	Tourist
cast	Devin Rumer	Surveillance Man
cast	Patrick Michael Strange	Tourist
cast	Kevin Tan	Suspicious Tourist - Day Player
cast	Jacqueline Wright	Monica
