year	1976
imdb score	7.4
meta score	N/A
genre	Horror
genre	Thriller
keyword	prom
keyword	school
keyword	student
keyword	telekinesis
keyword	teacher
keyword	outsider
keyword	pig blood
keyword	classmate
keyword	prank
keyword	shower
keyword	gym
keyword	isolation
keyword	gym teacher
keyword	bucket
keyword	tease
keyword	revenge
keyword	night
keyword	blood
keyword	religious fanatic
keyword	evil
keyword	pig
keyword	mania
keyword	gossip
keyword	female nudity
keyword	single mother
keyword	kiss
keyword	gothic
keyword	female rear nudity
keyword	work out
keyword	taunting
keyword	paranormal phenomena
keyword	t shirt
keyword	laughing
keyword	one word title
keyword	stars
keyword	teenage girl in underwear
keyword	sexual desire
keyword	tomb
keyword	fire
keyword	fright
keyword	blow job
keyword	mother daughter relationship
keyword	practical joke
keyword	based on the works of stephen king
keyword	generation gap
keyword	forbidden love
keyword	opening credit bush
keyword	dance
keyword	young love
keyword	dead woman with eyes open
keyword	psychic power
keyword	cult film
keyword	shyness
keyword	water
keyword	teen angst
keyword	public humiliation
keyword	oral sex in a car
keyword	religion
keyword	graffiti
keyword	attraction
keyword	nudity
keyword	kissing
keyword	alone
keyword	horror movie remade
keyword	slumber party
keyword	mass death
keyword	violence
keyword	supernatural
keyword	danger
keyword	prayer
keyword	teenager
keyword	bad girl
keyword	loner
keyword	out of control
keyword	extrasensory perception
keyword	fanaticism
keyword	bible
keyword	dying
keyword	street
keyword	vagina
keyword	high school dance
keyword	hell
keyword	collapsing house
keyword	locker room
keyword	overprotective parent
keyword	guilt
keyword	panties
keyword	electrocution
keyword	shirt
keyword	hostility
keyword	teenager
keyword	paranoia
keyword	icon
keyword	bicycle
keyword	school yearbook
keyword	teenage sex
keyword	boyfriend girlfriend relationship
keyword	crush
keyword	trauma
keyword	ball
keyword	covered in blood
keyword	pink dress
keyword	dead woman
keyword	death
keyword	trees
keyword	burned up car
keyword	cult director
keyword	coming of age
keyword	surprise
keyword	ridicule
keyword	stabbed in the back
keyword	burning house
keyword	teenage boy
keyword	library
keyword	mass destruction
keyword	bra
keyword	terror
keyword	sinister
keyword	classroom
keyword	supernatural power
keyword	shy girl
keyword	firestorm
keyword	sin
keyword	psionic power
keyword	stabbed in the chest
keyword	house
keyword	joy
keyword	teenage prankster
keyword	teen romance
keyword	split screen
keyword	bad mother
keyword	trousers
keyword	cross
keyword	shorts
keyword	rejection
keyword	destruction
keyword	fellatio
keyword	woman kills woman
keyword	alienation
keyword	fear
keyword	underwear
keyword	near future
keyword	panic
keyword	humiliation
keyword	menstruation
keyword	depression
keyword	blockbuster
keyword	oral sex
keyword	tragedy
keyword	teenage girl
keyword	teenage alienation
keyword	night time
keyword	abuse of power
keyword	high school sweethearts
keyword	cruelty
keyword	love
keyword	hit on the head
keyword	impalement
keyword	future
keyword	matricide
keyword	wrong side of the tracks
keyword	teen movie
keyword	locked door
keyword	cruel joke
keyword	disappointment
keyword	buttocks
keyword	oddball
keyword	sadness
keyword	cracked mirror
keyword	saint sebastian
keyword	torso cut in half
keyword	disturbed individual
keyword	sexual repression
keyword	bucket of blood
keyword	punishment
keyword	underage
keyword	party dress
keyword	sex
keyword	closed doors
keyword	loss of control
keyword	outcast
keyword	multiple stabbing
keyword	anger
