year	2000
imdb score	7.7
meta score	73
genre	Adventure
genre	Drama
keyword	island
keyword	survival
keyword	raft
keyword	ocean
keyword	remote island
keyword	clock
keyword	plane crash
keyword	storm
keyword	photograph
keyword	fish
keyword	christmas
keyword	calendar
keyword	tropical island
keyword	aircraft
keyword	spear
keyword	time
keyword	suicide attempt
keyword	cave drawing
keyword	beach
keyword	ice skates
keyword	very little dialogue
keyword	mail delivery
keyword	1990s
keyword	moscow russia
keyword	stranded on an island
keyword	exploring
keyword	map
keyword	campfire
keyword	flashlight
keyword	eating live animal
keyword	burial
keyword	inflatable life raft
keyword	exploration
keyword	lost love
keyword	fire
keyword	turbojet engine
keyword	floating on a raft
keyword	building raft
keyword	airplane
keyword	reverse footage
keyword	dead man
keyword	sailing
keyword	cave
keyword	eating
keyword	corpse
keyword	hand wound
keyword	airport
keyword	cargo plane
keyword	airplane engine
keyword	wound
keyword	sorting mail
keyword	imaginary friend
keyword	portrait of fiance
keyword	kremlin
keyword	underwater scene
keyword	screaming in pain
keyword	blood on hand
keyword	flood
keyword	solitude
keyword	thirst
keyword	pocket watch
keyword	yelling for help
keyword	two word title
keyword	palm tree
keyword	pilot
keyword	american abroad
keyword	isolation
keyword	long hair
keyword	kissing in the rain
keyword	fed ex
keyword	blood
keyword	fiance fiancee relationship
keyword	beard
keyword	heavy rain
keyword	self dentistry
keyword	one word title
keyword	blockbuster
keyword	bloody hand
keyword	suspense
keyword	tooth ripped out
keyword	christmas dinner
keyword	cabin fever
keyword	fire at sea
keyword	hair growth
keyword	visceral
keyword	analemma
keyword	spear fishing
keyword	waves
keyword	stranded
keyword	swiss army knife
keyword	no opening credits
keyword	rainstorm
keyword	christmas tree
keyword	shouting
keyword	hunger
keyword	psychiatrist
keyword	self mutilation
keyword	barefoot
keyword	what happened to epilogue
keyword	castaway
keyword	coconut
keyword	coconut tree
keyword	cave dweller
keyword	vhs
keyword	body floating in water
keyword	rescue at sea
keyword	videotape
keyword	hair
keyword	bare chested male
keyword	product placement
keyword	bloody hand print
keyword	party
keyword	explosive decompression
keyword	christmas party
keyword	toilet
keyword	lightning
keyword	crab
keyword	airplane accident
keyword	ship
keyword	ingenuity
keyword	dentist
keyword	mountain climbing
keyword	coral
keyword	storm at sea
keyword	snow
keyword	giant wave
keyword	pacific island
keyword	suicidal thoughts
keyword	desert
keyword	seemingly widowed
keyword	desperation
keyword	letter
keyword	volleyball
keyword	rescue
keyword	desert island
keyword	rain
keyword	tooth extraction
keyword	translator
keyword	burying a dead body
keyword	hotel
keyword	leg wound
keyword	dead body
keyword	loneliness
keyword	taxi
keyword	fire and water
keyword	whale
keyword	sweater
keyword	climbing
keyword	presumed dead
keyword	mail carrier
cast	Paul Sanchez	Ramon
cast	Lari White	Bettina Peterson
cast	Leonid Citer	Fyodor
cast	David Allen Brooks	Dick Peterson
cast	Yelena Popovic	Beautiful Russian Woman
cast	Valentina Ananina	Russian Babushka
cast	Semion Sudarikov	Nicolai
cast	Tom Hanks	Chuck Noland
cast	Peter von Berg	Yuri
cast	Dmitri S. Boudrine	Lev
cast	François Duhamel	French FedEx Loader
cast	Michael Forest	Pilot Jack
cast	Viveka Davis	Pilot Gwen
cast	Nick Searcy	Stan
cast	Jennifer Choe	Memphis State Student
cast	Helen Hunt	Kelly Frears
cast	Nan Martin	Kelly's Mother
cast	Anne Bellamy	Anne Larson
cast	Dennis Letts	Dennis Larson
cast	Wendy Worthington	Wendy Larson
cast	Skye McKenzie	Skye Larson
cast	Valerie Wildman	Virginia Larson
cast	John Duerler	John Larson
cast	Steve Monroe	Steve Larson
cast	Ashley Trefger	Lindsey Larson
cast	Lindsey Trefger	Lindsey Larson
cast	Alyssa Gainer	Katie Larson
cast	Kaitlyn Gainer	Katie Larson
cast	Lauren Gainer	Katie Larson
cast	Albert Pugliese	Gregory Larson
cast	Gregory Pugliese	Gregory Larson
cast	Brandon Reinhardt	Matt Larson
cast	Matthew Reinhardt	Matt Larson
cast	Lisa Long	Lisa Madden
cast	Lauren Birkell	Lauren Madden
cast	Elden Henson	Elden Madden
cast	Timothy Stack	Morgan Stockton
cast	Alice Vaughn	Alice Stockton
cast	Chase MacKenzie Bebak	Chase Stockton
cast	Gage Bebak	Gage Stockton
cast	Amanda Cagney	Amanda Stockton
cast	Andrea Cagney	Amanda Stockton
cast	Fred Semmer	Fred Stockton
cast	Peter Semmer	Fred Stockton
cast	Joe Conley	Joe Wally
cast	Aaron Rapke	Ralph Wally
cast	Vince Martin	Pilot Al
cast	Garret Davis	Pilot Blaine
cast	Jay Acovone	Pilot Peter
cast	Christopher Kriesa	Pilot Kevin
cast	Chris Noth	Jerry Lovett
cast	Fred Smith	Himself
cast	Michelle Robinson	FedEx Anchor #1
cast	Tommy Cresswell	FedEx Anchor #2
cast	Jenifer Lewis	Becca Twig
cast	Geoffrey Blake	Maynard Graham
cast	Rich Sickler	FedEx Manager
cast	Derick Alexander	Taxi Driver
cast	Brian Crider	FedEx Employee
cast	Pamela Hallisey Hiss	FedEx Employee
cast	Katelyn Nichols	Young girl
cast	Mark S. Porro	Navigator
cast	Wilson the Volleyball	Himself
