year	1982
imdb score	6.0
meta score	N/A
genre	Drama
genre	Fantasy
genre	Horror
genre	Romance
genre	Thriller
keyword	cat people
keyword	cat
keyword	leopard
keyword	love
keyword	panther
keyword	remake
keyword	blood
keyword	lust
keyword	sexual awakening
keyword	bridge
keyword	slip the undergarment
keyword	family relationships
keyword	bra removing
keyword	reverse footage
keyword	nude woman murdered
keyword	train station
keyword	sex
keyword	jealousy
keyword	human sacrifice
keyword	lycanthrope
keyword	female rear nudity
keyword	police dog
keyword	metamorphosis
keyword	sociopath
keyword	jealous woman
keyword	brother sister incest
keyword	murder
keyword	copulation
keyword	train
keyword	black panthers
keyword	arm ripped off
keyword	zoo
keyword	male nudity
keyword	robe
keyword	breaking a glass door
keyword	cleavage
keyword	topless female nudity
keyword	tied to a bed
keyword	police officer
keyword	blood on shoe
keyword	new orleans louisiana
keyword	girl stripped down to panties
keyword	bare feet
keyword	heterosexual bondage
keyword	curse
keyword	black panties
keyword	mismatched bra and panties
keyword	shotgun
keyword	insane man
keyword	blonde
keyword	prostitute
keyword	gift shop
keyword	eaten alive
keyword	dream sequence
keyword	fellatio
keyword	scantily clad female
keyword	bestiality
keyword	seduction
keyword	virginity
keyword	riding in a car
keyword	breaking through a door
keyword	bondage
keyword	skinny dipping
keyword	female pubic hair
keyword	hallucination
keyword	tied up
keyword	dream
keyword	dead cat
keyword	female removes her clothes
keyword	animal in title
keyword	female tied up
keyword	swimming pool
keyword	cemetery
keyword	female protagonist
keyword	dissection
keyword	black panther
keyword	girl in panties
keyword	gore
keyword	rain
keyword	female frontal nudity
keyword	panties
keyword	incest
keyword	wolf
keyword	virgin
keyword	love triangle
keyword	bare butt
keyword	coitus
keyword	black man
keyword	see through bra
keyword	nudity
keyword	male rear nudity
keyword	half animal
keyword	fear of sex
keyword	autopsy
keyword	male frontal nudity
keyword	spreadeagle
keyword	horror movie remake
keyword	severed arm
keyword	breaking through a glass door
keyword	turning into an animal
keyword	attack
keyword	tranquilizer
keyword	lingerie
keyword	graveyard
keyword	bare chested male
keyword	sex in a bed
keyword	police
keyword	transformation
keyword	star appears nude
keyword	insanity
keyword	driving a car
keyword	cartoon on tv
keyword	black woman
keyword	leg spreading
keyword	oral sex
keyword	blood on face
keyword	family reunion
keyword	lightning
keyword	prostitution
keyword	cage
keyword	religion
keyword	animal
keyword	female nudity
keyword	swimming in underwear
keyword	no panties
keyword	zookeeper
keyword	brother sister relationship
keyword	thunder
keyword	nipples visible through clothing
keyword	female full frontal nudity
keyword	male full frontal nudity
keyword	fatal attraction
keyword	stabbed with glass
keyword	female removes her dress
cast	Nastassja Kinski	Irena Gallier
cast	Malcolm McDowell	Paul Gallier
cast	John Heard	Oliver Yates
cast	Annette O'Toole	Alice Perrin
cast	Ruby Dee	Female
cast	Ed Begley Jr.	Joe Creigh
cast	Scott Paulin	Bill Searle
cast	Frankie Faison	Detective Brandt
cast	Ron Diamond	Detective Ron Diamond
cast	Lynn Lowry	Ruthie
cast	John Larroquette	Bronte Judson
cast	Tessa Richarde	Billie
cast	Patricia Perkins	Taxi Driver
cast	Berry Berenson	Sandra
cast	Fausto Barajas	Otis
cast	John H. Fields	Massage Parlor Manager
cast	Emery Hollier	Yeatman Brewer
cast	Stephen Marshal	Moonie
cast	Robert Pavlovich	Ted
cast	Julie Denney	Carol
cast	Arione De Winter	Indian Village Mother
cast	Francine Segal	Church Woman
cast	Don Hood	Train Station Agent
cast	David Showacre	Man in Bar
cast	Neva Gage	Cat-Like Woman
cast	Marisa Folse	Indian Girl
cast	Danelle Hand	Indian Girl
cast	John C. Isbell	Police Officer
cast	Roger E. Reid	Policeman
cast	Charles Joseph Konya Jr.	Policeman
cast	Marco St. John	Policeman
cast	Brett Alexander	Cub Scout
cast	Gregory Gatto	Cub Scout
cast	Terc Martinez	Cub Scout
cast	David Ross McCarty	Man in Airport
cast	Harry Hauss	First Helicopter Pilot
cast	James Deeth	Second Helicopter Pilot
cast	Ray Wise	Soap Opera Man
cast	Jo Ann Dearing	Soap Opera Woman
cast	The Black Pope	D.J.
cast	David Blackwell	Staring Man on Bus
cast	Craig Deroche	Homeless Person
cast	Stocker Fontelieu	Priest
