year	2002
imdb score	8.0
meta score	76
genre	Biography
genre	Crime
genre	Drama
keyword	pilot
keyword	fbi
keyword	attorney
keyword	doctor
keyword	fbi agent
keyword	prosecutor
keyword	con artist
keyword	france
keyword	1960s
keyword	con
keyword	adultery
keyword	divorced parents
keyword	washington d.c.
keyword	bar
keyword	map
keyword	prison
keyword	maid
keyword	cheque
keyword	father son relationship
keyword	half sister
keyword	prostitute
keyword	surveillance
keyword	james bond spoof scene
keyword	nurse
keyword	pendant
keyword	judge
keyword	new job
keyword	money
keyword	extramarital affair
keyword	diploma
keyword	scam artist
keyword	music score features saxophone
keyword	parole
keyword	police
keyword	christmas eve
keyword	fugitive
keyword	school teacher
keyword	hospital
keyword	california
keyword	wallet
keyword	laundromat
keyword	airport
keyword	engagement
keyword	inmate
keyword	taxi
keyword	reference to mickey mantle
keyword	premarital sex
keyword	world war two veteran
keyword	womanizer
keyword	mother son relationship
keyword	christmas
keyword	paris france
keyword	tarmac
keyword	stewardess
keyword	police arrest
keyword	confidence trick
keyword	loss of father
keyword	substitute teacher
keyword	braces
keyword	police car
keyword	tragedy
keyword	watching tv
keyword	courtroom
keyword	teenage boy
keyword	swimming pool
keyword	bank fraud
keyword	lutheran
keyword	atlanta georgia
keyword	animated credits
keyword	impersonator
keyword	mayor
keyword	eclair
keyword	europe
keyword	movie theatre
keyword	record player
keyword	uniform
keyword	shreveport louisiana
keyword	imperative in title
keyword	florida
keyword	voice over narration
keyword	photograph
keyword	reference to the new york yankees
keyword	tax fraud
keyword	hotel
keyword	based on autobiography
keyword	impostor
keyword	teen angst
keyword	jukebox
keyword	miami florida
keyword	physician
keyword	party
keyword	forgery
keyword	jazz score
keyword	phonograph record
keyword	mislaid trust
keyword	secret service
keyword	redemption
keyword	singing
keyword	dog
keyword	pool
keyword	runaway
keyword	watching a movie
keyword	arrest
keyword	cinema
keyword	chinese food
keyword	new york city
keyword	church
keyword	1970s
keyword	cockpit
keyword	vomit
keyword	suitcase
keyword	check fraud
keyword	caper
keyword	emergency room
keyword	prostitution
keyword	hollywood california
keyword	theatre audience
keyword	choir
keyword	name change
keyword	singer
keyword	speech
keyword	bank
keyword	underage sex
keyword	banquet
keyword	label
keyword	chase
keyword	marseilles france
keyword	leitmotif
keyword	loan officer
keyword	tape recorder
keyword	los angeles california
keyword	job interview
keyword	orchestral music score
keyword	egypt
keyword	motel
keyword	louisiana
keyword	slide projector
keyword	blockbuster
keyword	high school
keyword	bra
keyword	madrid spain
keyword	necklace
keyword	franco american
keyword	source music
keyword	man with glasses
keyword	check bouncing
keyword	used car dealer
keyword	new rochelle new york
keyword	reference to ian fleming
keyword	fraud
keyword	wolf whistle
keyword	dancing
keyword	christmas tree
keyword	railway station
keyword	vomiting
keyword	classroom
keyword	prisoner
keyword	infidelity
keyword	lawyer
keyword	get rich quick scheme
keyword	typewriter
keyword	rotary club
keyword	divorce
keyword	animated title sequence
keyword	expert
keyword	airplane
keyword	handcuffs
keyword	telephone box
keyword	spy spoof
keyword	overhead camera shot
keyword	prayer
keyword	engagement party
keyword	handgun
keyword	con man
keyword	newspaper article
keyword	impersonation
keyword	luncheonette
keyword	dental braces
keyword	police officer
keyword	loss of virginity
keyword	what happened to epilogue
keyword	husband wife relationship
keyword	diner
keyword	spain
keyword	handcuffed
keyword	new orleans louisiana
keyword	comic book
keyword	nonlinear timeline
keyword	assumed identity
keyword	letter
keyword	attempted jailbreak
keyword	candy striper
keyword	based on book
keyword	based on novel
keyword	based on true story
keyword	
cast	Leonardo DiCaprio	Frank Abagnale Jr.
cast	Tom Hanks	Carl Hanratty
cast	Christopher Walken	Frank Abagnale
cast	Martin Sheen	Roger Strong
cast	Nathalie Baye	Paula Abagnale
cast	Amy Adams	Brenda Strong
cast	James Brolin	Jack Barnes
cast	Brian Howe	Earl Amdursky
cast	Frank John Hughes	Tom Fox
cast	Steve Eastin	Paul Morgan
cast	Chris Ellis	Special Agent Witkins
cast	John Finn	Assistant Director Marsh
cast	Jennifer Garner	Cheryl Ann
cast	Nancy Lenehan	Carol Strong
cast	Ellen Pompeo	Marci
cast	Elizabeth Banks	Lucy
cast	Guy Thauvette	Warden Garren
cast	Candice Azzara	Darcy
cast	Matthew Kimbrough	Loan Officer
cast	Joshua Boyd	Football Player
cast	Kaitlin Doubleday	Joanna
cast	Kelly McNair	Girl #1
cast	Jonathan Dankner	Student #1
cast	Maggie Mellin	Teacher
cast	Thomas Kopache	Principal Evans
cast	Margaret Travolta	Ms. Davenport
cast	Jimmie F. Skaggs	Bartender
cast	Alex Hyde-White	Mr. Kesner
cast	Lilyan Chauvin	Mrs. Lavalier
cast	Eugene Fleming	Ticket Clerk
cast	Robert Ruth	Hotel Manager
cast	Jennifer Manley	Ashley
cast	James Morrison	Pilot
cast	Robert Symonds	Mr. Rosen
cast	Jennifer Kan	Female Bank Teller
cast	Robert Curtis Brown	Front Desk Clerk
cast	Kelly Hutchinson	Young Female Teller
cast	Steve Witting	Manager
cast	Wendy Worthington	Receptionist
cast	Jane Bodle	TWA Ticket Agent
cast	J. Patrick McCormack	Auctioneer
cast	Brian Goodman	Motel Owner
cast	Ray Proscia	Salesman
cast	Sarah Lancaster	Riverbend Woman
cast	Jill Matson-Sachoff	Riverbend Woman
cast	Mike Baldridge	Terry
cast	Joel Ewing	Party Guy
cast	Ritchie Montgomery	Young Doctor
cast	Jim Antonio	Victor Griffith
cast	Angela Sorensen	Party Girl
cast	Jonathan Brent	Dr. Ashland
cast	Benita Krista Nall	Emergency Nurse
