year	2012
imdb score	6.6
meta score	59
genre	Comedy
genre	Drama
genre	Romance
keyword	best friends
keyword	friendship
keyword	single
keyword	male female friendship
keyword	celebrity
keyword	pregnant woman
keyword	gay friend
keyword	love
keyword	halloween party
keyword	reference to matthias steiner
keyword	dating
keyword	bad date
keyword	yoga
keyword	bong
keyword	wedding
keyword	artist
keyword	masturbation
keyword	singing in a car
keyword	awkwardness
keyword	pop culture
keyword	gay character
keyword	husband wife relationship
keyword	book writer
keyword	los angeles california
keyword	drunk
keyword	ex husband ex wife relationship
keyword	failed relationship
keyword	drug dealer
keyword	first date
keyword	divorce
keyword	character name in title
keyword	
cast	Rashida Jones	Celeste
cast	Andy Samberg	Jesse
cast	Ari Graynor	Beth
cast	Eric Christian Olsen	Tucker
cast	Rob Huebel	Business Man
cast	Elijah Wood	Scott
cast	Shira Lazar	Herself
cast	Will McCormack	Skillz
cast	Kate Krieger	Yogurt Girl
cast	Matthias Steiner	Himself
cast	Andreas Beckett	German Announcer
cast	Chris Messina	Paul
cast	Rebecca Dayan	Veronica
cast	Emma Roberts	Riley
cast	Janel Parrish	Savannah
cast	Rich Sommer	Max
cast	Jessica Joffe	Saleswoman
cast	Rafi Gavron	Rupert
cast	Chris Pine	Rory Shenandoah
cast	Matthew Del Negro	Nick
cast	Zoë Hall	Waitress
cast	Lenny Jacobson	Peter Pan
cast	Chris D'Elia	Snow White
cast	Sarah Haskins	Parent
cast	Lauren Sanchez	News Reporter
cast	Ashli Dowling	Bartender
cast	Willy Mac	Bear
cast	Robert Kya-Hill	Priest
cast	Amanda MacLachlan	Bridesmaid
cast	Sarah Wright	Bridesmaid
cast	Jordan Reid	Bridesmaid
cast	Joel Michaely	Gay Man #1
cast	Philip Pavel	Gay Man #2
cast	Louisa Kendrick	Celeste's Lawyer
cast	Jason Antoon	Young Man
cast	Jordan Berkow	Bridesmaid
cast	Kaitlyn Bouchard	Wedding Guest
cast	Jesse Dufault	Wedding Guest - Dancer
cast	Shannon Hartman	Wedding Guest - Dancer
cast	Kimmie Johnson	Wedding Guest
cast	Sun Jae Kim	Office Clerk
cast	Eva La Dare	Fire Dancer
cast	John Joseph Lindsey	Wedding Ceremony / Party Guest
cast	Kim Mahair	Yoga Instructor
cast	Jessica Mathis	Party Mermaid
cast	Cristina Moody	Wedding Guest
cast	Patrick Pedraza	Pat
cast	Mason Sharrow	Cafe Patron
cast	Susan T. Travers	Wedding Guest
