year	2000
imdb score	6.5
meta score	N/A
genre	Horror
genre	Mystery
genre	Thriller
keyword	professor
keyword	nightmare
keyword	student
keyword	blood
keyword	teacher
keyword	police
keyword	missing person
keyword	barefoot
keyword	oversized baby
keyword	severed finger
keyword	insomnia
keyword	independent film
cast	Jeff Daniels	Ed Saxon
cast	Molly Price	Susie
cast	Ben Shenkman	Officer Stewart
cast	Gil Bellows	Detective Derm
cast	Michelle Held	Mrs. Mastrioni
cast	Emily Bergl	Sadie
cast	Julian McMahon	George
cast	Guy Sanville	Doctor
cast	Lisa Sodman Elzinga	Pregnant Nurse
cast	Dennis North	Detective Mazurek
cast	Patrick Moug	Detective Snyder
cast	Zach Grenier	Geoffrey
cast	Eros Biox	Baby
cast	Tom Whalen	911 Operator
cast	Betsey Amid	Voice of Eve
cast	Kristie Dickinson	Eve
cast	Tricia Rose	Voice of Celeste
cast	Bee Vary	Mother
cast	Elizabeth Watson	Voice of ER Nurse
