year	1941
imdb score	8.5
meta score	N/A
genre	Drama
genre	Mystery
keyword	rosebud
keyword	newspaper
keyword	reporter
keyword	last words
keyword	power
keyword	estate
keyword	death
keyword	xanadu
keyword	flashback
keyword	money
keyword	mansion
keyword	friend
keyword	millionaire
keyword	picnic
keyword	scandal
keyword	infidelity
keyword	landmark
keyword	editor
keyword	good deed
keyword	suicide attempt
keyword	chicago illinois
keyword	dancer
keyword	kublai khan
keyword	snow
keyword	shadow
keyword	1930s
keyword	1890s
keyword	deathbed talk
keyword	deep focus
keyword	journalism
keyword	governor
keyword	rise to power
keyword	man with glasses
keyword	visual metaphor
keyword	directed by star
keyword	alienation
keyword	1920s
keyword	tragedy
keyword	abused child
keyword	journalist
keyword	voice over narration
keyword	lifting a male into the air
keyword	animal
keyword	jigsaw puzzle
keyword	melancholy
keyword	opera house
keyword	second marriage
keyword	influence
keyword	furnace
keyword	dark hero
keyword	cult film
keyword	father son relationship
keyword	wealth
keyword	gondola
keyword	newsreel in plot
keyword	sled
keyword	mother son relationship
keyword	nurse
keyword	famous line
keyword	limousine
keyword	19th century
keyword	business tycoon
keyword	mislaid trust
keyword	newspaper headline montage
keyword	fireplace
keyword	film within a film
keyword	husband wife relationship
keyword	toothache
keyword	blackmail
keyword	singer
keyword	fictional biography
keyword	spinning newspaper
keyword	friendship
keyword	materialism
keyword	multiple perspectives
keyword	colorado
keyword	musical number
keyword	nursing home
keyword	newsreel spoof
keyword	watching a newsreel
keyword	control freak
keyword	reference to coleridge
keyword	roman a clef
keyword	hidden truth
keyword	politician
keyword	written and directed by cast member
keyword	long take
keyword	extramarital affair
keyword	media mogul
keyword	divorce
keyword	newspaper publisher
keyword	mist
keyword	new york city
keyword	breakfast
keyword	leitmotif
keyword	actor director writer
keyword	unfaithfulness
keyword	mistress
keyword	christmas
keyword	rich snob
keyword	fire
keyword	ambition
keyword	secret past
keyword	newspaper editor
keyword	snowglobe
keyword	butler
keyword	narcissism
keyword	alternative history
keyword	adultery
keyword	fence
keyword	drinking
keyword	price of fame
keyword	egoist
keyword	lifting an adult into the air
keyword	loneliness
keyword	library
keyword	career
keyword	exotica
keyword	nightclub
keyword	frustration
keyword	trustee
keyword	dancing
keyword	drink
keyword	zoo
keyword	enigma
keyword	media tycoon
keyword	attempted suicide
keyword	waiting for love
keyword	florida
keyword	lifting someone into the air
keyword	imagery
keyword	rags to riches
keyword	drunkenness
keyword	singing lesson
keyword	20th century
keyword	megalomaniac
keyword	dark past
keyword	deathbed
keyword	pipe smoking
keyword	adulterer
keyword	extravagance
