year	2011
imdb score	6.4
meta score	45
genre	Action
genre	Crime
genre	Drama
genre	Thriller
keyword	murder
keyword	assassin
keyword	death
keyword	uncle
keyword	henchman
keyword	subway
keyword	stuffed toy
keyword	scaling wall
keyword	basement
keyword	ford mustang
keyword	kicked in the head
keyword	fighting
keyword	necklace
keyword	serial killer
keyword	tied to a chair
keyword	year 1992
keyword	captive shark
keyword	revenge
keyword	woman shot
keyword	climbing out a window
keyword	eaten by a shark
keyword	machine gun
keyword	brawl
keyword	drunken woman
keyword	humvee
keyword	orchid
keyword	shootout
keyword	knife
keyword	dead woman on floor
keyword	bra less
keyword	manhole
keyword	security guard
keyword	shark
keyword	painter
keyword	blood
keyword	toothbrush
keyword	jail
keyword	woman in a bath
keyword	action heroine
keyword	shower
keyword	showdown
keyword	witness to murder
keyword	female vomiting
keyword	electrocution
keyword	death threat
keyword	blood spatter
keyword	bra less woman
keyword	school principal
keyword	martial arts
keyword	female nudity
keyword	explosive
keyword	shot in the leg
keyword	stabbed in the hand
keyword	prison
keyword	escape
keyword	nude man murdered
keyword	five dollar bill
keyword	rooftop
keyword	swimming underwater
keyword	cia agent
keyword	time bomb
keyword	woman kills woman
keyword	cell phone
keyword	punched in the face
keyword	payphone
keyword	death of uncle
keyword	disguise
keyword	girl crying
keyword	fight
keyword	chase
keyword	mixed martial arts
keyword	swat team
keyword	air duct
keyword	locked in jail
keyword	hand grenade
keyword	tough girl
keyword	upskirt
keyword	police
keyword	vomiting on a desk
keyword	car accident
keyword	hiding
keyword	shot in the chest
keyword	m 16
keyword	miami florida
keyword	lasersight
keyword	semiautomatic pistol
keyword	hand to hand combat
keyword	running on roof
keyword	electrocuted in bathtub
keyword	bogota colombia
keyword	female killer
keyword	jumping through a window
keyword	investigation
keyword	dog
keyword	combat
keyword	woman in a bikini
keyword	riding a bus
keyword	woman punching a man
keyword	drug cartel
keyword	held at gunpoint
keyword	embassy
keyword	writing on skin
keyword	one word title
keyword	comic
keyword	premarital sex
keyword	fbi agent
keyword	death of grandmother
keyword	woman strangled to death
keyword	gun
keyword	motorcycle crash
keyword	laundromat
keyword	violence
keyword	crawling through an air shaft
keyword	organized crime
keyword	rocket
keyword	running for your life
keyword	rocket propelled grenade
keyword	ventilation
keyword	gunfight
keyword	revenge killing
keyword	daughter seeing mother murdered
keyword	sniper
keyword	colombia
keyword	beating
keyword	foot chase
keyword	vomit
keyword	swimming pool
keyword	torture
keyword	spent cartridge
keyword	fbi
keyword	seeing father murdered
keyword	sex scene
keyword	one against many
keyword	new orleans louisiana
keyword	dead woman on toilet
keyword	fiber optic scope
keyword	toasting with brandy
keyword	mansion
keyword	woman kills man
keyword	killer
keyword	armored car
keyword	bribe
keyword	heroine
keyword	barefoot woman
keyword	car crash
keyword	one woman army
keyword	artist
keyword	american flag
keyword	female in a shower
keyword	crime boss
keyword	cattleya orchid
keyword	uzi
keyword	female assassin
keyword	painting
keyword	woman wearing a miniskirt
keyword	cigarette smoking
keyword	parkour
keyword	animal attack
keyword	police station
keyword	grandmother
keyword	fistfight
keyword	gun fu
keyword	pillow fight
keyword	drug lord
keyword	drug dealer
keyword	pistol
keyword	cia
keyword	gangster
keyword	stylized violence
keyword	escaping through a sewer
keyword	policeman
keyword	swimming with a shark
keyword	love
keyword	cattleya
keyword	microwave oven
keyword	killer dog
keyword	chicago illinois
keyword	colombian drug cartel
keyword	female protagonist
keyword	explosion
keyword	death of father
keyword	death of mother
cast	Zoe Saldana	Cataleya
cast	Jordi Mollà	Marco
cast	Lennie James	Special Agent James Ross
cast	Amandla Stenberg	Cat - 10
cast	Michael Vartan	Danny Delanay
cast	Cliff Curtis	Emilio Restrepo
cast	Beto Benites	Don Luis Sandoval
cast	Jesse Borrego	Fabio Restrepo
cast	Cynthia Addai-Robinson	Alicia
cast	Angel Garnica	Pepe
cast	Ofelia Medina	Mama
cast	Callum Blue	Richard
cast	Sam Douglas	William Woodgard
cast	Graham McTavish	Head Marshall Warren
cast	Charles Maquignon	Sergeant Bill Attwood
cast	Affif Ben Badra	Genarro Rizzo
cast	David Clark	Marshall
cast	Billy Slaughter	Ryan
cast	Nikea Gamby-Turner	Shari
cast	Andrea Helene	Principal
cast	John McConnell	Smith
cast	Sébastien Peres	Swat
cast	Mark De Alessandro	Swat
cast	Pablo Vinós	Swat
cast	Max Martini	Agent Robert Williams
cast	Tony Dalton	American Embassy 1
cast	Julian Sedgwick	American Embassy 2
cast	Julien Muller	Doyle
cast	Guillermo Ríos	Emilio's Man
cast	Luis Toscano	Fabio's Man
cast	Javier Escobar	Marco's Gun Man
cast	Michael Showers	Cop
cast	Wes Cannon	Cop
cast	Doug Rao	Michael Shino
cast	Reem Kherici	Nymphette
cast	Julie Nicolet	Nymphette
cast	Stéphane Orsolani	Guy
cast	Steve Herson	Ticket Agent
cast	Richard Zeringue	Bureaucrat
cast	Stephan Brodziak	Tech FBI
cast	William Raymond	FBI Operator
cast	Alfredo Gonzáles	Old Man
cast	Alejandro Peraza	Head Body Guard
cast	Donald Marshall	William's Servant
cast	Mylène Pilutik	CIA Girl
cast	Silas Cooper	Customs Officer
cast	Ariane Brodier	Alexa
cast	Donald Gordon	FBI Mailman
cast	Benoit Lavelatte	Thug
cast	Beau Brasseaux	S.W.A.T.
cast	Gene Bryant	Car Thug
cast	Cedric Burton	SWAT
cast	Nelson Carvajal	Bus Station Patron
cast	Michael Kuster	Bus Station Patron
cast	Grace LaRocca	Cop
cast	Austin Naulty	SWAT
cast	Jim Nieciecki	Union Station Bus Traveler Flash Back Sequence and Modern day scene
cast	Frédéric Pfender	US Marshall
cast	Robert A. Young	Chicago Police Officer
