year	1995
imdb score	6.5
meta score	54
genre	Crime
genre	Drama
genre	Mystery
genre	Thriller
keyword	serial killer
keyword	detective
keyword	psychologist
keyword	computer
keyword	murder
keyword	agoraphobia
keyword	copycat
keyword	police officer shot in the back
keyword	hostage situation
keyword	murder of a police officer
keyword	suspense
keyword	suspended policeman
keyword	evil man
keyword	newspaper headline
keyword	ants
keyword	severed finger
keyword	panties
keyword	dead body in water
keyword	psychological thriller
keyword	forensic psychologist
keyword	naked dead woman
keyword	reference to ted bundy
keyword	reference to calvin coolidge
keyword	body count
keyword	strangulation
keyword	fear
keyword	police officer shot in the chest
keyword	maniac
keyword	obsessive compulsive
keyword	psychosis
keyword	friendship
keyword	copycat murder
keyword	murderer
keyword	police officer killed
keyword	reference to jack the ripper
keyword	kidnapping
keyword	gay bar
keyword	lasersight
keyword	reference to patty hearst
keyword	stalking
keyword	homosexual
keyword	gore
keyword	shot in the head
keyword	reference to james monroe
keyword	sicko
keyword	neo noir
keyword	hamburger
keyword	reference to abraham lincoln
keyword	hypodermic
keyword	policewoman shot
keyword	scene of the crime
keyword	chinese american
keyword	computer chess
keyword	reference to john adams
keyword	reference to k mart
keyword	woman in jeopardy
keyword	nosebleed
keyword	homicidal maniac
keyword	reference to jeffrey dahmer
keyword	hanging
keyword	reference to boston strangler
keyword	human monster
keyword	bathroom stall
keyword	stalker
keyword	slasher
keyword	police detective
keyword	one word title
keyword	macabre
keyword	phobia
keyword	opera lover
keyword	reference to james madison
keyword	murder investigation
keyword	blood
keyword	two killers
keyword	san francisco california
keyword	ex boyfriend ex girlfriend relationship
keyword	psycho
keyword	police officer shot through the heart
keyword	reference to partridge family
keyword	assault
keyword	terror
keyword	reference to andrew jackson
keyword	house on fire
keyword	firing range
keyword	paranoia
keyword	taunting
keyword	female protagonist
keyword	reference to hillside strangler
keyword	mother son relationship
keyword	video camera
keyword	police officer shot
keyword	toilet
keyword	night vision
keyword	reference to martin van bueren
keyword	psychopath
keyword	police officer throat slit
keyword	translator
keyword	violence
keyword	throat slitting
keyword	bound and gagged
keyword	target practice
keyword	reference to george washington
keyword	policewoman
keyword	police officer taken hostage
keyword	home invasion
keyword	reference to thomas jefferson
keyword	impersonating a police officer
keyword	interrupted hanging
keyword	injection
keyword	steadicam
keyword	reference to david letterman
keyword	blood pool
keyword	reference to son of sam
keyword	reference to john quincy adams
keyword	red dress
keyword	twisted mind
keyword	serial murder
keyword	seminar
keyword	death
keyword	slow motion scene
keyword	drugged drink
keyword	san francisco police department
keyword	ladies room
keyword	investigation
keyword	psychopath
keyword	bird's eye shot
keyword	gay man
keyword	dead body in bathtub
keyword	blood spatter
keyword	independent film
keyword	title spoken by character
cast	Sigourney Weaver	Helen Hudson
cast	Holly Hunter	M.J. Monahan
cast	Dermot Mulroney	Reuben Goetz
cast	William McNamara	Peter Foley
cast	Harry Connick Jr.	Daryll Lee Cullum
cast	J.E. Freeman	Lt. Quinn
cast	Will Patton	Nicoletti
cast	John Rothman	Andy
cast	Shannon O'Hurley	Susan Schiffer
cast	Bob Greene	Pachulski
cast	Tony Haney	Kerby
cast	Danny Kovacs	Kostas
cast	Tahmus Rounds	Landis
cast	Scott DeVenney	Cop #1
cast	David Michael Silverman	Mike
cast	Diane Amos	Gigi
cast	Richard Conti	Harvey
cast	Nick Scoggin	Conrad
cast	Bert Kinyon	Burt
cast	Dennis Richmond	KXBU Anchorman
cast	Rob Nilsson	SWAT Commander
cast	Kenny Kwong	Chinese Kid
cast	Charles Branklyn	Doc
cast	Kelly DeMartino	Festival Girl
cast	Rebecca Klingler	Peter's Wife
cast	Terry Brown	Cop #2
cast	Corie Henninger	Jogger
cast	Bill Bonham	Photographer
cast	Kathleen Stefano	Peter's Mother
cast	Chris Beale	Tech Guy #1
cast	Hansford Prince	Fred
cast	Don West	Attorney
cast	Jay Jacobus	Judge
cast	John Charles Morris	Young Peter
cast	Keith Phillips	Felix Mendoza
cast	Johnetta Shearer	Paramedic
cast	Ron Kaell	Mac
cast	Kelvin Han Yee	Chinese Detective
cast	James Cunningham	Hal
cast	Victor Talmadge	Head Waiter
cast	Brian Keith Russell	Coroner's Man
cast	Damon Lawner	Festival Dude
cast	Russ Christoff	Commissioner Petrillo
cast	Doug Morrisson	SWAT #1
cast	Edith Bryson	Landlady
cast	Jeni Chua	Michelle
cast	William Oates	Man in Corridor
cast	Lee Kopp	Haircut Man
cast	Thomas J. Fieweger	Bodger the Cop
cast	Floyd Gale Holland	L. Bottemy
cast	Anthony Moore	Uniformed Policeman
cast	Stephanie Smith	Disturbed Tenant #1
cast	S.J. Spinali	Disturbed Tenant #2
cast	Katherine Fitzhugh	Disturbed Tenant #3
cast	Robert Benscoter	Disturbed Tenant #4
cast	Arlon G. Greene	Male Jogger
cast	Stuart W. Yee	Thug
cast	Vincenetta Gunn	Screaming Woman
cast	David Ferguson	Dock On-looker
cast	Eleva Singleton	Paramedic
cast	Gena Bingham	Victim in Car at Gas Station
cast	Brian Banowetz	Suspect
cast	Jon Briddell	Burglar
cast	Monique Carmona	Woman on Hill on computer
cast	Bob Dini	Police Inspector
cast	Ron Roggé	Paramedic
cast	Jeff Scott	Cop
cast	Tracey Silver	Student
cast	Joseph Quinn Simpkins	Reporter
