year	2009
imdb score	7.7
meta score	80
genre	Animation
genre	Fantasy
genre	Thriller
keyword	new home
keyword	secret door
keyword	button
keyword	parallel worlds
keyword	dream
keyword	eye
keyword	parachute
keyword	praying mantis
keyword	food
keyword	rat
keyword	lightning
keyword	beetle
keyword	thunder
keyword	cell phone
keyword	stuffed animal toy
keyword	cannon
keyword	flashlight
keyword	breaking mirror
keyword	nightmare
keyword	garden
keyword	trapeze
keyword	actress
keyword	hanging from a flagpole
keyword	pianist
keyword	blue hair
keyword	texas
keyword	metamorphosis
keyword	old dark house
keyword	big top
keyword	ghost child
keyword	sleeping
keyword	water well
keyword	fireplace
keyword	theatre
keyword	stage
keyword	other father
keyword	dowsing rod
keyword	eating
keyword	cane
keyword	lorgnette
keyword	bat
keyword	tickling
keyword	rain
keyword	tea
keyword	hummingbird
keyword	snowglobe
keyword	little boy
keyword	cult film
keyword	fantasy world
keyword	needle
keyword	eyeglasses
keyword	buxom
keyword	corset
keyword	tears
keyword	tunnel
keyword	boy
keyword	3 dimensional
keyword	circus
keyword	grandmother grandson relationship
keyword	mouse
keyword	running away
keyword	singing
keyword	ghost
keyword	sleep
keyword	dark fantasy
keyword	secret passage
keyword	slug
keyword	oregon
keyword	tent
keyword	spider web
keyword	walker
keyword	cheese
keyword	laptop computer
keyword	clue
keyword	computer
keyword	michigan
keyword	husband wife relationship
keyword	forest
keyword	bedroom
keyword	doll
keyword	skipping stone
keyword	camera
keyword	balancing on a balcony railing
keyword	milkshake
keyword	acrobat
keyword	candle
keyword	old mansion
keyword	eye cut out
keyword	blowing a raspberry
keyword	pet dog
keyword	toy train
keyword	catalogue
keyword	angel
keyword	stabbing a doll
keyword	bug
keyword	fog
keyword	theatre production
keyword	disappearance of one's father
keyword	talking cat
keyword	thread
keyword	knitting needle
keyword	search
keyword	toy chest
keyword	bicycle
keyword	sewing
keyword	game playing
keyword	dog
keyword	alternate world
keyword	dinner
keyword	moving crew
keyword	photograph
keyword	riddle
keyword	mother daughter relationship
keyword	mirror
keyword	old woman
keyword	void
keyword	talking animal
keyword	bechdel test passed
keyword	kidnapping
keyword	search for parent
keyword	stop motion animation
keyword	moving van
keyword	circular staircase
keyword	high dive
keyword	key
keyword	cotton candy
keyword	impostor
keyword	wallpaper
keyword	diving into a barrel
keyword	reference to william shakespeare
keyword	theatre audience
keyword	lemonade
keyword	clothing store
keyword	cat and mouse
keyword	poison oak
keyword	female protagonist
keyword	horror for children
keyword	moving
keyword	movers
keyword	motorcycle
keyword	disappearance
keyword	gloves
keyword	pajamas
keyword	mirror as portal
keyword	insect
keyword	cat
keyword	neighbor
keyword	reflection
keyword	pet cat
keyword	snow
keyword	piano
keyword	pizza
keyword	suitcase
keyword	swinging on a door
keyword	candy
keyword	bicycling
keyword	stuffed toy dog
keyword	mechanical hand
keyword	prayer
keyword	scissors
keyword	tea leaves
keyword	eccentric
keyword	mermaid
keyword	rescue
keyword	peeling skin
keyword	well shaft
keyword	hide and seek
keyword	balcony
keyword	child protagonist
keyword	father daughter relationship
keyword	fortune telling
keyword	letter
keyword	player piano
keyword	fear
keyword	cake
keyword	little girl
keyword	shakespearean quotation
keyword	spotlight
keyword	song
keyword	voice over narration
keyword	flowers
keyword	anger
keyword	surrealism
keyword	singer
keyword	presidents' day
keyword	stuffed animal
keyword	dowsing
keyword	based on novel
keyword	character name in title
keyword	title spoken by character
cast	Dakota Fanning	Coraline Jones
cast	Teri Hatcher	Mel Jones / Other Mother / Beldam
cast	Jennifer Saunders	Miss April Spink / Other Spink
cast	Dawn French	Miss Miriam Forcible / Other Forcible
cast	Keith David	The Cat
cast	John Hodgman	Charlie Jones / Other Father
cast	Robert Bailey Jr.	Wyborne 'Wybie' Lovat
cast	Ian McShane	Mr. Sergei Alexander Bobinsky / Other Bobinsky
cast	Aankha Neal	Sweet Ghost Girl
cast	George Selick	Ghost Boy
cast	Hannah Kaiser	Tall Ghost Girl
cast	Harry Selick	Photo Friend
cast	Marina Budovsky	Photo Friend
cast	Emerson Tenney	Magic Dragonfly
cast	Jerome Ranft	Mover
cast	Christopher Murrie	Toy
cast	Jeremy Ryder	Toy
cast	Carolyn Crawford	Wybie's Grandmother
cast	Yona Prost	Shakespeare Rascal
