year	2011
imdb score	7.5
meta score	68
genre	Comedy
genre	Drama
genre	Romance
keyword	love
keyword	divorce
keyword	friend
keyword	bar
keyword	one night stand
keyword	girl
keyword	lothario
keyword	law student
keyword	dream
keyword	escalator
keyword	male makeover
keyword	accountant
keyword	bare chested male
keyword	face slap
keyword	womanizer
keyword	running a red light
keyword	law school
keyword	domestic strife
keyword	lifting a girl into the air
keyword	sneakers
keyword	dancing
keyword	husband wife relationship
keyword	sunglasses
keyword	stanford university
keyword	sexting
keyword	family relationships
keyword	bachelor pad
keyword	reference to dennis weaver
keyword	fight
keyword	crying
keyword	father daughter relationship
keyword	boyfriend girlfriend relationship
keyword	lawyer
keyword	baseball glove
keyword	montage
keyword	record player
keyword	cell phone
keyword	broken glass in a picture frame
keyword	slow motion scene
keyword	reference to jennifer grey
keyword	parent teacher conference
keyword	marriage proposal
keyword	depression
keyword	sex scene
keyword	taking a nude photo of one's self
keyword	english class
keyword	middle school
keyword	bed
keyword	father son relationship
keyword	reference to divorce for dummies the book
keyword	bar exam
keyword	reference to the titanic
keyword	valium
keyword	talking to one's self
keyword	photographer
keyword	mother daughter relationship
keyword	marital separation
keyword	slapping someone's hand
keyword	marriage
keyword	ballerina
keyword	text messaging
keyword	eighth grade graduation
keyword	raised middle finger
keyword	kiss
keyword	mother son relationship
keyword	standing in the rain
keyword	character says i love you
keyword	gin the drink
keyword	reference to god
keyword	marital problem
keyword	buddy
keyword	soul mate
keyword	title ends with period
keyword	reference to the scarlet letter
keyword	answering machine
keyword	miniature golf
keyword	watching through a window
keyword	mixing a drink
keyword	bicycle
keyword	dropping a cafeteria trap
keyword	midlife crisis
keyword	nervousness
keyword	flowers
keyword	unfaithfulness
keyword	sleeping
keyword	wallet
keyword	lipstick
keyword	bouquet
keyword	teacher
keyword	ballet
keyword	drunkenness
keyword	sushi
keyword	adultery
keyword	punched in the face
keyword	massage chair
keyword	reference to patrick swayze
keyword	reference to miyagi
keyword	hardware store
keyword	playing catch
keyword	liar
keyword	computer
keyword	jumping out of a moving car
keyword	umbrella
keyword	reckless driving
keyword	honesty
keyword	reference to the st. louis cardinals
keyword	men's clothing
keyword	sister sister relationship
keyword	class
keyword	reference to macy's
keyword	reference to pringle's
keyword	toy windmill
keyword	reference to supercuts
keyword	reference to jesus christ
keyword	camera
keyword	graduation speech
keyword	babysitter
keyword	reference to hugh hefner
