year	2008
imdb score	6.0
meta score	31
genre	Crime
genre	Drama
genre	Mystery
genre	Thriller
keyword	sex
keyword	disappearance
keyword	lawyer
keyword	heist
keyword	cell phone
keyword	friend
keyword	hotel
keyword	suspect
keyword	auditor
keyword	subway
keyword	accountant
keyword	mailbox
keyword	chewing gum
keyword	airplane
keyword	death
keyword	phone sex
keyword	embezzlement
keyword	water pipe leak
keyword	dancing
keyword	watching tv
keyword	wall street manhattan new york city
keyword	betrayal
keyword	money transfer
keyword	male bonding
keyword	madrid spain
keyword	london england
keyword	tennis
keyword	photograph
keyword	blackmail
keyword	silencer
keyword	lingerie
keyword	shot in the back
keyword	booby trap
keyword	chinese food
keyword	guitar
keyword	cigarette smoking
keyword	computer
keyword	chinese restaurant
keyword	park
keyword	cleaning lady
keyword	circular staircase
keyword	times square manhattan new york city
keyword	woman on top
keyword	businesswoman
keyword	elevator
keyword	scam
keyword	stranger
keyword	waldorf astoria hotel manhattan new york city
keyword	tennis racket
keyword	wind up toy
keyword	new york city
keyword	blood
keyword	thief
keyword	topless female nudity
keyword	montage
keyword	tennis match
keyword	panties
keyword	chinatown manhattan new york city
keyword	deception
keyword	search
keyword	loneliness
keyword	shyness
keyword	investigation
keyword	undressing
keyword	missing person
keyword	female detective
keyword	telephone call
keyword	liar
keyword	desk clerk
keyword	eating
keyword	love
keyword	sex talk
keyword	wall street analyst
keyword	analyst
keyword	punched in the face
keyword	doppelganger
keyword	pillow talk
keyword	hotel room
keyword	mixed doubles tennis
keyword	kiss
keyword	song
keyword	identity swap
keyword	apartment explosion
keyword	lust
keyword	shower
keyword	identity theft
keyword	strip club
keyword	morgue
keyword	set up
keyword	box office flop
keyword	f word
keyword	gurney
keyword	stoned
keyword	stupid victim
keyword	ice cube
keyword	dirty money
keyword	knocked out
keyword	dead body
keyword	drug use
keyword	drinking
keyword	food
keyword	police
keyword	cleaning man
keyword	snowing
keyword	nightclub
keyword	singer
keyword	bare breasts
keyword	back stabbing
keyword	pot smoking
keyword	lie
keyword	killed with a gun
keyword	closing credits sequence
keyword	theft
keyword	love at first sight
keyword	fake kidnapping
keyword	dancer
keyword	bra
keyword	anonymous sex
keyword	taxi
keyword	marijuana
keyword	painter
keyword	gun
keyword	snow
keyword	gas explosion
keyword	night club
keyword	one word title
keyword	underwear
keyword	female nudity
keyword	policewoman
keyword	rain
keyword	strangulation
keyword	guitarist
keyword	mirror
keyword	murder
keyword	detective
keyword	magazine cover
keyword	locker room
keyword	businessman
keyword	ginseng chewing gum
keyword	chance meeting
keyword	bomb
keyword	rear entry sex
keyword	singing
keyword	drink
keyword	policeman
keyword	fireman
keyword	delusion
keyword	bar
keyword	framed
keyword	trust fund
keyword	voice over narration
keyword	fire
keyword	scheme
keyword	explosion
keyword	ambulance
keyword	toy duck
keyword	duct tape
keyword	erotica
keyword	briefcase
keyword	nudity
keyword	trophy
keyword	
cast	Ewan McGregor	Jonathan McQuarry
cast	Hugh Jackman	Wyatt Bose
cast	Michelle Williams	S
cast	Bruce Altman	Lawyer #1
cast	Andrew Ginsburg	Lawyer #2
cast	Stephanie Roth Haberle	Assistant Controller
cast	Christine Kan	Tennis Player
cast	Dante Spinotti	Herr Kleiner / Mr. Moretti
cast	Karolina Muller	Waitress
cast	Agnete Oernsholt	Woman at Waldorf Astoria
cast	Melissa Rae Mahon	Velvet Rope Dancer #1
cast	Rachel Montez Collins	Velvet Rope Dancer #2
cast	Holly Cruikshank	Velvet Rope Dancer #3
cast	Deborah Yates	Tango Dancer
cast	Bill Camp	Clancey Controller
cast	Zoe Perry	Secretary #1
cast	Aya Cash	Secretary #2
cast	Frank Girardeau	Norbert Lewman
cast	Natasha Henstridge	Wall Street Analyst
cast	Charlotte Rampling	Wall Street Belle
cast	Paz de la Huerta	List Member #1
cast	Daisy Bates	List Member #2
cast	Shannan Click	List Member #3
cast	Malcolm Goodwin	Cabbie
cast	Jordan Tesfay	List Member #4
cast	Rachael Taylor	Woman in Hallway
cast	Sally Leung Bayer	Old Woman
cast	Kenneth G. Yong	Lotus Hotel Clerk
cast	LisaGay Hamilton	Detective Russo
cast	Paul Sparks	Detective Burke
cast	Kenneth Lee	Waiter
cast	James Mazzola	Locksmith
cast	Lisa Kron	Receptionist
cast	Margaret Colin	Ms. Pomerantz
cast	Lynn Cohen	Woman
cast	Peter Scanavino	Rhiga Desk Clerk
cast	Maggie Q	Tina at the Rhigha Royal
cast	Frank Deal	Police Officer
cast	Florencia Lozano	Clancey Receptionist
cast	Emelie Jeffries	Medical Examiner
cast	Danny Burstein	Clute Controller
cast	Chandler Parker	Uniform Cop
cast	Peter J. Fernandez	Businessman on Airplane
cast	Mercedes Herrero	Bank Greeter
cast	Daniel Lugo	Mr. Ruiz
cast	Javier Godino	Bank Manager
cast	Brian Slaten	Younger Officer
cast	Linda Asuma	Rachel
cast	David Boston	Man Passing on the Sidewalk
cast	Robert 'Toshi' Kar Yuen Chan	Hustler
cast	Wayne Chang	Restaurant Patron
cast	Joey Chanlin	Waiter #1
cast	Brother Eden Douglas	Squad Room Detective
cast	Aleksandra Eriksson	Miley
cast	Pamela Fischer	First Class Passenger
cast	Ramon Flowers	Law Clerk
cast	Thelma Gutiérrez	Bank Teller
cast	Takako Haywood	Banker
cast	Alina Kaufman	Jessica
cast	Fady Kerko	Subway Commuter
cast	Basil Kershner	Construction worker
cast	Heland Lee	Chinese sex hustler
cast	Mikesh Marie	Laura
cast	Joseph Melendez	Bank Manager
cast	Kristina Neeko	Sandra
cast	Corinne Palermo	S Lookalike
cast	Loukas Papas	Squad Room Detective
cast	Richard Short	Desk Clerk
cast	Sonny Vellozzi	Bank Teller
cast	Steven Weisz	Man on Street
cast	Kaleti Williams	Sean
