year	1999
imdb score	6.8
meta score	33
genre	Comedy
genre	Music
keyword	kiss
keyword	concert
keyword	band
keyword	high school
keyword	teenager
keyword	teenager
keyword	underwear
keyword	reference to lassie
keyword	belch
keyword	stripping
keyword	swedish
keyword	pimple
keyword	hustler magazine
keyword	confessional
keyword	geek
keyword	porno movie
keyword	gay
keyword	reference to the journey the band
keyword	reference to burt reynolds
keyword	reference to donny and marie osmond
keyword	drugs
keyword	female to male foot in crotch
keyword	long hair
keyword	auto theft
keyword	pokies
keyword	bell bottoms
keyword	disc jockey
keyword	cafeteria
keyword	cross
keyword	friendship
keyword	hit in the crotch
keyword	kneed in the crotch
keyword	jewish
keyword	homosexual
keyword	reference to steve martin
keyword	father son relationship
keyword	singing
keyword	reference to the hulk
keyword	reference to blue oyster cult
keyword	priest
keyword	music concert
keyword	handcuffs
keyword	reference to farrah fawcett
keyword	drink
keyword	nerd
keyword	religious parents
keyword	classroom
keyword	guitar
keyword	kiss the band
keyword	father daughter relationship
keyword	film projector
keyword	stolen car
keyword	tampon
keyword	concert ticket
keyword	face painting
keyword	black bra
keyword	chop shop
keyword	liar
keyword	8 track
keyword	pinched butt
keyword	reference to leif garrett
keyword	rock music
keyword	reference to the jamestown suicide
keyword	car radio
keyword	red dress
keyword	strip contest
keyword	pizza
keyword	reference to the carpenters
keyword	lie
keyword	split screen
keyword	rock concert
keyword	gargoyle
keyword	premature ejaculation
keyword	apology
keyword	classic rock music
keyword	city name in title
keyword	reference to kool and the gang
keyword	policeman
keyword	heavy metal
keyword	virginity
keyword	reference to freddie prinze
keyword	day glo
keyword	reference to jimmy carter
keyword	car accident
keyword	ob gyn
keyword	period piece
keyword	erection
keyword	virgin
keyword	domineering mother
keyword	restaurant
keyword	nudity
keyword	crossing self
keyword	station wagon
keyword	place name in title
keyword	backstage pass
keyword	reference to chippendale's the nightclub
keyword	guard dog
keyword	singer
keyword	thief
keyword	sex in car
keyword	boy band
keyword	car
keyword	reference to elvis presley
keyword	gay slur
keyword	gynecologist
keyword	lava lamp
keyword	cafe
keyword	record player
keyword	homophobia
keyword	drinking
keyword	mushroom
keyword	teacher
keyword	slow motion scene
keyword	school bus
keyword	cult music band
keyword	reference to erma bombeck
keyword	coming of age
keyword	reference to kent state
keyword	menstruation
