year	1999
imdb score	7.4
meta score	62
genre	Adventure
genre	Comedy
genre	Fantasy
keyword	angel
keyword	abortion clinic
keyword	clinic
keyword	abortion
keyword	church
keyword	apostle
keyword	jay and silent bob
keyword	prophet
keyword	new jersey
keyword	voice of god
keyword	revenge
keyword	muse
keyword	dogma
keyword	catholic
keyword	stripper
keyword	demon
keyword	wisconsin
keyword	mute
keyword	homeless man
keyword	clergy
keyword	wedding ring
keyword	historical fiction
keyword	stabbing
keyword	indulgence
keyword	gang
keyword	seraphim
keyword	golden calf
keyword	christ allegory
keyword	reference to jesus christ
keyword	catholic guilt
keyword	triple teen murder
keyword	marital infidelity
keyword	news reporter
keyword	wrath
keyword	anti hero
keyword	stabbed in the side
keyword	murder by gunshot
keyword	catholicism
keyword	triplet
keyword	mission
keyword	nun
keyword	broken glass
keyword	illinois
keyword	bed
keyword	holy water
keyword	despair
keyword	crisis of faith
keyword	bartender
keyword	inside joke
keyword	faith
keyword	shot in the chest
keyword	unlikely hero
keyword	lapsed catholic
keyword	anger
keyword	god as human
keyword	sin
keyword	kindness
keyword	warning
keyword	black stereotype
keyword	skee ball
keyword	cult film
keyword	blood splatter
keyword	controversy
keyword	sex talk
keyword	irreverence
keyword	punishment
keyword	news report
keyword	depiction of god
keyword	idolatry
keyword	violence
keyword	chosen one
keyword	religion
keyword	priest
keyword	cult film
keyword	good versus evil
keyword	gore
keyword	sexual humor
keyword	uzi
keyword	machine gun
keyword	off screen murder
keyword	protestor
keyword	erotic dancing
keyword	doctrine
keyword	car keys
keyword	gay reference
keyword	roller blades
keyword	newspaper article
keyword	racial slur
keyword	exile
keyword	fast food
keyword	desert eagle
keyword	newspaper
keyword	forgiveness
keyword	kiss
keyword	alternative history
keyword	road trip
keyword	reluctant hero
keyword	mass killing
keyword	train ride
keyword	tequila
keyword	death sin
keyword	capital punishment
keyword	walking on water
keyword	tragic event
keyword	reference to satan
keyword	crisis
keyword	prelate
keyword	female bartender
keyword	fart joke
keyword	bar
keyword	penis joke
keyword	sequel
keyword	bedroom
keyword	anniversary
keyword	gunshot
keyword	drug dealer
keyword	manual transmission
keyword	christianity
keyword	religious zealot
keyword	train
keyword	infallibility
keyword	obsession
keyword	view askew
keyword	moral ambiguity
keyword	ancient history
keyword	tragic villain
keyword	exploding head
keyword	on the road
keyword	jewish woman
keyword	airport
keyword	1990s
keyword	hospital
keyword	scatological humor
keyword	neck breaking
keyword	miracle
keyword	bus
keyword	tv news
keyword	religious faith
keyword	tragicomedy
keyword	molotov cocktail
keyword	homosexual subtext
keyword	swearing
keyword	mass murder
keyword	apocrypha
keyword	shot in the wings
keyword	fast talker
keyword	begins with text
keyword	false name
keyword	catholic church
keyword	heroine
keyword	shermer illinois
keyword	voodoo doll
keyword	sex
keyword	fallen angel
keyword	bible
keyword	broken bottle
keyword	handgun
keyword	neglecting to cover sneeze
keyword	written and directed by cast member
keyword	armor
keyword	apocalypse
keyword	satire
keyword	devil
keyword	toilet
keyword	psychopath
keyword	newspaper clipping
keyword	murder
keyword	redemption
keyword	reference to god
keyword	blood
keyword	archangel
keyword	androgyny
keyword	loss of faith
keyword	friendship
keyword	sequel mentioned during end credits
keyword	black comedy
keyword	f word
keyword	cardinal the priest
keyword	golf club
keyword	monster
keyword	dead body
keyword	spit take
keyword	shootout
keyword	compassion
keyword	independent film
keyword	title spoken by character
cast	Bud Cort	John Doe Jersey
cast	Barret Hackney	Stygian Triplet
