year	1997
imdb score	7.8
meta score	76
genre	Biography
genre	Crime
genre	Drama
genre	Thriller
keyword	mafia
keyword	fbi
keyword	undercover
keyword	fbi agent
keyword	money
keyword	1970s
keyword	new york city
keyword	marriage
keyword	mole
keyword	set up
keyword	corrupt police
keyword	cheque
keyword	stealing money
keyword	empire state building manhattan new york city
keyword	finger gun
keyword	swimming pool
keyword	gangster
keyword	domestic violence
keyword	christmas tree
keyword	racial slur
keyword	beach
keyword	gambling
keyword	hot wiring a car
keyword	williamsburg bridge
keyword	singing
keyword	shotgun
keyword	hijacking
keyword	snitch
keyword	target practice
keyword	cocaine
keyword	marital strife
keyword	nurse
keyword	car keys
keyword	hitman
keyword	mugshot
keyword	men's bathroom
keyword	cigarette smoking
keyword	police officer
keyword	mobster
keyword	blood splatter
keyword	drug dealer
keyword	stage
keyword	lion
keyword	siren
keyword	hundred dollar bill
keyword	airplane
keyword	telephone booth
keyword	police raid
keyword	father daughter relationship
keyword	tape recorder
keyword	special agent
keyword	playing cards
keyword	year 1978
keyword	japanese restaurant
keyword	tennis court
keyword	held at gunpoint
keyword	fake moustache
keyword	watching tv
keyword	loyalty
keyword	neglected wife
keyword	psychiatry
keyword	shot to death
keyword	diamond
keyword	photograph
keyword	criminal syndicate
keyword	punched in the face
keyword	duct tape over mouth
keyword	neo noir
keyword	severed foot
keyword	firing range
keyword	cafe
keyword	miami florida
keyword	racism
keyword	shot in the stomach
keyword	pier
keyword	barbershop
keyword	racial violence
keyword	reference to chaka khan
keyword	strip club
keyword	storytelling
keyword	italian american cop
keyword	stabbed in the back
keyword	police brutality
keyword	courtroom
keyword	hit
keyword	police arrest
keyword	father son relationship
keyword	blood
keyword	reference to john d. rockefeller
keyword	fishing
keyword	corpse
keyword	police bust
keyword	husband wife relationship
keyword	restaurant
keyword	knife
keyword	garbage can
keyword	undercover agent
keyword	handcuffs
keyword	drugs
keyword	shot in the chest
keyword	stripper
keyword	typewriter
keyword	pistol
keyword	greyhound racing
keyword	manhattan new york city
keyword	beaten to death
keyword	cutting off a leg
keyword	witness protection
keyword	reference to raquel welch
keyword	dancing
keyword	italian american
keyword	death
keyword	shot in the leg
keyword	organized crime
keyword	blood on shirt
keyword	envelope full of money
keyword	singer
keyword	boat
keyword	sex on stairs
keyword	reference to jesus christ
keyword	porsche
keyword	losing weight
keyword	weightlifting
keyword	title appears in text
keyword	unsubtitled foreign language
keyword	bra
keyword	reflection in car mirror
keyword	santa claus hat
keyword	threatened with a knife
keyword	shaving cream
keyword	video footage
keyword	pool table
keyword	ethnic slur
keyword	waiter
keyword	beating
keyword	shot in the head
keyword	tennis
keyword	dismemberment
keyword	bare chested male
keyword	convenience store
keyword	camera
keyword	bikini
keyword	stakeout
keyword	knocked out with a gun butt
keyword	district attorney
keyword	breaking a mirror
keyword	video cassette
keyword	brooklyn bridge
keyword	bar
keyword	hospital
keyword	hit with a hammer
keyword	reference to open sesame incantation
keyword	american flag
keyword	hotel
keyword	audio cassette
keyword	colombian
keyword	marriage counselor
keyword	murder
keyword	yacht
keyword	christmas
keyword	tool shed
keyword	reference to mickey mantle
keyword	christmas decorations
keyword	police
keyword	reference to john wayne
keyword	mentor
keyword	face slap
keyword	covert
keyword	lounge singer
keyword	mother son relationship
keyword	masked men
keyword	betrayal
keyword	drug addict
keyword	airport
keyword	surveillance
keyword	gold medal
keyword	violence
keyword	based on book
keyword	based on true story
keyword	character name in title
keyword	surprise ending
keyword	
cast	Al Pacino	Benjamin 'Lefty' Ruggiero
cast	Johnny Depp	Donnie Brasco / Joseph D. 'Joe' Pistone
cast	Michael Madsen	Sonny Black
cast	Bruno Kirby	Nicky
cast	James Russo	Paulie
cast	Anne Heche	Maggie Pistone
cast	Zeljko Ivanek	Tim Curley
cast	Gerry Becker	Agent Dean Blandford FBI
cast	Robert Miano	Sonny Red
cast	Brian Tarantina	Bruno
cast	Rocco Sisto	Richard 'Richie' Gazzo
cast	Zach Grenier	Dr. Berger
cast	Walt MacPherson	Sheriff
cast	Ronnie Farer	Annette Ruggiero
cast	Terry Serpico	Strip Club Owner
cast	Gretchen Mol	Sonny's Girlfriend
cast	Tony Lip	Philly Lucky
cast	George Angelica	Big Trin
cast	Val Avery	Trafficante
cast	Madison Arnold	Jilly
cast	Delanie Fitzpatrick	Daughter Amanda Pistone
cast	Katie Sagona	Daughter Jessica Pistone
cast	Sara Gold	Daughter
cast	Larry Romano	Tommy Ruggiero
cast	Tim Blake Nelson	FBI Technician
cast	Paul Giamatti	FBI Technician
cast	James McCauley	FBI Agent
cast	James Bulleit	U.S. Attorney
cast	Andrew Parks	U.S. Attorney Hollman
cast	Keenan Shimizu	Japanese Maitre D'
cast	Rocco Musacchia	Trafficante's Man
cast	Joe Francis	Trafficante's Man
cast	Sal Jenco	Mare Chiaro Bartender
cast	Billy Capucilli	Communion Party Man
cast	Laura Cahill	Communion Party Woman
cast	Doreen Murphy	Mob Girlfriend
cast	Elle Alexander	Mob Girlfriend
cast	Denise Faye	Mob Girlfriend
cast	Elaine del Valle	Mob Girlfriend
cast	John Horton	FBI Director
cast	Dan Brennan	FBI Photographer
cast	LaJuan Carter	Singer
cast	Sandy Barber	Singer
cast	Joyce Stovall	Singer
cast	Frank Pesce	Wiseguy
cast	Randy Jurgensen	Wiseguy
cast	John Di Benedetto	Wiseguy
cast	Richard Zavaglia	Wiseguy
cast	Tony Ray Rossi	Wiseguy
cast	Edward Black	Wiseguy
cast	Gaetano LoGiudice	Wiseguy
cast	Carmelo Musacchia	Wiseguy
cast	Pat Vecchio	Wiseguy
cast	Caleb	The Lion
cast	Frank Bonsangue	Sonny Red's Crew
cast	Christopher Del Gaudio	Pedestrian
cast	Barry Hirschberg	Background
cast	Jim Lavin	Arresting FBI Officer
cast	Jeff Millstein	Bar Patron
cast	Lisa Marie Panagos	Sonny Black's Girl
cast	Garry Pastore	Carmine Galante's Bodyguard
cast	Larry Tobias	Man in Bar
cast	Edward Williams	Guest at Club / Florida Location
