year	2011
imdb score	5.5
meta score	44
genre	Action
genre	Crime
genre	Fantasy
genre	Thriller
keyword	oklahoma
keyword	baby
keyword	waitress
keyword	cult
keyword	satanic cult
keyword	rescue
keyword	colorado
keyword	hell
keyword	full moon
keyword	louisiana
keyword	driver's license
keyword	chase
keyword	impersonating a police officer
keyword	car jump
keyword	back from the dead
keyword	severed leg
keyword	camera follows a bullet
keyword	throat slitting
keyword	car off bridge
keyword	invulnerability
keyword	hitchhiker
keyword	bone
keyword	fugitive
keyword	police officer shot in the chest
keyword	towing a car
keyword	pump action shotgun
keyword	fully clothed sex
keyword	woman punching a man
keyword	bar
keyword	sledgehammer
keyword	child in peril
keyword	hot pants
keyword	dry humor
keyword	hitman
keyword	shot in the ear
keyword	decapitation
keyword	thrown through a window
keyword	topless female nudity
keyword	chapel
keyword	finger gun
keyword	penis bitten off
keyword	corpse
keyword	leather jacket
keyword	one man army
keyword	diner
keyword	tossing coin
keyword	child sacrifice
keyword	drinking from the bottle
keyword	exploding body
keyword	male rear nudity
keyword	fake fbi agent
keyword	tattoo
keyword	super speed
keyword	death of daughter
keyword	prologue
keyword	deception
keyword	pentagram
keyword	bow and arrow
keyword	hatchet
keyword	swimming pool
keyword	severed hand
keyword	kidnapping
keyword	police officer shot in the head
keyword	car flip
keyword	recreational vehicle
keyword	car chase
keyword	dark humor
keyword	tanker truck
keyword	coin toss
keyword	ford pickup
keyword	violence
keyword	female full frontal nudity
keyword	quitting a job
keyword	undead
keyword	title appears in writing
keyword	murder of a police officer
keyword	taking out the trash
keyword	axe
keyword	hit by a falling object
keyword	shot in the head
keyword	female rear nudity
keyword	road blockade
keyword	shotgun
keyword	backhand slap
keyword	beer
keyword	ejected from a moving vehicle
keyword	revenge
keyword	pistol
keyword	road trip
keyword	shot in the forehead
keyword	magic trick
keyword	beating
keyword	tommy gun
keyword	profanity
keyword	femur
keyword	bare chested male
keyword	loud sex
keyword	punched in the mouth
keyword	machete
keyword	f word
keyword	dagger
keyword	revolver
keyword	stabbed in the shoulder
keyword	male frontal nudity
keyword	spit in the face
keyword	hit by a car
keyword	car accident
keyword	supernatural power
keyword	throat cut
keyword	starts with narration
keyword	demon
keyword	sawed off shotgun
keyword	coin
keyword	rifle
keyword	cult leader
keyword	voice over narration
keyword	gas leak
keyword	punched in the face
keyword	flipping a coin
keyword	razor
keyword	impalement
keyword	vigilante
keyword	punched in the stomach
keyword	gothic
keyword	corrupt cop
keyword	crushed by a car
keyword	state trooper
keyword	black comedy
keyword	pot smoking
keyword	machine gun
keyword	cult film
keyword	bare breasts
keyword	exploding car
keyword	throwing axe
keyword	hit with a baseball bat
keyword	bare butt
keyword	police officer shot
keyword	cemetery
keyword	traffic light
keyword	held at gunpoint
keyword	gash in the face
keyword	one liner
keyword	singing in a car
keyword	baseball bat
keyword	race against time
keyword	cell phone
keyword	stabbed in the back
keyword	slow motion scene
keyword	gore
keyword	motel
keyword	crotch grab
keyword	exploding truck
keyword	knife
keyword	bridge
keyword	blood splatter
keyword	muscle car
keyword	face slap
keyword	faked death
keyword	obscene finger gesture
keyword	truck stop
keyword	shot in the groin
keyword	shot in the leg
keyword	anti hero
keyword	healing
keyword	brawl
keyword	public nudity
keyword	butt pinch
keyword	shot in the foot
keyword	person on fire
keyword	golf club
keyword	kicked in the balls
keyword	hitchhiking
keyword	blood
keyword	shot through a window
keyword	knocked out
keyword	violence
