year	2007
imdb score	7.7
meta score	82
genre	Crime
genre	Mystery
genre	Thriller
keyword	russian
keyword	diary
keyword	baby
keyword	midwife
keyword	criminal
keyword	driver
keyword	restaurant
keyword	hospital
keyword	rape
keyword	russian mafia
keyword	brothel
keyword	organized crime
keyword	prostitute
keyword	murder
keyword	butt slap
keyword	sunglasses
keyword	accordion
keyword	ritual
keyword	death in childbirth
keyword	naked killer
keyword	engine trouble
keyword	christmas tree
keyword	uncle niece relationship
keyword	kicked in the ribs
keyword	voice over narration
keyword	voyeur
keyword	cigarette burn
keyword	anglo russian
keyword	mother daughter relationship
keyword	captain
keyword	hemorrhage
keyword	homoeroticism
keyword	christmas
keyword	coitus
keyword	tattoo
keyword	stabbed in the chest
keyword	mini skirt
keyword	finger cut off
keyword	ceremony
keyword	scantily clad female
keyword	pharmacist
keyword	russian accent
keyword	london england
keyword	hitman
keyword	investigation
keyword	cell phone
keyword	teenage girl
keyword	severed finger
keyword	female rear nudity
keyword	girl riding motorcycle
keyword	sex in bed
keyword	homophobia
keyword	protective male
keyword	passing out
keyword	undercover cop
keyword	rape victim
keyword	panties pulled down
keyword	ukrainian
keyword	mercedes
keyword	wallet
keyword	bathhouse
keyword	breasts
keyword	urination
keyword	police inspector
keyword	character repeating someone else's dialogue
keyword	scotland yard
keyword	female nudity
keyword	turk
keyword	undercover agent
keyword	child in peril
keyword	birthday party
keyword	turkish bath
keyword	orphan
keyword	tombstone
keyword	nudity
keyword	code
keyword	respirator
keyword	knife fight
keyword	darwinian struggle for survival
keyword	rape of girl
keyword	bruise
keyword	burning book
keyword	extreme violence
keyword	christmas decoration
keyword	st. petersburg russia
keyword	barber
keyword	import export
keyword	vodka
keyword	secret identity
keyword	nude fight
keyword	russian criminal tattoo
keyword	singing
keyword	pharmacy
keyword	punched in the face
keyword	blonde
keyword	red panties
keyword	rain
keyword	bare breasts
keyword	two on a motorcycle
keyword	russophobia
keyword	knife
keyword	mentally challenged
keyword	code of honor
keyword	female frontal nudity
keyword	interview
keyword	steam bath
keyword	lesbian kiss
keyword	loss of child
keyword	chauffeur
keyword	wine
