year	1998
imdb score	7.3
meta score	67
genre	Action
genre	Crime
genre	Mystery
genre	Thriller
keyword	nsa
keyword	murder
keyword	surveillance
keyword	evidence
keyword	congressman
keyword	washington d.c.
keyword	on the run
keyword	satellite
keyword	gadget
keyword	cat
keyword	dog
keyword	video footage
keyword	shootout
keyword	violence
keyword	man with glasses
keyword	wisecrack humor
keyword	government corruption
keyword	blood spatter
keyword	video voyeurism
keyword	mexican standoff
keyword	conspiracy
keyword	political thriller
keyword	shot in the chest
keyword	baltimore maryland
keyword	neo noir
keyword	exploding building
keyword	lethal injection
keyword	father son relationship
keyword	law
keyword	christmas
keyword	chase
keyword	computer
keyword	confrontation
keyword	paranoia
keyword	politics
keyword	cartoon on tv
keyword	distrust of government
keyword	secret hideaway
keyword	middle class
keyword	voyeurism
keyword	laundry drying on clothes line
keyword	african american
keyword	conspiracy theorist
keyword	wiretap
keyword	privacy
keyword	fugitive
keyword	frame up
keyword	innocence
keyword	disbelieving authorities
keyword	helicopter
keyword	claustrophobia
keyword	recording the villain
keyword	shot to death
keyword	videotape
keyword	corruption
keyword	false accusation
keyword	echelon
keyword	running
keyword	revenge
keyword	friendship
keyword	intelligence
keyword	ex girlfriend
keyword	mafia
keyword	marriage
keyword	blackmail
keyword	suspense
cast	Will Smith	Robert Clayton Dean
cast	Gene Hackman	Edward Lyle
cast	Jon Voight	Thomas Brian Reynolds
cast	Lisa Bonet	Rachel F. Banks
cast	Regina King	Carla Dean
cast	Stuart Wilson	Congressman Sam Albert
cast	Laura Cayouette	Christa Hawkins
cast	Loren Dean	Hicks
cast	Barry Pepper	David Pratt
cast	Ian Hart	Bingham
cast	Jake Busey	Krug
cast	Scott Caan	Jones
cast	Jason Lee	Daniel Zavitz
cast	Gabriel Byrne	Brill
cast	James Le Gros	Jerry Miller
cast	Dan Butler	Shaffer
cast	Jack Black	Fiedler
cast	Jamie Kennedy	Jamie
cast	Bodhi Elfman	Van
cast	Jacob Chambers	Davis
cast	Alexandra Balahoutis	Martha
cast	Anna Gunn	Emily Reynolds
cast	Jascha Washington	Eric Dean
cast	Rebeca Silva	Marie the Nanny
cast	Bobby Boriello	Dylan
cast	Carl Mergenthaler	Mike - Law Firm
cast	Mattias Kraemer	Gas Station Cashier
cast	Lillo Brancato	Young Worker
cast	John Capodice	Older Worker #1
cast	Vic Manni	Vic - Old Mobster
cast	T.R. Richards	Cook
cast	Ivana Milicevic	Ruby's Sales Clerk
cast	Patsy Grady Abrams	Accident Bystander
cast	Beatriz Mayoral	Reynolds' Nanny
