year	1996
imdb score	5.6
meta score	N/A
genre	Action
genre	Adventure
genre	Sci-Fi
genre	Thriller
keyword	island
keyword	escape
keyword	virus
keyword	terrorist
keyword	earthquake
keyword	prison
keyword	2000s
keyword	prostitute
keyword	hero
keyword	sequel
keyword	sequel to cult film
keyword	car chase
keyword	plastic surgeon
keyword	bulletproof glass
keyword	exploding helicopter
keyword	kidnapping
keyword	convertible
keyword	falling from height
keyword	m 16
keyword	warrior
keyword	action hero
keyword	city name in title
keyword	submarine
keyword	tracking device
keyword	combat
keyword	2010s
keyword	comic relief
keyword	gunfight
keyword	stadium
keyword	fire
keyword	war veteran
keyword	los angeles california
keyword	hk 5 machine gun
keyword	transsexual
keyword	betrayal
keyword	sniper
keyword	ambush
keyword	mexican standoff
keyword	eye patch
keyword	surfboard
keyword	murder
keyword	amusement park
keyword	plastic surgery
keyword	disarming someone
keyword	pump action shotgun
keyword	nurse
keyword	standoff
keyword	ak 47
keyword	basketball
keyword	christian
keyword	uzi
keyword	helicopter
keyword	one eyed man
keyword	decapitation
keyword	shot in the back
keyword	climbing a fence
keyword	deception
keyword	bazooka
keyword	modern gladiators
keyword	showdown
keyword	groping
keyword	beverly hills california
keyword	electric chair
keyword	urban decay
keyword	california
keyword	desert eagle
keyword	exploding motorcycle
keyword	mixed martial arts
keyword	deportation
keyword	shootout
keyword	cult film
keyword	motorcycle
keyword	hang gliding
keyword	u boat
keyword	anti hero
keyword	brawl
keyword	knife
keyword	hollywood sign
keyword	purple heart
keyword	burned alive
keyword	one night
keyword	tough guy
keyword	handcuffs
keyword	revolver
keyword	severed head
keyword	blood spatter
keyword	trenchcoat
keyword	bare chested male
keyword	dart
keyword	treadmill
keyword	violence
keyword	sawed off shotgun
keyword	jumping into a car
keyword	ambulance
keyword	escape pod
keyword	eyepatch
keyword	shoulder holster
keyword	machine gun
keyword	tsunami
keyword	transmission
keyword	one man army
keyword	music score composed by director
keyword	scratch
keyword	black and white scene
keyword	remote control
keyword	cigarette smoking
keyword	flashback
keyword	slow motion scene
keyword	one against many
keyword	shark
keyword	martial arts
keyword	destroyed building
keyword	pistol
keyword	future
keyword	sewer
keyword	explosion
keyword	hand to hand combat
keyword	hologram
keyword	six shooter
keyword	jumping from a helicopter
keyword	surfing
keyword	sniper rifle
keyword	tidal wave
keyword	knocked out
keyword	dual wield
keyword	held at gunpoint
keyword	second part
keyword	shot in the chest
keyword	sunset boulevard
keyword	electrocution
keyword	arrest
keyword	shot in the leg
keyword	knife throwing
keyword	battle
keyword	ex special forces
keyword	wisecrack humor
keyword	car crash
keyword	fight to the death
keyword	exploding car
keyword	cigar smoking
keyword	gun fu
keyword	fistfight
keyword	freak
keyword	caught in a net
keyword	punched in the face
keyword	box office flop
keyword	recipient of several purple hearts
keyword	president of the united states
keyword	shot to death
keyword	cult male character
keyword	electro magnetic pulse
keyword	famous score
keyword	title spoken by character
keyword	surprise ending
cast	Kurt Russell	Snake Plissken
cast	Steve Buscemi	Map to the Stars Eddie
cast	Peter Fonda	Pipeline
cast	Cliff Robertson	President
cast	Valeria Golino	Taslima
cast	Stacy Keach	Cmdr. Malloy
cast	Pam Grier	Hershe Las Palmas
cast	Bruce Campbell	Surgeon General of Beverly Hills
cast	Georges Corraface	Cuervo Jones
cast	Michelle Forbes	Brazen
cast	A.J. Langer	Utopia
cast	Ina Romeo	Hooker
cast	Peter Jason	Duty Sergeant
cast	Jordan Baker	Police Anchor
cast	Caroleen Feeney	Woman on Freeway
cast	Paul Bartel	Congressman
cast	Tom McNulty	Officer
cast	Jeff Imada	Saigon Shadow
cast	Breckin Meyer	Surfer
cast	Robert Carradine	Skinhead
cast	Shelly Desai	Cloaked Figure
cast	Leland Orser	Test Tube
cast	Kathleen Blanchard	Female Narrator
cast	William Luduena	Mescalito
cast	Gabriel Castillo	Mescalito
cast	William Peña	Jacket Mescalito
cast	David Perrone	US Cleric Justice
cast	Julien Cesario	Mescalito
cast	Nick Danger	Himself
cast	Brian Freifield	Hanging Victim
cast	Isaac Hayes	Guard at Basketball Court
cast	Joseph B. Henry	Black Gang Member
cast	Al Leong	Hershe Gang Member
cast	James Lew	Hershe Gang Member
cast	Deirdre O'Brien	Punker Girl
cast	Angela Torrez Parker	Hooker
cast	Thomas Rosales Jr.	Gang Member
cast	Wyatt Russell	Orphan Boy
cast	John Sencio	Skinhead in Alley
cast	Johnny Torres	Mescalito
cast	Vivicca A. Whitsett	Bitch Gang Leader
