year	2004
imdb score	8.4
meta score	89
genre	Drama
genre	Romance
genre	Sci-Fi
keyword	memory
keyword	love
keyword	beach
keyword	train
keyword	february
keyword	valentine's day
keyword	crush
keyword	printer
keyword	raining inside house
keyword	love triangle
keyword	betrayal
keyword	montauk long island new york
keyword	thong panties
keyword	drawing
keyword	marijuana
keyword	suffocation
keyword	partial female nudity
keyword	frozen lake
keyword	upskirt
keyword	retrograde narrative
keyword	manic pixie dream girl trope
keyword	elephant
keyword	mini dress
keyword	surrealism
keyword	infidelity
keyword	panties
keyword	bare breasts
keyword	ex boyfriend ex girlfriend relationship
keyword	boy
keyword	telepathy
keyword	reverse footage
keyword	wanting to have children
keyword	borderline personality disorder
keyword	pink panties
keyword	beer
keyword	nostalgia
keyword	dog
keyword	bra less
keyword	multiple perspectives
keyword	painting
keyword	deja vu
keyword	audio cassette
keyword	running
keyword	angry ex girlfriend
keyword	unfaithfulness
keyword	frozen river
keyword	drug humor
keyword	parade
keyword	programming
keyword	car dent
keyword	caught masturbating
keyword	impulsiveness
keyword	baby
keyword	the trolls the band
keyword	experiment gone wrong
keyword	heartbreak
keyword	boyfriend girlfriend relationship
keyword	infatuation
keyword	reference to row row row your boat
keyword	nudity
keyword	multiple roles
keyword	man with glasses
keyword	subway
keyword	children
keyword	therapy
keyword	crotch shot
keyword	hypothetical flashback
keyword	brain damage
keyword	hidden truth
keyword	reference to alexander pope
keyword	briefs
keyword	flashback
keyword	sexual attraction
keyword	black panties
keyword	adult playing self as child
keyword	girl in panties
keyword	second thoughts
keyword	barnes and noble bookstore
keyword	reference to nietzsche
keyword	sexual desire
keyword	rain
keyword	forced perspective
keyword	reference to my darling clementine
keyword	amnesia
keyword	doctor
keyword	nipples visible through clothing
keyword	transformation
keyword	food
keyword	reference to huckleberry hound
keyword	nonlinear timeline
keyword	beach house
keyword	lift skirt
keyword	watching someone sleep
keyword	extramarital affair
keyword	bechdel test failed
keyword	childhood memory
keyword	dyed hair
keyword	tears
keyword	telephone call
keyword	snow
keyword	adultery
keyword	covered female frontal nudity
keyword	computer
keyword	chinese takeout
keyword	fight
keyword	underwear
keyword	party
keyword	stoned
keyword	doll
keyword	erased memory
keyword	constellation
keyword	watching tv
keyword	bookstore
keyword	loneliness
keyword	flash forward
keyword	remote control airplane
keyword	sink
keyword	character repeating someone else's dialogue
keyword	mickey d's restaurant
keyword	reference to showtime at the apollo
keyword	fear
keyword	told in flashback
keyword	stoner comedy
keyword	repeated scene
keyword	pain
keyword	sliding on ice
keyword	wagon
keyword	films that begin with final chronological scene
keyword	parallel universe
keyword	husband wife relationship
keyword	cult film
keyword	watching a movie
keyword	love at first sight
keyword	older man younger woman relationship
keyword	bed on beach
keyword	new beginning
keyword	nightmare
keyword	redhead
keyword	sexual jealousy
keyword	masturbation
keyword	chinese food
keyword	melancholy
keyword	drink
keyword	ice
keyword	drive in movie theatre
keyword	drinking
keyword	sex scene
keyword	self help
keyword	mcdonald's restaurant
keyword	indian music
keyword	blue hair
keyword	eating
keyword	library
keyword	prologue
keyword	lifting up dress
keyword	car accident
keyword	mental breakdown
keyword	poetry
keyword	disappearance
keyword	sleeping pill
keyword	secret past
keyword	dark past
keyword	cleavage
keyword	blonde
keyword	wanting a baby
keyword	tank top
keyword	breaking and entering
keyword	crying
keyword	nervous breakdown
keyword	hammer
keyword	bathing in sink
keyword	lost in thought
keyword	star gazing
keyword	inside the mind
keyword	bed
keyword	break up
keyword	british actor playing american character
keyword	green hair
keyword	reverse chronology
keyword	title based on poem
keyword	black comedy
keyword	chopsticks
keyword	loss of girlfriend
keyword	black comedy
keyword	pillow
keyword	independent film
keyword	title spoken by character
keyword	
cast	Jim Carrey	Joel Barish
cast	Kate Winslet	Clementine Kruczynski
cast	Gerry Robert Byrne	Train Conductor
cast	Elijah Wood	Patrick
cast	Thomas Jay Ryan	Frank
cast	Mark Ruffalo	Stan
cast	Jane Adams	Carrie
cast	David Cross	Rob
cast	Kirsten Dunst	Mary
cast	Tom Wilkinson	Dr. Mierzwiak
cast	Ryan Whitney	Young Joel
cast	Debbon Ayer	Joel's Mother
cast	Amir Ali Said	Young Bully
cast	Brian Price	Young Bully
cast	Paulie Litt	Young Bully
cast	Josh Flitter	Young Bully
cast	Lola Daehler	Young Clementine
cast	Deirdre O'Connell	Hollis
cast	Lauren Adler	Rollerblader
