year	1997
imdb score	7.3
meta score	82
genre	Action
genre	Crime
genre	Sci-Fi
genre	Thriller
keyword	terrorist
keyword	bomb
keyword	revenge
keyword	criminal
keyword	coma
keyword	fbi agent
keyword	undercover agent
keyword	death
keyword	terrorist group
keyword	face transplant
keyword	mexican standoff
keyword	transformation
keyword	shot in the forehead
keyword	blockbuster
keyword	terrorism
keyword	thrown through a window
keyword	church
keyword	drug dealer
keyword	plastic surgery
keyword	bandaged face
keyword	self mutilation
keyword	bullet time
keyword	violence
keyword	pistol whip
keyword	female doctor
keyword	cult director
keyword	maximum security prison
keyword	sulfuric acid
keyword	tough guy
keyword	tech noir
keyword	shot in the ear
keyword	machine gun
keyword	magnet
keyword	flashback
keyword	deception
keyword	brother sister relationship
keyword	sociopath
keyword	warrior
keyword	blood splatter
keyword	fistfight
keyword	character repeating someone else's dialogue
keyword	nemesis
keyword	carousel
keyword	regret
keyword	los angeles california
keyword	photograph
keyword	disarming someone
keyword	explosion
keyword	criminal gang
keyword	shot in the head
keyword	cocaine
keyword	infidelity
keyword	hospital
keyword	woman punching a man
keyword	blood
keyword	bare chested male
keyword	shooting a police officer
keyword	showdown
keyword	airport
keyword	shot in the stomach
keyword	escape from prison
keyword	black comedy
keyword	golden gun
keyword	domestic terrorism
keyword	gun fu
keyword	jumping through a window
keyword	electrocution
keyword	identity swap
keyword	brawl
keyword	1990s
keyword	talking to one's self in a mirror
keyword	boat chase
keyword	tragic event
keyword	voice impersonator
keyword	falling to death
keyword	brutality
keyword	good versus evil
keyword	burned with a cigarette
keyword	face ripped off
keyword	vendetta
keyword	exploding boat
keyword	balisong
keyword	severed ear
keyword	sniper rifle
keyword	man punching a woman
keyword	shotgun
keyword	terrorist plot
keyword	spear gun
keyword	beach
keyword	identity theft
keyword	moral ambiguity
keyword	gun duel
keyword	reconstructive surgery
keyword	death of brother
keyword	gun battle
keyword	pistol
keyword	father son relationship
keyword	murder of a police officer
keyword	child in peril
keyword	tragedy
keyword	child murder
keyword	hand to hand combat
keyword	dysfunctional family
keyword	drugged drink
keyword	mass murder
keyword	new identity
keyword	shootout in a church
keyword	shot in the neck
keyword	hero
keyword	disguise
keyword	funeral
keyword	private jet
keyword	identity crisis
keyword	impersonating a priest
keyword	guilt
keyword	murder
keyword	looking at one's self in a mirror
keyword	scar
keyword	punched in the face
keyword	pierced nose
keyword	kidnapping
keyword	doppelganger
keyword	shot in the chest
keyword	shootout
keyword	gunfight
keyword	kicked in the crotch
