logline	An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
tagline	Based on the beloved book by Roald Dahl.
tagline	Jason Schwartzman is The Muscle
tagline	George Clooney is The Brains
tagline	Meryl Streep is The Brains Behind The Brains
tagline	Willem Dafoe is The Rotter
tagline	Michael Gambon is The Scoundrel
tagline	Owen Wilson is The Whistle-Blower
tagline	Wally Wolodarsky is The Lookout
tagline	Dig the life fantastic.
tagline	His life is fantastic... his wife is fantastic... his neighbors, not so fantastic.
tagline	This year, forget super... ignore incredible... it's all about fantastic.
