year	1982
imdb score	7.2
meta score	67
genre	Comedy
genre	Drama
genre	Romance
keyword	california
keyword	sex
keyword	teenager
keyword	high school
keyword	surfer dude
keyword	surfer
keyword	rock 'n' roll
keyword	nudity
keyword	first love
keyword	teenager
keyword	drugs
keyword	voyeur
keyword	cheerleader uniform
keyword	teacher student relationship
keyword	shopping mall
keyword	sex on couch
keyword	marijuana
keyword	innocence lost
keyword	title directed by female
keyword	shoe
keyword	brother sister relationship
keyword	panties
keyword	scene during end credits
keyword	school dance
keyword	frustration
keyword	sexual attraction
keyword	voyeurism
keyword	vandalism
keyword	carrot
keyword	teacher
keyword	teen angst
keyword	jailbait
keyword	fast food restaurant
keyword	mirror
keyword	woolly bully
keyword	swimming pool
keyword	cadaver
keyword	leg spreading
keyword	surfing
keyword	pregnancy
keyword	sex with minor
keyword	advice
keyword	ticket scalping
keyword	underage sex
keyword	driving
keyword	scantily clad female
keyword	premarital sex
keyword	defloration
keyword	school life
keyword	ensemble film
keyword	farce
keyword	1980s
keyword	bong
keyword	females talking about sex
keyword	teen movie
keyword	los angeles california
keyword	bikini
keyword	christmas
keyword	copulation
keyword	trophy wife
keyword	maternity ward
keyword	car washing
keyword	bare breasts
keyword	fired from the job
keyword	prank
keyword	topless female nudity
keyword	fantasy sequence
keyword	cafeteria
keyword	heart in hand
keyword	locker room
keyword	female removes her clothes
keyword	abortion
keyword	hospital
keyword	what happened to epilogue
keyword	american football
keyword	dream girl
keyword	sexual awakening
keyword	female rear nudity
keyword	restroom
keyword	dream sequence
keyword	loss of virginity
keyword	apology
keyword	virgin
keyword	coitus
keyword	break up
keyword	female removes her dress
keyword	convenience store
keyword	unwed pregnancy
keyword	sexual desire
keyword	rebelliousness
keyword	friendship
keyword	vomit
keyword	bathroom
keyword	restaurant
keyword	underage girl
keyword	reference to led zeppelin
keyword	television reporter
keyword	sexual promiscuity
keyword	football player
keyword	caught masturbating
keyword	employment
keyword	robbery
keyword	drug use
keyword	stoner
keyword	cannabis
keyword	unwanted pregnancy
keyword	coming of age
keyword	car accident
keyword	melodrama
keyword	teenager nudity
keyword	irreverence
keyword	no panties
keyword	greek restaurant
keyword	date
keyword	female nudity
keyword	field trip
keyword	rock music
keyword	high school teacher
keyword	masturbation
keyword	teenage pregnancy
keyword	nipples visible through clothing
keyword	pizza delivery
keyword	drug humor
keyword	pizzeria
keyword	cleavage
keyword	gay slur
keyword	lust
keyword	oral sex
keyword	fondling
keyword	female frontal nudity
keyword	pirate costume
keyword	based on book
cast	Sean Penn	Jeff Spicoli
cast	Jennifer Jason Leigh	Stacy Hamilton
cast	Judge Reinhold	Brad Hamilton
cast	Robert Romanus	Mike Damone
cast	Brian Backer	Mark 'Rat' Ratner
cast	Phoebe Cates	Linda Barrett
cast	Ray Walston	Mr. Hand
cast	Scott Thomson	Arnold
cast	Vincent Schiavelli	Mr. Vargas
cast	Amanda Wyss	Lisa
cast	D.W. Brown	Ron Johnson
cast	Forest Whitaker	Charles Jefferson
cast	Kelli Maroney	Cindy
cast	Tom Nolan	Dennis Taylor
cast	Blair Tefkin	Pat Bernardo
cast	Eric Stoltz	Stoner Bud
cast	Stanley Davis Jr.	Jefferson's Brother
cast	James Russo	Robber
cast	James Bolt	Greg
cast	Nicolas Cage	Brad's Bud
cast	Reginald Farmer	Vice Principal
cast	Anthony Edwards	Stoner Bud
cast	Pamela Springsteen	Dina Phillips
cast	Stuart Cornfeld	Pirate King
cast	Sonny Carl Davis	Businessman
cast	Michael Wyle	Brad's Bud
cast	David Price	Desmond
cast	Patrick Brennan	Curtis Spicoli
cast	Julie Guilmette	Perry's Pizza Waitress
cast	Shelly O'Neill	Perry's Pizza Waitress
cast	Stu Nahan	Himself
cast	Duane Tucker	Dr. Brandt
cast	Martin Brest	Dr. Miller
cast	Douglas Brian Martin	Angry Twin
cast	Steven M. Martin	Angry Twin
cast	Taylor Negron	Pizza Guy
cast	Kenny Lawrence	Ticket Customer
cast	John Hollander	Ticket Customer
cast	Ricky Redlich	Ticket Customer
cast	Nancy Wilson	Beautiful Girl in Car
cast	David Resnik	Reeves Nevo & The Cinch
cast	Erick Leroy Burdette	Reeves Nevo & The Cinch
cast	David Doolittle	Reeves Nevo & The Cinch
cast	Tom B. Bralley	Reeves Nevo & The Cinch
cast	Reeves Nevo	Reeves Nevo & The Cinch
cast	Virginia Peters	Restaurant Waitress
cast	Laurie Hendricks	Nurse
cast	Lois Brandt	Mrs. O'Rourke
cast	Ellen Fenwick	Stacey's Mom
cast	Cherie Effron	Girl #1
cast	Suzanne Marie Fava	Girl #2
cast	Lana Clarkson	Mrs. Vargas
cast	Roy Homer Wallack	Santa Claus
cast	Ava Lazar	Playmate
cast	Lori Sutton	Playmate
cast	April Audia	Mary Anne Zalotnick - Pat Benatar Wannabe
cast	Jason Bernard	Gym Teacher
cast	Amy Sawaya	Student
cast	Hallie Todd	Linda's Friend
