year	1986
imdb score	7.9
meta score	60
genre	Comedy
genre	Drama
keyword	school
keyword	ferrari
keyword	friend
keyword	day off
keyword	principal
keyword	high school
keyword	best friend
keyword	student
keyword	narrated by title character
keyword	teenage angst
keyword	wallet
keyword	foot popping kiss
keyword	shermer illinois
keyword	school principal
keyword	cameo appearance
keyword	animal door
keyword	downtown
keyword	parade
keyword	rebel
keyword	thriller dance
keyword	bedroom
keyword	dog
keyword	hockey jersey
keyword	art institute of chicago
keyword	talking to the camera
keyword	teenage girl
keyword	chicago illinois
keyword	one day time span
keyword	computer screen
keyword	black humor
keyword	friendship
keyword	teenage boy
keyword	bathroom
keyword	one day
keyword	scene during end credits
keyword	fake person in bed
keyword	classroom
keyword	fake person in bed
keyword	anti hero
keyword	street
keyword	teenager
keyword	gummi bear
keyword	synthesizer
keyword	teenage girl
keyword	plasma lamp
keyword	diving board
keyword	classmate
keyword	school attendance
keyword	popularity
keyword	looking at the camera
keyword	generation gap
keyword	high school senior
keyword	secretary
keyword	joy
keyword	neighborhood
keyword	the beatles song
keyword	restaurant
keyword	hallway
keyword	museum
keyword	convertible
keyword	swimming in underwear
keyword	computer
keyword	teacher student relationship
keyword	fake nurse
keyword	breaking the fourth wall
keyword	teacher student relationship
keyword	anti authority
keyword	car damage
keyword	brother sister relationship
keyword	painting
keyword	teenage rebellion
keyword	coming of age
keyword	bed
keyword	singing in shower
keyword	school bus
keyword	mud
keyword	student principal relationship
keyword	irreverence
keyword	rebellion
keyword	swimming pool
keyword	class attendance
keyword	coughing
keyword	dancing
keyword	kiss
keyword	home invasion
keyword	advice
keyword	skipping school
keyword	scheme
keyword	sibling rivalry
keyword	car
keyword	hypochondriac
keyword	house
keyword	fake illness
keyword	home
keyword	scene after end credits
keyword	boyfriend girlfriend relationship
keyword	affection
keyword	slow motion scene
keyword	police officer
keyword	chicago cubs
keyword	truant
keyword	wrigley field
keyword	joyride
keyword	art gallery
keyword	love
keyword	high school teacher
keyword	impersonation
keyword	truancy
keyword	office
keyword	talking to the audience
keyword	sports car
keyword	police station
keyword	teen angst
keyword	on screen narration
keyword	cult film
keyword	police
keyword	apostrophe in title
keyword	telephone call
keyword	rolling back the odometer
keyword	singing in shower
keyword	desk
keyword	backyard
keyword	cameo
keyword	marching band
keyword	kissing
keyword	teenage boy
keyword	smiling
keyword	principal's office
keyword	odometer
keyword	dog attack
keyword	answering machine
keyword	car driving
keyword	parking garage
keyword	surprise after end credits
keyword	telephone
keyword	reference to john lennon
keyword	laughing
keyword	garage
keyword	spring
keyword	kicked in the face
keyword	voice sampling
keyword	high school principal
keyword	shower
keyword	drug dealer
keyword	catatonia
keyword	high school student
keyword	character name in title
keyword	
cast	Matthew Broderick	Ferris Bueller
cast	Alan Ruck	Cameron Frye
cast	Mia Sara	Sloane Peterson
cast	Jeffrey Jones	Ed Rooney
cast	Jennifer Grey	Jeanie Bueller
cast	Cindy Pickett	Katie Bueller
cast	Lyman Ward	Tom Bueller
cast	Edie McClurg	Grace
cast	Charlie Sheen	Boy in Police Station
cast	Ben Stein	Economics Teacher
cast	Del Close	English Teacher
cast	Virginia Capers	Florence Sparrow
cast	Richard Edson	Garage Attendant
cast	Larry Flash Jenkins	Attendant's Co-Pilot
cast	Kristy Swanson	Simone Adamley
cast	Lisa Bellard	Economics Student
cast	Max Perlich	Anderson
cast	Scott Coffey	Adams
cast	Eric Saiet	Shermerite
cast	Jason Alderman	Shermerite
cast	Joey Garfield	Shermerite
cast	Kristin Graziano	Shermerite
cast	Bridgett Baron	Shermerite
cast	Annie Ryan	Shermerite
cast	Eric Edidin	Shermerite
cast	Brendan Baber	Shermerite
cast	Tiffany Chance	Shermerite
cast	Jonathan Schmock	Chez Quis Maitre D'
cast	Tom Spratley	Men's Room Attendant
cast	Dave Silvestri	Businessman
cast	Debra Montague	Girl in Pizza Joint
cast	Joey D. Vieira	Pizza Man
cast	Louie Anderson	Flower Deliveryman
cast	Stephanie Blake	Singing Nurse
cast	Robert McKibbon	Balloon Man
cast	Paul Manzanero	Pumpkinhead
cast	Miranda Whittle	Girl on Trampoline
cast	Robert Kim	Det. Steven Lim
cast	Dick Sollenberger	Politician at Parade
cast	Bob Parkinson	Minister at Parade
cast	Richard Rohrbough	Minister at Parade
cast	Edward Le Beau	Gym Teacher
cast	Polly Noonan	Girl on Bus
cast	Dee Dee Rescher	Bus Driver
cast	Katie Barberi	Economics Student
cast	Kevin Bassett	Extra
cast	Tim Boxell	Man on MTV
cast	Harry Caray	TV Broadcaster
cast	John Hughes	Guy Running Between Cabs
cast	Lockport Township High School Band	Marching Band at Parade
cast	Joseph P. McDonnell	Dancer
cast	Robert Minkoff	Bit
cast	John Richard Petersen	Parade Spectator
cast	Steve Stone	TV Broadcaster
