year	1999
imdb score	8.9
meta score	66
genre	Drama
keyword	fight
keyword	club
keyword	support group
keyword	out of control
keyword	office
keyword	office worker
keyword	talking to self
keyword	anti authority
keyword	blood on one's mouth
keyword	scantily clad female
keyword	rage
keyword	freeze frame
keyword	punching
keyword	identity
keyword	safety glasses
keyword	shooting
keyword	angst
keyword	punched in the mouth
keyword	fighting
keyword	anti hero
keyword	manipulation
keyword	damage
keyword	danger
keyword	testicular cancer
keyword	punched in the stomach
keyword	man with glasses
keyword	beating
keyword	1990s
keyword	sexual desire
keyword	waiter
keyword	coffee
keyword	dildo
keyword	alienation
keyword	exploding building
keyword	leg spreading
keyword	masochism
keyword	telephone
keyword	topless female nudity
keyword	self destructiveness
keyword	nameless character
keyword	wilmington delaware
keyword	night
keyword	anti conformity
keyword	broken glasses
keyword	abandoned house
keyword	bitterness
keyword	insanity
keyword	erection
keyword	self destruction
keyword	anarchy
keyword	reference to gandhi
keyword	penguin
keyword	vandalism
keyword	gang
keyword	wrath
keyword	product placement
keyword	bruise
keyword	routine
keyword	lust
keyword	anger
keyword	mass destruction
keyword	sexism
keyword	gun in mouth
keyword	confusion
keyword	liposuction
keyword	coitus
keyword	mercilessness
keyword	blackmail
keyword	dirt
keyword	breaking the fourth wall
keyword	burned up car
keyword	homoerotic
keyword	cruelty
keyword	neo luddism
keyword	philosophy
keyword	cubicle
keyword	rain
keyword	shot to death
keyword	voice over narration
keyword	dutch angle
keyword	nihilism
keyword	sexual attraction
keyword	self harm
keyword	dystopia
keyword	photocopier
keyword	business card
keyword	urban decay
keyword	girl
keyword	surrealism
keyword	filth
keyword	secret society
keyword	title fight
keyword	tuberculosis
keyword	friendship between men
keyword	rubber gloves
keyword	shirt
keyword	group therapy
keyword	female nudity
keyword	imaginary friend
keyword	shot through the mouth
keyword	imagery
keyword	psychomania
keyword	machismo
keyword	bare breasts
keyword	loneliness
keyword	severe tire damage
keyword	loss of control
keyword	sadomasochism
keyword	violence
keyword	defacing property
keyword	head shaving
keyword	split personality
keyword	cleavage
keyword	slow motion scene
keyword	airplane
keyword	nude
keyword	ice cave
keyword	anti capitalism
keyword	fondling
keyword	destruction
keyword	ikea
keyword	sex in bed
keyword	anarchism
keyword	psychotic
keyword	insult
keyword	punched in the nose
keyword	confrontation
keyword	man with no name
keyword	talking to the camera
keyword	shot in the cheek
keyword	telephone call
keyword	corporate logo
keyword	male nudity
keyword	chemical
keyword	boxing
keyword	black eye
keyword	bombing
keyword	sex scene
keyword	cult film
keyword	clinic
keyword	darkness
keyword	dangerous driving
keyword	insomnia
keyword	hopelessness
keyword	desperation
keyword	bmw sedan
keyword	facial bruise
keyword	shot in the head
keyword	love hate relationship
keyword	interrogation
keyword	mental illness
keyword	mental instability
keyword	chakra
keyword	brutality
keyword	conversation
keyword	running
keyword	nosebleed
keyword	crying
keyword	acid
keyword	discussion
keyword	kicking
keyword	figment of imagination
keyword	character repeating someone else's dialogue
keyword	basement
keyword	visual metaphor
keyword	despair
keyword	copulation
keyword	anti establishment
keyword	talking while driving
keyword	self inflicted gunshot wound
keyword	tough guy
keyword	bomb
keyword	sadism
keyword	lye
keyword	meals on wheels
keyword	disgruntled worker
keyword	urination
keyword	consumerism
keyword	unreliable narrator
keyword	unreliable narration
keyword	flashback
keyword	pain
keyword	plane crash
keyword	gun
keyword	deja vu
keyword	multiple perspectives
keyword	fisticuffs
keyword	visionary
keyword	fighting with self
keyword	blood splatter
keyword	police
keyword	bloody mouth
keyword	self inflicted burn injury
keyword	anguish
keyword	tension
keyword	photocopy
keyword	starbucks coffee
keyword	projectionist
keyword	bare breasts
keyword	revolution
keyword	blood
keyword	suicide attempt
keyword	television news
keyword	bullet time
keyword	madness
keyword	cancer
keyword	doggystyle sex
keyword	dark humor
keyword	postmodern
keyword	terrorism
keyword	dead man
keyword	degradation
keyword	blood splatter
keyword	decadence
keyword	schizophrenia
keyword	beaten to a pulp
keyword	satire
keyword	anti social behavior
keyword	disturbed individual
keyword	explosion
keyword	donut
keyword	old house
keyword	penis
keyword	death
keyword	lincoln town car
keyword	anti social
keyword	fury
keyword	fire
keyword	tie
keyword	subliminal message
keyword	threat
keyword	nudity
keyword	punch
keyword	punched in the face
keyword	falling down stairs
keyword	electric shaver
keyword	old dark house
keyword	social satire
keyword	brutality
keyword	volkswagen beetle
keyword	airport
keyword	meditation
keyword	car crash
keyword	rebellion
keyword	white collar
keyword	pornography
keyword	reckless driving
keyword	dark
keyword	argument
keyword	reference to ikea
keyword	multiple personality disorder
keyword	newspaper clippings
keyword	paranoia
keyword	counter culture
keyword	flash forward
keyword	group work
keyword	gore
keyword	self mutilation
keyword	alter ego
keyword	cigarette smoking
keyword	fighting the system
keyword	based on novel
keyword	based on book
keyword	title spoken by character
keyword	surprise ending
keyword	plot twist
cast	Edward Norton	The Narrator
cast	Brad Pitt	Tyler Durden
cast	Helena Bonham Carter	Marla Singer
cast	Meat Loaf	Robert 'Bob' Paulson
cast	Zach Grenier	Richard Chesler
cast	Richmond Arquette	Intern
cast	David Andrews	Thomas
cast	George Maguire	Group Leader
cast	Eugenie Bondurant	Weeping Woman
cast	Christina Cabot	Group Leader
cast	Sydney 'Big Dawg' Colston	Speaker
cast	Rachel Singer	Chloe
cast	Christie Cronenweth	Airline Attendant
cast	Tim De Zarn	Inspector Bird
cast	Ezra Buzzington	Inspector Dent
cast	Dierdre Downing-Jackson	Woman on Plane
cast	Bob Stephenson	Airport Security Officer
cast	Charlie Dell	Doorman
cast	Rob Lanza	Man in Suit
cast	David Lee Smith	Walter
cast	Holt McCallany	The Mechanic
cast	Joel Bissonnette	Food Court Maitre D'
cast	Eion Bailey	Ricky
cast	Evan Mirand	Steph
cast	Robby Robinson	Next Month's Opponent
cast	Lou Beatty Jr.	Cop at Marla's Building
cast	Thom Gossom Jr.	Detective Stern
cast	Valerie Bickford	Susan, Cosmetics Dealer
cast	Jared Leto	Angel Face
cast	Peter Iacangelo	Lou
cast	Carl Ciarfalio	Lou's Body Guard
cast	Stuart Blumberg	Car Salesman
cast	Todd Peirce	Man #1 at Auto Shop
cast	Mark Fite	Man #2 at Auto Shop
cast	Matt Winston	Seminary Student
cast	Joon Kim	Raymond K. Hessel
cast	Bennie Moore	Bus Driver with Broken Nose
cast	Lauren Sanchez	Channel 4 Reporter
cast	Pat McNamara	Police Commissioner Jacobs
cast	Tyrone R. Livingston	Banquet Speaker
cast	Owen Masterson	Airport Valet
cast	David Jean Thomas	Policeman
cast	Paul Carafotes	Salvator, Winking Bartender
cast	Christopher John Fields	Proprietor of Dry Cleaners
cast	Anderson Bourell	Bruised Bar Patron #1
cast	Scotch Ellis Loring	Bruised Bar Patron #2
cast	Michael Shamus Wiles	Bartender in Halo
cast	Andi Carnick	Hotel Desk Clerk
cast	Edward Kowalczyk	Waiter at Clifton's
cast	Leonard Termo	Desk Sergeant
cast	Van Quattro	Detective Andrew
cast	Markus Redmond	Detective Kevin
cast	Michael Girardin	Detective Walker
cast	Michael Arturo	BMW Salesman
cast	Matt Cinquanta	Fighter
cast	Tommy Dallace	Champion Fighter
cast	Paul Dillon	Irvin
cast	Eddie Hargitay	Chanting Fighter
cast	Phil Hawn	Banquet Guest
cast	Jawara	Fight Patron Saying 'What's going on?'
cast	Baron Jay	Waiter
cast	Jim Jenkins	Restaurant Maitre'd
cast	Kevin Scott Mack	Passenger Clutching Armrest
