year	2007
imdb score	7.2
meta score	68
genre	Crime
genre	Drama
genre	Mystery
genre	Thriller
keyword	court
keyword	engineer
keyword	murder weapon
keyword	trial
keyword	confession
keyword	police
keyword	murder
keyword	evidence
keyword	prosecutor
keyword	judge
keyword	unfaithful wife
keyword	hotel
keyword	battle of wits
keyword	swimming
keyword	swimming pool
keyword	gardener
keyword	motel
keyword	secretary
keyword	snorricam
keyword	garage
keyword	lie
keyword	cheating wife
keyword	murder accusation
keyword	district attorney
keyword	reflex test
keyword	courtroom
keyword	reflection in blood
keyword	crime scene investigation
keyword	cell phone
keyword	policeman
keyword	blood stain on wall
keyword	witness
keyword	police car
keyword	pay phone
keyword	uxoricide
keyword	porsche
keyword	suicide
keyword	violin
keyword	murder of wife
keyword	gun
keyword	aeronautics
keyword	evidence tampering
keyword	wife shot by husband
keyword	los angeles california
keyword	corporate lawyer
keyword	restraining order
keyword	hollywood sign
keyword	brushing teeth
keyword	fight
keyword	suspense
keyword	reading poetry
keyword	lawyer
keyword	narcissism
keyword	witness for the prosecution
keyword	private investigator
keyword	anger
keyword	burning clothing
keyword	helicopter
keyword	watching someone
keyword	airport hanger
keyword	arrogance
keyword	manipulation
keyword	hospital
keyword	testimony
keyword	singer
keyword	thanksgiving
keyword	villain played by lead actor
keyword	husband shoots wife
keyword	ego
keyword	older man younger man relationship
keyword	office
keyword	life support
keyword	genex
keyword	cunning
keyword	investigation
keyword	older man younger woman relationship
keyword	california flag
keyword	death of wife
keyword	revenge
keyword	acquittal
keyword	gore
keyword	shower
keyword	sex scene
keyword	theatre
keyword	corporate politics
keyword	criminal justice
keyword	poem
keyword	engineering
keyword	egg
keyword	cheating on husband
keyword	plane wreckage
keyword	arrest
keyword	ambition
keyword	young wife
keyword	coma
keyword	psychopath
keyword	murder trial
keyword	second honeymoon
keyword	cold blooded killer
keyword	public humiliation
keyword	corporate ladder
keyword	one word title
keyword	deputy district attorney
keyword	evidence collection
keyword	police officer
keyword	jail
keyword	x ray
keyword	planting evidence
keyword	surrender
keyword	prosecution
keyword	cold blooded murder
keyword	blood spatter
keyword	wealth
keyword	shot in the head
keyword	standoff
keyword	coffee
keyword	double jeopardy
keyword	shot in the face
keyword	defending oneself in court
keyword	product placement
keyword	switch
keyword	employer employee relationship
keyword	obsession
keyword	surveillance camera
keyword	young people outwit older people
keyword	class differences
keyword	assault
keyword	detective
keyword	corporate intrigue
keyword	adultery
keyword	blood revenge
keyword	southern accent
keyword	telephone call
keyword	shooting
keyword	grandfather grandson relationship
keyword	dragging dead body
keyword	infidelity
keyword	husband wife relationship
keyword	opera
keyword	theatre audience
keyword	crime scene
keyword	working class
keyword	jealousy
keyword	nurse
keyword	intensive care
keyword	gunshot
keyword	whiskey
keyword	prison
keyword	loss of job
keyword	crime of passion
keyword	public defender
keyword	laptop computer
keyword	singing
keyword	taunting
keyword	prosecuting attorney
keyword	overhead camera shot
keyword	old man
keyword	attempted murder
keyword	egg shell
keyword	public prosecutor
keyword	thanksgiving dinner
keyword	brass and glass
keyword	court order
keyword	employer employee sex
keyword	corrupt cop
keyword	female singer
keyword	note slid under door
keyword	neo noir
keyword	liar
keyword	airport
keyword	blood
keyword	investigator
keyword	sports car
keyword	tuxedo
keyword	mansion
keyword	law firm
keyword	unfaithfulness
keyword	cheating
keyword	bullet
keyword	patient
keyword	race against time
keyword	elevator
keyword	concert
keyword	mind game
keyword	courthouse
keyword	death
keyword	extramarital affair
keyword	psycho thriller
keyword	sculpture
keyword	pull ups
keyword	love
keyword	surprise ending
cast	Anthony Hopkins	Ted Crawford
cast	Ryan Gosling	Willy Beachum
cast	David Strathairn	DA Joe Lobruto
cast	Rosamund Pike	Nikki Gardner
cast	Embeth Davidtz	Jennifer Crawford
cast	Billy Burke	Lt. Robert 'Rob' Nunally
cast	Cliff Curtis	Detective Flores
cast	Fiona Shaw	Judge Robinson
cast	Bob Gunton	Judge Gardner
cast	Josh Stamberg	Norman Foster
cast	Xander Berkeley	Judge Moran
cast	Zoe Kazan	Mona
cast	Judith Scott	Resident
cast	Gary Carlos Cervantes	Ciro
cast	Petrea Burchard	Dr. Marion Kang
cast	Garz Chan	Assistant Hotel Manager
cast	Wendy Cutler	Gladys
cast	Larry Sullivan	Lee Gardner
cast	Valerie Dillman	Peg Gardner
cast	Gonzalo Menendez	Uniform Cop
cast	Vivica Genaux	Opera Singer
