year	1963
imdb score	7.5
meta score	N/A
genre	Action
genre	Adventure
genre	Crime
genre	Thriller
keyword	spectre
keyword	russian
keyword	decoder
keyword	assassin
keyword	kgb
keyword	british agent
keyword	british secret service
keyword	double cross
keyword	motor boat
keyword	briefcase
keyword	cult figure
keyword	booby trap
keyword	mask
keyword	butt slap
keyword	gadget car
keyword	knife
keyword	arch villain
keyword	venice italy
keyword	hat
keyword	sniper
keyword	boat stunt
keyword	two way mirror
keyword	shootout
keyword	fire
keyword	hotel
keyword	title written in movie
keyword	london england
keyword	gun in a book
keyword	istanbul turkey
keyword	yugoslavia
keyword	speedboat
keyword	murder
keyword	espionage
keyword	villainess
keyword	periscope
keyword	gold coin
keyword	title appears in writing
keyword	handgun
keyword	gondola
keyword	double agent
keyword	person on fire
keyword	secret passage
keyword	surveillance
keyword	escape
keyword	british intelligence
keyword	bomb
keyword	chess
keyword	basilica
keyword	hitchcockian
keyword	held at gunpoint
keyword	sequel mentioned during end credits
keyword	boat chase
keyword	weapons training
keyword	turkey the country
keyword	super villain
keyword	cult film
keyword	stabbed in the shoulder
keyword	belly dancing
keyword	railway station
keyword	canal
keyword	official james bond series
keyword	famous score
keyword	macguffin
keyword	rifle
keyword	territory name in title
keyword	secret organization
keyword	spy hero
keyword	secret base
keyword	photograph
keyword	chlorohydrate
keyword	train
keyword	knife in shoe
keyword	ferry boat
keyword	gadget
keyword	dining car
keyword	mosque
keyword	loss of father
keyword	defection
keyword	strangulation
keyword	exploding boat
keyword	1960s
keyword	tear gas
keyword	flamethrower
keyword	action hero
keyword	orient express
keyword	eavesdropping
keyword	pan american airways
keyword	lesbian stereotype
keyword	pistol
keyword	embassy
keyword	martial arts
keyword	secret agent
keyword	garrote
keyword	belly dance
keyword	hidden camera
keyword	siamese fighting fish
keyword	billboard
keyword	shot in the arm
keyword	hand grenade
keyword	tape recorder
keyword	premarital sex
keyword	fish tank
keyword	sequel
keyword	returning character with different actor
keyword	impersonation
keyword	terrorism
keyword	secret filming
keyword	catfight
keyword	disguise
keyword	blockbuster
keyword	bond girl
keyword	clerk
keyword	second part
keyword	zagreb croatia
keyword	bare chested male
keyword	flare gun
keyword	helicopter crash
keyword	subterranean
keyword	powder
keyword	drugged drink
keyword	exploding helicopter
keyword	film reel
keyword	fake marriage
keyword	stabbing
keyword	lesbian
keyword	bulgaria
keyword	secret master villain
keyword	cold war
keyword	helicopter
keyword	fight
keyword	cryptography
keyword	gypsy
keyword	wine
keyword	prologue
keyword	reservoir
keyword	adriatic sea
keyword	man wearing towel
keyword	death of friend
keyword	based on novel
keyword	
cast	Sean Connery	James Bond
cast	Daniela Bianchi	Tatiana Romanova
cast	Pedro Armendáriz	Kerim Bey
cast	Lotte Lenya	Rosa Klebb
cast	Robert Shaw	Grant
cast	Bernard Lee	M
cast	Eunice Gayson	Sylvia Trench
cast	Walter Gotell	Morzeny
cast	Francis De Wolff	Vavra
cast	George Pastell	Train Conductor
cast	Nadja Regin	Kerim's Girl
cast	Lois Maxwell	Miss Moneypenny
cast	Aliza Gur	Vida
cast	Martine Beswick	Zora
cast	Vladek Sheybal	Kronsteen
cast	Anthony Dawson	Ernst Blofeld
cast	Lisa Guiraut	Gypsy Dancer
cast	Hasan Ceylan	Foreign Agent
cast	Fred Haggerty	Krilencu
cast	Neville Jason	Kerim's Chauffeur
cast	Peter Bayliss	Benz
cast	Nusret Ataer	Mehmet
cast	Peter Brayham	Rhoda
cast	Desmond Llewelyn	Boothroyd
cast	Jan Williams	Masseuse
cast	Peter Madden	Mc Adams
cast	Dorothea Bennett	Woman on Bridge in Venice
cast	Andre Charisse	Hotel Concierge
cast	Elizabeth Counsell	Woman in a Punt
cast	Michael Culver	Man in a Punt
cast	Hugo De Vernier	Hotel Porter
cast	Arlette Dobson	Istanbul Hotel Receptionist
cast	Moris Farhi	Gypsy
cast	Victor Harrington	Chess Tournament Spectator
cast	William Hill	Captain Nash
cast	Barbara Jefford	Tatiana Romanova
cast	John Ketteringham	James Bond
cast	Muhammat Kohen	Mosque Tour Guide
cast	Berkely Mather	Man
cast	Julie Mendez	Girl Dancing During Opening Titles
cast	Maitland Moss	Chess Umpire
cast	Eric Pohlmann	Ernst Stavro Blofeld
cast	Jacqueline Saltzman	Woman on Train
cast	Bob Simmons	James Bond in Gunbarrel Sequence
cast	Nikki Van der Zyl	Sylvia Trench / Receptionist
cast	Fred Wood	Giypsy
cast	Bedri Çavusoglu	Police
