year	1987
imdb score	8.4
meta score	78
genre	Drama
genre	War
keyword	vietnam
keyword	recruit
keyword	sergeant
keyword	training
keyword	tet offensive
keyword	boot camp
keyword	combat
keyword	u.s. marine
keyword	vietnam war
keyword	military
keyword	platoon
keyword	booby trap
keyword	death
keyword	violence
keyword	usmc
keyword	sniper
keyword	propaganda
keyword	jungle
keyword	brutality
keyword	photographer
keyword	war journalist
keyword	brainwashing
keyword	towel
keyword	anti war
keyword	happy birthday to you
keyword	1960s
keyword	hazing
keyword	rocket launcher
keyword	camera
keyword	shot to death
keyword	war crime
keyword	dead woman on floor
keyword	haircut
keyword	gore
keyword	loner
keyword	slow motion scene
keyword	infantry
keyword	jogging
keyword	toilet
keyword	platoon streamer
keyword	photography
keyword	military cadence
keyword	face slap
keyword	year 1968
keyword	crotch grab
keyword	gun instruction
keyword	dehumanization
keyword	corporal punishment
keyword	bullet ballet
keyword	marine creed
keyword	massage
keyword	uniform
keyword	man with glasses
keyword	gay slur
keyword	volunteer
keyword	gun
keyword	gunfight
keyword	obstacle course
keyword	murder
keyword	shot through the mouth
keyword	shaved head
keyword	shot in the head
keyword	christmas
keyword	war correspondent
keyword	colonel
keyword	shot in the back
keyword	chin ups
keyword	crewcut
keyword	basic training
keyword	fireworks
keyword	shouting
keyword	rifle
keyword	target practice
keyword	voice over
keyword	mass grave
keyword	army life
keyword	tank
keyword	climbing
keyword	garbage can
keyword	shooting range
keyword	crooner
keyword	prostitution
keyword	shooting practice
keyword	blood
keyword	comrade
keyword	war violence
keyword	south carolina
keyword	physical abuse
keyword	verbal abuse
keyword	reference to john wayne
keyword	genocide
keyword	female sniper
keyword	abuse
keyword	shot in the chest
keyword	fistfight
keyword	reveille
keyword	chant
keyword	machine gun
keyword	machine gunner
keyword	woolly bully
keyword	marine base
keyword	dead soldier
keyword	exploding truck
keyword	group punishment
keyword	push ups
keyword	militarism
keyword	discipline
keyword	drill sergeant
keyword	drill instructor
keyword	punishment
keyword	electric shaver
keyword	bullet time
keyword	shot in the leg
keyword	beating
keyword	year 1967
keyword	soap
keyword	public humiliation
keyword	u.s. marine corps
keyword	blanket party
keyword	barracks
keyword	film camera
keyword	u.s. marine corps
keyword	mantra
keyword	mental breakdown
keyword	shooting a woman
keyword	interview
keyword	exit wound
keyword	doughnut
keyword	combat photography
keyword	underwear
keyword	gun battle
keyword	u.s. army
keyword	army
keyword	telephone
keyword	thief
keyword	drill
keyword	voice over narration
keyword	humiliation
keyword	madness
keyword	bunk bed
keyword	nco
keyword	n word
keyword	firearm
keyword	prostitute
keyword	racial slur
keyword	reference to mickey mouse
keyword	suicide
keyword	summary execution
keyword	marching
keyword	shot in the foot
keyword	boxer shorts
keyword	toilet
keyword	blasphemy
keyword	long take
keyword	soldier
keyword	obesity
keyword	marine hymn
keyword	helicopter
keyword	war photographer
keyword	ethnic slur
keyword	blood splatter
keyword	based on novel
keyword	based on book
keyword	title spoken by character
cast	Matthew Modine	Pvt. J.T. 'Joker' Davis
cast	Adam Baldwin	Animal Mother
cast	Vincent D'Onofrio	Pvt. Leonard 'Gomer Pyle' Lawrence
cast	R. Lee Ermey	Gny. Sgt. Hartman
cast	Dorian Harewood	Eightball
cast	Kevyn Major Howard	Rafterman
cast	Arliss Howard	Pvt. Cowboy
cast	Ed O'Ross	Lt. Touchdown
cast	John Terry	Lt. Lockhart
cast	Kieron Jecchinis	Crazy Earl
cast	Kirk Taylor	Payback
cast	Tim Colceri	Doorgunner
cast	Jon Stafford	Doc Jay
cast	Bruce Boa	Poge Colonel
cast	Ian Tyler	Lt. Cleves
cast	Sal Lopez	T.H.E. Rock
cast	Gary Landon Mills	Donlon
cast	Papillon Soo	Da Nang Hooker
cast	Peter Edmund	Pvt. 'Snowball' Brown
cast	Ngoc Le	VC Sniper
cast	Leanne Hong	Motorbike Hooker
cast	Tan Hung Francione	ARVN Pimp
cast	Marcus D'Amico	Hand Job
cast	Costas Dino Chimona	Chili
cast	Gil Kopel	Stork
cast	Keith Hodiak	Daddy D.A.
cast	Peter Merrill	TV Journalist
cast	Herbert Norville	Daytona Dave
cast	Nguyen Hue Phong	Camera Thief
cast	Duc Hu Ta	Dead N.V.A.
cast	Martin Adams	Parris Island Recruit and Vietnam Platoon
cast	Kevin Albridge	Parris Island Recruit and Vietnam Platoon
cast	Del Anderson	Parris Island Recruit and Vietnam Platoon
cast	Philip Bailey	Parris Island Recruit and Vietnam Platoon
cast	Louis Barlotti	Parris Island Recruit and Vietnam Platoon
cast	John Beddows	Parris Island Recruit and Vietnam Platoon
cast	Patrick Benn	Parris Island Recruit and Vietnam Platoon
cast	Steve Boucher	Parris Island Recruit and Vietnam Platoon
cast	Adrian Bush	Parris Island Recruit and Vietnam Platoon
cast	Tony Carey	Parris Island Recruit and Vietnam Platoon
cast	Gary Cheeseman	Parris Island Recruit and Vietnam Platoon
cast	Wayne Clark	Parris Island Recruit and Vietnam Platoon
cast	Chris Cornibert	Parris Island Recruit and Vietnam Platoon
cast	Danny Cornibert	Parris Island Recruit and Vietnam Platoon
cast	John Curtis	Parris Island Recruit and Vietnam Platoon
cast	John Davis	Parris Island Recruit and Vietnam Platoon
cast	Harry Davies	Parris Island Recruit and Vietnam Platoon
cast	Kevin Day	Parris Island Recruit and Vietnam Platoon
cast	Gordon Duncan	Parris Island Recruit and Vietnam Platoon
cast	Phil Elmer	Parris Island Recruit and Vietnam Platoon
cast	Colin Elvis	Parris Island Recruit and Vietnam Platoon
cast	Hadrian Follett	Parris Island Recruit and Vietnam Platoon
cast	Sean Frank	Parris Island Recruit and Vietnam Platoon
cast	David George	Parris Island Recruit and Vietnam Platoon
cast	Laurie Gomes	Parris Island Recruit and Vietnam Platoon
cast	Brian Goodwin	Parris Island Recruit and Vietnam Platoon
cast	Nigel Goulding	Parris Island Recruit and Vietnam Platoon
cast	Tony Hague	Parris Island Recruit and Vietnam Platoon
cast	Steve Hands	Parris Island Recruit and Vietnam Platoon
cast	Bob Eric Hart	Parris Island Recruit and Vietnam Platoon
cast	Derek Hart	Parris Island Recruit and Vietnam Platoon
cast	Barry Hayes	Parris Island Recruit and Vietnam Platoon
cast	Tony Hayes	Parris Island Recruit and Vietnam Platoon
cast	Robin Hedgeland	Parris Island Recruit and Vietnam Platoon
cast	Duncan Henry	Parris Island Recruit and Vietnam Platoon
cast	Kenneth Head	Parris Island Recruit and Vietnam Platoon
cast	Liam Hogan	Parris Island Recruit and Vietnam Platoon
cast	Trevor Hogan	Parris Island Recruit and Vietnam Platoon
cast	Luke Hogdal	Parris Island Recruit and Vietnam Platoon
cast	Steve Hudson	Parris Island Recruit and Vietnam Platoon
cast	Tony Howard	Parris Island Recruit and Vietnam Platoon
cast	Sean Lamming	Parris Island Recruit and Vietnam Platoon
cast	Dan Landin	Parris Island Recruit and Vietnam Platoon
cast	Tony Leete	Parris Island Recruit and Vietnam Platoon
cast	Nigel Lough	Parris Island Recruit and Vietnam Platoon
cast	Terry Lowe	Parris Island Recruit and Vietnam Platoon
cast	Frank McCardle	Parris Island Recruit and Vietnam Platoon
cast	Gary Meyer	Parris Island Recruit and Vietnam Platoon
cast	Brett Middleton	Parris Island Recruit and Vietnam Platoon
cast	David Milner	Parris Island Recruit and Vietnam Platoon
cast	Sean Minmagh	Parris Island Recruit and Vietnam Platoon
cast	Tony Minmagh	Parris Island Recruit and Vietnam Platoon
