year	2000
imdb score	6.8
meta score	70
genre	Horror
keyword	werewolf
keyword	full moon
keyword	death
keyword	pact
keyword	cure
keyword	halloween
keyword	dog
keyword	sex
keyword	locked in a bathroom
keyword	testicular cancer
keyword	masturbation
keyword	smashed into a fire hose glass case
keyword	exploding body
keyword	teaching someone how to drive
keyword	paw
keyword	garage
keyword	woods
keyword	tea party
keyword	hypodermic needle
keyword	shapeshifting
keyword	redhead
keyword	van
keyword	laxative
keyword	corpse
keyword	injection
keyword	school locker
keyword	entrails
keyword	falling down stairs
keyword	x rayed skeleton
keyword	dark heroine
keyword	sense of smell
keyword	obsessed with death
keyword	flickering light
keyword	school
keyword	virgin
keyword	supernatural power
keyword	porn magazine
keyword	bathtub
keyword	silver
keyword	loyalty
keyword	bechdel test passed
keyword	candle
keyword	spine
keyword	photograph
keyword	obscene finger gesture
keyword	dead girl
keyword	halloween party
keyword	injury
keyword	falling onto a picket fence
keyword	slide projector
keyword	silver bullet
keyword	camera
keyword	eating worms
keyword	nightmare
keyword	satire
keyword	lycanthrope
keyword	police
keyword	teeth
keyword	boyfriend girlfriend relationship
keyword	blood
keyword	suspected paedophile
keyword	stabbed in the throat
keyword	urinating blood
keyword	supernova
keyword	stabbing one's self
keyword	street hockey
keyword	drinking blood
keyword	promise
keyword	navel piercing
keyword	poison
keyword	social satire
keyword	tail
keyword	teenage boy
keyword	obsession
keyword	party
keyword	cancer
keyword	murder
keyword	learning to drive
keyword	sister sister relationship
keyword	boy
keyword	accidental stabbing
keyword	class
keyword	menstruation
keyword	superoxidant
keyword	dancing
keyword	bleach
keyword	mutation
keyword	howling
keyword	student
keyword	drunkenness
keyword	tailbone
keyword	menstrual cramps
keyword	photographer
keyword	covered in blood
keyword	kiss
keyword	bitten in the throat
keyword	forest
keyword	dark comedy
keyword	suicide pact
keyword	severed finger
keyword	vomiting
keyword	bludgeoning
keyword	knife
keyword	boys' bathroom
keyword	detox
keyword	witch
keyword	watching a movie on tv
keyword	condom
keyword	injection into one's neck
keyword	throat slitting
keyword	coughing blood
keyword	pot smoking
keyword	dead body
keyword	blood splatter
keyword	spondylitis
keyword	bleeding
keyword	suburbia
keyword	shovel
keyword	marijuana
keyword	dancer
keyword	tampon
keyword	gore
keyword	locker room
keyword	classroom
keyword	flowers
keyword	missing person
keyword	animal scratch
keyword	pms
keyword	drug dealing
keyword	microscope
keyword	fight
keyword	homeopathy
keyword	hanging
keyword	fireworks
keyword	broken arm
keyword	wolfsbane
keyword	ovulation
keyword	blood sister
keyword	teacher
keyword	suicide
keyword	slipping on spilled milk
keyword	stabbed in the stomach
keyword	shaving one's legs
keyword	watching a werewolf movie
keyword	burial
keyword	turning into an animal
keyword	worms
keyword	fur
keyword	self cutting
keyword	picket fence
keyword	ripping a door off its hinges
keyword	violence
keyword	biology
keyword	impalement
keyword	flashlight
keyword	dead dog
keyword	chainsaw
keyword	hockey stick
keyword	pain
keyword	virus
keyword	white blood cell
keyword	cramp
keyword	stabbing
keyword	rocking horse
keyword	radio alarm clock
keyword	growing a tail
keyword	janitor
keyword	kicking a dog
keyword	drugstore
keyword	monkshood
keyword	watching a movie
keyword	rape
keyword	hair
keyword	photography
keyword	basement
keyword	sandbox
keyword	checkout clerk
keyword	neon light
keyword	beating
keyword	urine
keyword	piercing
keyword	goth girl
keyword	baseball bat
keyword	field hockey
keyword	guidance counselor
keyword	oath
keyword	gasoline can
keyword	goth
keyword	playground
keyword	vow
keyword	girl fight
keyword	family dinner
keyword	gun
keyword	running
keyword	pregnancy
keyword	milk
keyword	drink
keyword	penis
keyword	toilet
keyword	drinking
keyword	teenage girl
keyword	female werewolf
keyword	beast
keyword	dead boy
keyword	wound
keyword	female protagonist
keyword	infection
keyword	raking leaves
keyword	athletic field
keyword	coming of age
keyword	school nurse
keyword	swing
keyword	love
keyword	lycanthropy
keyword	first of series
keyword	sensor light
keyword	showdown
keyword	kicking
keyword	greenhouse
keyword	fake suicide
keyword	hit with a hockey stick
keyword	pitchfork
keyword	growing marijuana
keyword	black comedy
keyword	death project
keyword	puberty
keyword	teenager
keyword	curse
keyword	panties
keyword	wolf
keyword	diet pills
keyword	father daughter relationship
keyword	hit by a car
keyword	spilled milk
keyword	field trip
keyword	killing a dog
keyword	torture
keyword	raging hormones
keyword	bitten by an animal
keyword	menarche
keyword	aconitum
keyword	fingernail
keyword	loss of sister
keyword	watching tv
keyword	fake blood
keyword	girls' bathroom
keyword	creature feature
keyword	lawn mower
keyword	roadkill
keyword	nurse
keyword	screwdriver the tool
keyword	claw mark
keyword	cigarette smoking
keyword	hair curler
keyword	metabolism
keyword	urination
keyword	slide show
keyword	mother daughter relationship
keyword	animal attack
keyword	drug use
keyword	high school
keyword	claw
keyword	std
keyword	orgasm
keyword	polaroid
keyword	sanitary napkin
keyword	drug dealer
keyword	wolf hit by a car
keyword	face ripped off
keyword	deep freezer
keyword	independent film
keyword	character name in title
cast	Emily Perkins	Brigitte
cast	Katharine Isabelle	Ginger
cast	Kris Lemche	Sam
cast	Mimi Rogers	Pamela
cast	Jesse Moss	Jason
cast	Danielle Hampton	Trina
cast	John Bourgeois	Henry
cast	Peter Keleghan	Mr. Wayne
cast	Christopher Redman	Ben
cast	Jimmy MacInnis	Tim
cast	Lindsay Leese	Nurse Ferry
cast	Wendii Fulford	Ms. Sykes
cast	Ann Baggley	Mother
cast	Graeme Robertson	Toddler
cast	Maxwell Robertson	Toddler
cast	Pak-Kwong Ho	Janitor
cast	Bryon Bully	Hockey Kid
cast	Steven Taylor	Puppy Kid
cast	Nick Nolan	Creature / Gingerwolf
cast	Joey Paul Gowdy	Student Blue Backpack
cast	Lucy Lawless	Announcer on School's PA System
