year	1998
imdb score	5.2
meta score	32
genre	Action
genre	Sci-Fi
genre	Thriller
keyword	lizard
keyword	monster
keyword	military
keyword	godzilla
keyword	panama
keyword	scientist
keyword	island
keyword	french
keyword	chase
keyword	offspring
keyword	creature feature
keyword	news report
keyword	gatling gun
keyword	brooklyn bridge
keyword	diner
keyword	ex boyfriend ex girlfriend relationship
keyword	polynesia
keyword	color remake of black and white film
keyword	horror movie remake
keyword	biologist
keyword	fighter jet
keyword	soldier
keyword	exploding building
keyword	car accident
keyword	reporter
keyword	central park manhattan new york city
keyword	stadium
keyword	subway station
keyword	helicopter
keyword	chrysler building manhattan new york city
keyword	scene during opening credits
keyword	destroyed building
keyword	storm
keyword	giant monster
keyword	tail
keyword	disaster in new york
keyword	subway
keyword	radiation
keyword	lifting someone into the air
keyword	coffee
keyword	fish
keyword	humvee
keyword	fishing
keyword	title appears in writing
keyword	mutant animal
keyword	nuclear testing
keyword	missile
keyword	death of title character
keyword	u boat
keyword	evacuation
keyword	hidden microphone
keyword	disaster
keyword	remake of cult film
keyword	radioactive contamination
keyword	rain
keyword	1990s
keyword	pier
keyword	mushroom cloud
keyword	pregnancy test
keyword	italian american
keyword	jamaica
keyword	character repeating someone else's dialogue
keyword	donut
keyword	photograph
keyword	boat
keyword	vcr
keyword	paleontologist
keyword	american stereotype
keyword	torpedo
keyword	nest
keyword	campy
keyword	tank
keyword	footprint
keyword	singing in a car
keyword	asexual reproduction
keyword	subtitled scene
keyword	kaiju
keyword	exploding car
keyword	sonar
keyword	south pacific ocean
keyword	trap
keyword	critically bashed
keyword	reference to elvis presley
keyword	disaster film
keyword	colonel
keyword	sinking ship
keyword	secret service
keyword	eaten alive
keyword	machine gun
keyword	appearing from the water
keyword	reference to romeo and juliet
keyword	monster terrorizes city
keyword	english subtitles in original
keyword	flashlight
keyword	sergeant
keyword	geiger counter
keyword	one word title
keyword	american abroad
keyword	video tape
keyword	ukraine
keyword	exploding helicopter
keyword	homeless person
keyword	mayor
keyword	submarine
keyword	character says i love you
keyword	tragic event
keyword	mass destruction
keyword	remake
keyword	tahiti
keyword	world trade center manhattan new york city
keyword	crushed to death
keyword	new york city
keyword	cigarette smoking
keyword	blood sample
keyword	rampage
keyword	la marseillaise
keyword	empire state building manhattan new york city
keyword	c4 explosives
keyword	taxi
keyword	video camera
keyword	555 phone number
keyword	manhattan new york city
keyword	exploding tank
keyword	mutation
keyword	worm
keyword	tv cameraman
keyword	tv station
keyword	quitting a job
keyword	reptile
keyword	looter
keyword	stealing a taxi
keyword	radiation made monster
keyword	ship wreck
keyword	betrayal
keyword	egg
keyword	car crash
keyword	media
keyword	madison square garden manhattan new york city
keyword	new jersey
keyword	monster movie
keyword	husband wife relationship
keyword	french stereotype
keyword	u.s. navy
keyword	chewing gum
keyword	blockbuster
keyword	title spoken by character
keyword	character name in title
keyword	surprise ending
cast	Matthew Broderick	Dr. Niko Tatopoulos
cast	Jean Reno	Philippe Roaché
cast	Maria Pitillo	Audrey Timmonds
cast	Hank Azaria	Victor 'Animal' Palotti
cast	Kevin Dunn	Colonel Hicks
cast	Michael Lerner	Mayor Ebert
cast	Harry Shearer	Charles Caiman
cast	Arabella Field	Lucy Palotti
cast	Vicki Lewis	Dr. Elsie Chapman
cast	Doug Savant	Sergeant O'Neal
cast	Malcolm Danare	Dr. Mendel Craven
