year	1964
imdb score	7.8
meta score	N/A
genre	Action
genre	Adventure
genre	Crime
genre	Thriller
keyword	gold
keyword	fort knox
keyword	hat
keyword	pilot
keyword	british
keyword	henchman
keyword	mute
keyword	machine gun
keyword	murder
keyword	british agent
keyword	ejector seat
keyword	smoke screen
keyword	smuggling
keyword	gas mask
keyword	criminal mastermind
keyword	male bare feet
keyword	tracking device
keyword	famous song
keyword	womanizer
keyword	conspiracy
keyword	sequel
keyword	fried chicken
keyword	gadget car
keyword	electrocution
keyword	surveillance
keyword	dead woman on bed
keyword	british secret service
keyword	peep hole
keyword	covered in melted gold
keyword	nude woman murdered
keyword	tuxedo
keyword	colonel sanders
keyword	airport
keyword	airplane
keyword	switzerland
keyword	chase
keyword	airfield
keyword	hiding on the ceiling
keyword	villain turns good
keyword	mute villain
keyword	flamenco dancer
keyword	assassin
keyword	double cross
keyword	scuba diving
keyword	nightclub
keyword	race against time
keyword	female bare feet
keyword	miami beach florida
keyword	secret agent
keyword	megalomaniac
keyword	oil slick
keyword	flat tire
keyword	mass murder
keyword	paint
keyword	silent henchman
keyword	rolls royce
keyword	cheating
keyword	cheating at cards
keyword	naked dead woman
keyword	revenge
keyword	knocked unconscious
keyword	broken neck
keyword	body painting
keyword	wager
keyword	red chinese agent
keyword	london england
keyword	gambling
keyword	cia
keyword	crime boss
keyword	judo
keyword	gold ring
keyword	hotel
keyword	baltimore maryland
keyword	eavesdropping
keyword	poison gas
keyword	bullet proof automobile
keyword	white cat
keyword	tension
keyword	invincible henchman
keyword	swiss
keyword	explosive decompression
keyword	blockbuster
keyword	british intelligence
keyword	one word title
keyword	wrecking yard
keyword	reverse footage
keyword	captured by enemy
keyword	cia agent
keyword	action hero
keyword	dirty bomb
keyword	lesbian
keyword	automobile
keyword	sequel mentioned during end credits
keyword	car chase
keyword	exploding car
keyword	nuclear bomb
keyword	red china
keyword	spy
keyword	cult figure
keyword	woman's neck broken
keyword	official james bond series
keyword	espionage
keyword	playing footsie while in bed
keyword	sniper
keyword	the beatles
keyword	death of title character
keyword	karate
keyword	famous line
keyword	parachute
keyword	sister
keyword	bowler hat
keyword	horse farm
keyword	korean
keyword	bikini
keyword	kentucky
keyword	third part
keyword	ford mustang
keyword	robbery
keyword	miami florida
keyword	arch villain
keyword	trash compactor
keyword	cult film
keyword	dungeon
keyword	butt slap
keyword	nerve gas
keyword	shootout
keyword	reflection in eye
keyword	jamaica
keyword	nuclear weapon
keyword	organized crime
keyword	laser
keyword	bond girl
keyword	binoculars
keyword	1960s
keyword	camera shot of feet
keyword	urban legend
keyword	martial arts
keyword	geneva switzerland
keyword	gin rummy
keyword	two sisters
keyword	atomic bomb
keyword	millionaire
keyword	handcuffs
keyword	asian
keyword	exploding airplane
keyword	airplane accident
keyword	bathtub
keyword	evil man
keyword	playing footsie
keyword	golf
keyword	disguise
keyword	destruction of statue
keyword	rifle
keyword	talking killer cliche
keyword	golden gun
keyword	decapitation of statue
keyword	loss of sister
keyword	alps
keyword	gadget
keyword	prologue
keyword	odd job
keyword	gadgetry
keyword	famous score
keyword	motor car crusher
keyword	terrorism
keyword	army
keyword	escape
keyword	kentucky fried chicken
keyword	based on novel
keyword	title spoken by character
keyword	actor shares first name with character
keyword	character name in title
cast	Sean Connery	James Bond
cast	Honor Blackman	Pussy Galore
cast	Gert Fröbe	Auric Goldfinger
cast	Shirley Eaton	Jill Masterson
cast	Tania Mallet	Tilly Masterson
cast	Harold Sakata	Oddjob
cast	Bernard Lee	'M'
cast	Martin Benson	Solo
cast	Cec Linder	Felix Leiter
cast	Austin Willis	Simmons
cast	Lois Maxwell	Moneypenny
cast	Bill Nagy	Midnight
cast	Michael Mellinger	Kisch
cast	Peter Cranwell	Johnny
cast	Nadja Regin	Bonita
cast	Richard Vernon	Smithers
cast	Burt Kwouk	Mr. Ling
cast	Desmond Llewelyn	'Q'
cast	Mai Ling	Mei-Lei
cast	Varley Thomas	Swiss Gatekeeper
cast	Margaret Nolan	Dink
cast	John McLaren	Brigadier
cast	Robert MacLeod	Atomic Specialist
cast	Victor Brooks	Blacking
cast	Alf Joint	Capungo
cast	Gerry Duggan	Hawker
cast	Peter Brace	South American Guard
cast	Terence Brook	Security Officer at Airport
cast	Anthony Chinn	Servant at Stud Farm
cast	Marian Collins	Girlfriend of Goldfinger
cast	Michael Collins	Auric Goldfinger
cast	Denis Cowles	Brunskill
cast	Carmen Dene	Purple Bikini Girl Near Pool
cast	Hal Galili	Mr. Strap
cast	Caron Gardner	Flying Circus Pilot
cast	Lesley Hill	Flying Circus Pilot
cast	George Leech	Man in Bulletproof Vest at Q Branch
cast	Garry Marshall	Hoodlum
cast	Aleta Morrison	Flying Circus Pilot
cast	Tricia Muller	Sydney
cast	Lenny Rabin	American Gangster
cast	Janette Rowsell	Chambermaid
cast	Bob Simmons	James Bond in Gunbarrel Sequence
cast	Les Tremayne	Radio Newsman
cast	Nikki Van der Zyl	Jill Masterson
cast	Michael G. Wilson	Soldier at Fort Knox
cast	Maggie Wright	Air Squadron Leader
cast	Raymond Young	Sierra
