logline	A psychotic murderer institutionalized since childhood for the murder of his sister, escapes and stalks a bookish teenage girl and her friends while his doctor chases him through the streets.
tagline	The trick was to stay alive.
tagline	The Night he came home
tagline	He's come back
tagline	The Night HE Came Home!
tagline	HE came home for HALLOWEEN.
tagline	Everyone is entitled to one good scare
tagline	Trick or treat... or die
tagline	Let's celebrate the horror
tagline	Happy Halloween!
tagline	The Trick Is To Stay Alive!
