year	1981
imdb score	6.5
meta score	44
genre	Horror
genre	Thriller
keyword	hospital
keyword	halloween
keyword	michael myers
keyword	murder
keyword	sheriff
keyword	night
keyword	neighborhood
keyword	madness
keyword	blood
keyword	nurse
keyword	police
keyword	death
keyword	search
keyword	gore
keyword	female nudity
keyword	brunette
keyword	detective
keyword	mysterious man
keyword	throat slitting
keyword	blood splatter
keyword	nude bathing
keyword	psycho killer
keyword	obsession
keyword	woman stabbed
keyword	nurse uniform
keyword	set on fire
keyword	dead woman with eyes open
keyword	nude woman murdered
keyword	ambulance
keyword	push button
keyword	female victim
keyword	paranoia
keyword	butcher knife
keyword	murder of a police officer
keyword	alone
keyword	back from the dead
keyword	scare
keyword	autopsy
keyword	shooting
keyword	car accident
keyword	stalker
keyword	needle
keyword	psychological trauma
keyword	blood draining
keyword	nudity
keyword	beaten to death
keyword	cut
keyword	voyeurism
keyword	boiling water
keyword	psycho thriller
keyword	hide
keyword	cult film
keyword	walkie talkie
keyword	slasher
keyword	dark secret
keyword	watching tv
keyword	psychopath
keyword	boyfriend girlfriend relationship
keyword	murder attempt
keyword	1970s
keyword	wheelchair
keyword	blonde
keyword	slip
keyword	hiding
keyword	injection
keyword	stripping
keyword	multiple homicide
keyword	glass
keyword	presumed dead
keyword	electronic music score
keyword	frustration
keyword	multiple stabbing
keyword	dead woman
keyword	bloodbath
keyword	stabbed in the back
keyword	witness
keyword	neighbor
keyword	crying
keyword	fragments of glass
keyword	shadow
keyword	human monster
keyword	dripping blood
keyword	murder investigation
keyword	accidental killing
keyword	curiosity
keyword	stalking by night
keyword	dead nurse
keyword	sequel
keyword	masked killer
keyword	suit
keyword	homicidal
keyword	broken glass
keyword	scream
keyword	burning
keyword	melting face
keyword	eye gouging
keyword	pool
keyword	darkness
keyword	torture
keyword	holiday horror
keyword	smoke
keyword	trap
keyword	person on fire
keyword	shot in the eye
keyword	sinister
keyword	psycho
keyword	hot water
keyword	accident
keyword	explosion
keyword	bath
keyword	pantyhose
keyword	hit on the head
keyword	character's point of view camera shot
keyword	disfigurement
keyword	robe
keyword	dark killer
keyword	needle in eye
keyword	silhouette
keyword	second part
keyword	dead girl
keyword	brawl
keyword	stabbed in the stomach
keyword	killed with a hammer
keyword	prologue
keyword	flame
keyword	maniac
keyword	stabbed to death
keyword	chase
keyword	revolver
keyword	memory
keyword	mercilessness
keyword	female rear nudity
keyword	dead doctor
keyword	mute
keyword	mutilation
keyword	blood stain
keyword	destruction
keyword	voyeur
keyword	camera shot of feet
keyword	subjective camera
keyword	good versus evil
keyword	sequel to cult film
keyword	policeman
keyword	serial killer
keyword	sleeping girl
keyword	glasses
keyword	flat tire
keyword	sleeping woman
keyword	bleeding
keyword	poison
keyword	scalding
keyword	old man
keyword	mask
keyword	cigarette smoking
keyword	male nudity
keyword	closing eyes of dead person
keyword	insanity
keyword	hit by a car
keyword	sadistic psychopath
keyword	confusion
keyword	jealousy
keyword	police officer
keyword	fiend
keyword	hypodermic needle
keyword	temperature
keyword	multiple murder
keyword	death by strangulation
keyword	stalking victim
keyword	deeply disturbed person
keyword	kissing
keyword	homicide
keyword	lifting someone into the air
keyword	hammer
keyword	serial teen killer
keyword	secret
keyword	seduction
keyword	jacuzzi
keyword	screaming
keyword	murder witness
keyword	violence
keyword	telephone call
keyword	hitting
keyword	characters killed one by one
keyword	stabbed in the eye
keyword	searching
keyword	police officer throat slit
keyword	stabbed in the throat
keyword	nipples
keyword	slasher flick
keyword	psychologist
keyword	stabbing
keyword	dead man
keyword	burnt face
keyword	store
keyword	dying words
keyword	trauma
keyword	scalpel
keyword	tv news
keyword	uniform
keyword	dark past
keyword	bandage
keyword	fire
keyword	blindness
keyword	brutality
keyword	flashlight
keyword	cowboy hat
keyword	opening credits
keyword	stalking
keyword	light
keyword	female stockinged feet
keyword	locked up
keyword	car trouble
keyword	sex
keyword	strangulation
keyword	sexual attraction
keyword	old woman
keyword	killer
keyword	masked man
keyword	pool of blood
keyword	attempted murder
keyword	number in title
keyword	
cast	Jamie Lee Curtis	Laurie Strode
cast	Donald Pleasence	Sam Loomis
cast	Charles Cyphers	Leigh Brackett
cast	Jeffrey Kramer	Graham
cast	Lance Guest	Jimmy
cast	Pamela Susan Shoop	Karen
cast	Hunter von Leer	Gary Hunt
cast	Dick Warlock	The Shape / Patrolman #3
cast	Leo Rossi	Budd
cast	Gloria Gifford	Mrs. Alves
cast	Tawny Moyer	Jill
cast	Ana Alicia	Janet
cast	Ford Rainey	Dr. Mixter
cast	Cliff Emmich	Mr. Garrett
cast	Nancy Stephens	Marion
cast	John Zenda	Marshall
cast	Catherine Bergstrom	Producer
cast	Alan Haufrect	Announcer
cast	Lucille Benson	Mrs. Elrod
cast	Howard Culver	Man in Pajamas
cast	Dana Carvey	Assistant
cast	Billy Warlock	Craig
cast	Jonathan Prince	Randy
cast	Leigh French	Gary's Mother
cast	Ty Mitchell	Young Gary
cast	Nancy Kyes	Annie Brackett
cast	Pamela McMyler	Laurie's Mother
cast	Dennis Holahan	Laurie's Father
cast	Nichole Drucker	Young Laurie
cast	Ken Smolka	1st Patrolman
cast	Adam Gunn	Young Michael Myers
cast	Roger Hampton	Patrolman #2
cast	Robin Coleman	Medic
cast	Jack Verbois	Bennett Tramer
cast	Tony Moran	Michael Myers - Age 23
cast	Kyle Richards	Lindsey Wallace
cast	Brian Andrews	Tommy Doyle
cast	Anne Bruner	Alice
cast	Kim Gottlieb	Photographer at Hospital
cast	Helen Kelly	Nurse at the Hospital
cast	Anne-Marie Martin	Darcy Essmont
cast	Nancy Platt Jacoby	WWAR Sound Assistant
cast	Lance Warlock	Radio-Carrying Teen
