logline	Serial Killer Michael Myers is not finished with Laurie Strode, and their rivalry finally comes to an end. But is this the last we see of Myers? Freddie Harris and Nora Winston are reality ...
tagline	Evil Finds Its Way Home.
tagline	Evil Never Dies. You can burn it, you can shoot it, you can lock it up forever,  but evil never dies.
tagline	The shape is back in action
tagline	Everyone can see you.  Everyone can hear you.  But on July 12th, no one can help you.
tagline	Michael's work in Haddonfield is not done yet!
tagline	Brother vs Sister... for one last time!
tagline	Evil comes home.
tagline	Michael Myers is back...and he's ready to clean house!
tagline	On July 12th, Michael comes home, and this time, there will be NO escape!
tagline	The night HE came back!
