year	2011
imdb score	6.8
meta score	65
genre	Action
genre	Adventure
genre	Thriller
keyword	assassin
keyword	revelation
keyword	teenage girl
keyword	finland
keyword	training
keyword	sex in a van
keyword	spain
keyword	redhead
keyword	human experimentation
keyword	knife
keyword	shot in the head
keyword	running
keyword	transponder
keyword	revenge
keyword	american abroad
keyword	bus station
keyword	tourist
keyword	killing an animal
keyword	first kiss
keyword	genetic enhancement
keyword	split screen
keyword	isolation
keyword	throat slitting
keyword	kicked in the stomach
keyword	long take
keyword	stabbed in the chest
keyword	child with a gun
keyword	punched in the face
keyword	friendship
keyword	bow and arrow
keyword	child soldier
keyword	berlin germany
keyword	holding cell
keyword	playground
keyword	younger version of character
keyword	spanish
keyword	multi lingual
keyword	mother daughter relationship
keyword	hamburg germany
keyword	super soldier
keyword	female massages her own foot
keyword	henchman
keyword	character says i love you
keyword	stabbed in the neck
keyword	female assassin
keyword	interrogation
keyword	strip club
keyword	cia
keyword	dead animal
keyword	morocco
keyword	corpse
keyword	shot in the back
keyword	rogue agent
keyword	pantyhose
keyword	reflection in eye
keyword	helicopter
keyword	shootout
keyword	child protagonist
keyword	magic trick
keyword	foot closeup
keyword	pistol
keyword	blood
keyword	postcard
keyword	amusement park
keyword	singing in a car
keyword	shot to death
keyword	child fugitive
keyword	father daughter relationship
keyword	fugitive
keyword	car crash
keyword	impostor
keyword	campsite
keyword	singing
keyword	stalking
keyword	husband wife relationship
keyword	cctv
keyword	little boy
keyword	child in peril
keyword	brushing teeth
keyword	woman's neck broken
keyword	british
keyword	blood splatter
keyword	shot in the chest
keyword	haircut
keyword	luger
keyword	child assassin
keyword	forest
keyword	slow motion scene
keyword	character's point of view camera shot
keyword	human experiment
keyword	mercy killing
keyword	one word title
keyword	subway station
keyword	arabic
keyword	mother son relationship
keyword	hung upside down
keyword	family vacation
keyword	villainess
keyword	snow
keyword	cargo container
keyword	hiding under a bed
keyword	head butt
keyword	shot in the eye
keyword	on the run
keyword	arrow in chest
keyword	character repeating someone else's dialogue
keyword	german accent
keyword	shot through a door
keyword	self sacrifice
keyword	child uses gun
keyword	bare chested male
keyword	impalement
keyword	neck breaking
keyword	merry go round
keyword	road trip
keyword	operation gladio
keyword	fight
keyword	bilingualism
keyword	gutting
keyword	stabbed to death
keyword	foot chase
keyword	stabbed with a pen
keyword	photograph
keyword	coming of age
keyword	death
keyword	whistling
keyword	woman breaks woman's neck
keyword	killer child
keyword	father son relationship
keyword	nightclub
keyword	title at the end
keyword	d box motion code
keyword	subtitled scene
keyword	desert
keyword	dock
keyword	hermaphrodite
keyword	skinhead
keyword	fish out of water
keyword	target practice
keyword	silencer
keyword	murder
keyword	female warrior
keyword	stabbed in the leg
keyword	female stockinged legs
keyword	reference to benjamin franklin
keyword	abandoned amusement park
keyword	stowaway
keyword	underground bunker
keyword	dead deer
keyword	female stockinged foot
keyword	electricity
keyword	subjective camera
keyword	flashback
keyword	genetic modification
keyword	deer hunting
keyword	grimm's fairy tales
keyword	nude pantyhose
keyword	taiga
keyword	bracelet
keyword	dead mother
keyword	hit with a car door
keyword	cia agent
keyword	psychiatric evaluation
keyword	hunting
keyword	escape from custody
keyword	martial arts
keyword	female protagonist
keyword	blood sample
keyword	camera shot of feet
keyword	punched in the stomach
keyword	german
keyword	tied to a chair
keyword	deer
keyword	murder of a police officer
keyword	arthouse action
keyword	genetic engineering
keyword	cabin in the woods
keyword	knife throwing
keyword	death of mother
keyword	death of father
keyword	title spoken by character
keyword	character name in title
cast	Saoirse Ronan	Hanna
cast	Eric Bana	Erik Heller
cast	Vicky Krieps	Johanna Zadek
cast	Cate Blanchett	Marissa Wiegler
cast	Paris Arrowsmith	CIA Tech #1
cast	John Macmillan	Lewis
cast	Tim Beckmann	Walt
cast	Paul Birchard	Bob
cast	Christian Malcolm	Head of Ops
cast	Jamie Beamish	Burton
cast	Tom Hodgkins	Monitor
cast	Vincent Montuel	Camp G Doctor #1
cast	Nathan Nolan	Camp G Doctor #2
cast	Michelle Dockery	False Marissa
cast	Jessica Barden	Sophie
cast	Aldo Maland	Miles
cast	Olivia Williams	Rachel
cast	Jason Flemyng	Sebastian
cast	Mohamed Majd	Moroccan Hotel Owner
cast	Tom Hollander	Isaacs
cast	Sebastian Hülk	Titch
cast	Joel Basman	Razor
cast	Mathias Harrebye-Brandt	Danish Policeman
cast	Álvaro Cervantes	Feliciano
cast	Marc Soto	Feliciano's Brother
cast	Gudrun Ritter	Katrin Zadek
cast	Martin Wuttke	Knepfler
cast	Martin Goeres	
cast	Timo Honsa	
cast	Alister Mazzotti	
