year	1971
imdb score	6.1
meta score	N/A
genre	Comedy
genre	Drama
keyword	jungle
keyword	homecoming
keyword	family relationships
keyword	based on play
keyword	independent film
keyword	character name in title
cast	Rod Steiger	Harold Ryan
cast	Susannah York	Penelope Ryan
cast	George Grizzard	Dr. Norbert Woodley
cast	Don Murray	Herb Shuttle
cast	William Hickey	Looseleaf Harper
cast	Steven Paul	Paul Ryan
cast	Pamelyn Ferdin	Wanda June
cast	Pamela Saunders	Mildred Ryan
cast	Louis Turenne	Major von Koningswald
cast	C.C. Whitney	Mrs. Kestenbaum
cast	Lester Goldsmith	Mr. Kestenbaum
