year	1994
imdb score	7.5
meta score	N/A
genre	Biography
genre	Crime
genre	Drama
genre	Fantasy
keyword	friend
keyword	love
keyword	fantasy life
keyword	writing
keyword	1950s
keyword	friendship
keyword	playing dress up
keyword	voice over narration
keyword	gore
keyword	heaven
keyword	montage
keyword	friendship between girls
keyword	bludgeoning
keyword	year 1954
keyword	surrogate daughter
keyword	death
keyword	teenage crush
keyword	role playing
keyword	homosexuality
keyword	brick
keyword	illness
keyword	singer
keyword	reference to jesus christ
keyword	reference to doris day
keyword	brother sister relationship
keyword	drawing
keyword	sex
keyword	hit on the head
keyword	premeditated
keyword	party
keyword	marriage
keyword	lesbian subtext
keyword	radio program
keyword	ritual
keyword	childbirth
keyword	correspondence
keyword	slow motion
keyword	contemplating death
keyword	puppy
keyword	film within a film
keyword	marriage counselor
keyword	dream
keyword	flashback
keyword	opposites attract
keyword	insanity
keyword	divorce
keyword	rampage
keyword	passport
keyword	reference to orson welles
keyword	woods
keyword	theft
keyword	bible
keyword	alternate world
keyword	tenor
keyword	song
keyword	blood
keyword	screaming
keyword	intensisty
keyword	christmas
keyword	telephone call
keyword	husband wife relationship
keyword	record album
keyword	matricide
keyword	scheme
keyword	bicycle accident
keyword	altar
keyword	throwing a stone into water
keyword	orgasm
keyword	kiss
keyword	diary
keyword	shared bath
keyword	religion
keyword	hallucination
keyword	shrine
keyword	class
keyword	mother daughter relationship
keyword	shared hallucination
keyword	melodrama
keyword	christchurch new zealand
keyword	hysteria
keyword	fantasy world
keyword	redemption
keyword	hymn
keyword	christmas gift
keyword	subjective camera
keyword	movie magazine
keyword	bus ride
keyword	family relationships
keyword	fire escape
keyword	dancing
keyword	ambulance
keyword	bludgeoned to death
keyword	gay interest
keyword	clay model
keyword	arrest
keyword	singing
keyword	foster daughter
keyword	virgin
keyword	father daughter relationship
keyword	new year's resolution
keyword	photographer
keyword	thief
keyword	fired from the job
keyword	lesbian kiss
keyword	nonlinear timeline
keyword	record player
keyword	blood spatter
keyword	voice over writing
keyword	lesbianism
keyword	christmas tree
keyword	classroom
keyword	panties
keyword	murder
keyword	reference to mel ferrer
keyword	pretending
keyword	privilege
keyword	letter
keyword	sick child
keyword	cathedral
keyword	secluded
keyword	lesbian
keyword	spoiled
keyword	nylons
keyword	cult film
keyword	beach
keyword	parole
keyword	pretending to be dead
keyword	teacher
keyword	headmistress
keyword	adultery
keyword	two women in bath tub
keyword	unfaithfulness
keyword	psychology
keyword	pretending to give birth
keyword	therapy
keyword	extramarital affair
keyword	cinema
keyword	choir
keyword	bra
keyword	crying
keyword	movie star
keyword	surrealism
keyword	sword
keyword	orgy
keyword	plasticene
keyword	teenage girl
keyword	documentary footage
keyword	model comes to life
keyword	teen angst
keyword	moving
keyword	boarding house
keyword	bathtub
keyword	therapist
keyword	fantasy sequence
keyword	coughing blood
keyword	lesbian sex
keyword	recording
keyword	bisexuality
keyword	aunt niece relationship
keyword	unicorn
keyword	virginity
keyword	head wound
keyword	reference to james mason
keyword	suspected lesbian
keyword	biking
keyword	coming of age
keyword	story telling
keyword	court jester
keyword	college professor
keyword	madness
keyword	garter belt
keyword	infidelity
keyword	teenager
keyword	girls' school
keyword	sex with minor
keyword	loss of virginity
keyword	tuberculosis
keyword	obsession
keyword	stabbing
keyword	hollywood
keyword	secret
keyword	dancer
keyword	typing class
keyword	child psychology
keyword	teenage girl in underwear
keyword	new zealand
keyword	eating disorder
keyword	school uniform
keyword	apparition
keyword	canterbury college
keyword	student
keyword	year 1953
keyword	theatre audience
keyword	professor
keyword	hospital
keyword	what happened to epilogue
keyword	gym class
keyword	modeling clay
keyword	priest
keyword	wealth
keyword	art class
keyword	counselor
keyword	imaginary kingdom
keyword	face slap
keyword	phonograph record
keyword	newsreel footage
keyword	miming
keyword	love triangle
keyword	tennis
keyword	stop motion animation
keyword	apology
keyword	trolley
keyword	writer
keyword	female female kiss
keyword	psychologist
keyword	passion
keyword	post world war two
keyword	underage drinking
keyword	wish
keyword	sexual awakening
keyword	stealing
keyword	beaten to death
keyword	independent film
keyword	based on true story
keyword	title spoken by character
keyword	
cast	Melanie Lynskey	Pauline Parker
cast	Kate Winslet	Juliet Hulme
cast	Sarah Peirse	Honora Parker Rieper
cast	Diana Kent	Hilda Hulme
cast	Clive Merrison	Dr. Henry Hulme
cast	Simon O'Connor	Herbert Rieper
cast	Jed Brophy	John / Nicholas
cast	Peter Elliott	Bill Perry
cast	Gilbert Goldie	Dr. Bennett
cast	Geoffrey Heath	Rev. Norris
cast	Kirsti Ferry	Wendy
cast	Ben Skjellerup	Jonathan Hulme
cast	Darien Takle	Miss Stewart
cast	Elizabeth Moody	Miss Waller
cast	Liz Mullane	Mrs. Collins
cast	Moreen Eason	Mrs. Stevens
cast	Pearl Carpenter	Mrs. Zwartz
cast	Lou Dobson	Grandma Parker
cast	Jesse Griffin	Laurie
cast	Glen Drake	Steve
cast	Nic Farra	Boarder
cast	Chris Clarkson	Boarder
cast	Ray Henwood	Professor
cast	John Nicoll	Professor
cast	Michael Maxwell	Professor
cast	Raewyn Pelham	Laura
cast	Toni Jones	Agnes Ritchie
cast	Glenys Lloyd-Smith	Miss Digby
cast	Wendy Watson	Mrs. Bennett
cast	Jean Guérin	Orson Welles
cast	Stephen Reilly	Mario Lanza
cast	Andrea Sanders	Diello
cast	Ben Fransham	Charles
cast	Jessica Bradley	Pauline 5 Years
cast	Alex Shirtcliffe-Scott	Juliet 5 Years
cast	Barry Thomson	Farmer / Policeman
cast	Kylie Cushman	Student - Class 3a
cast	Peter Jackson	Bum Outside Theater
