year	2000
imdb score	7.6
meta score	79
genre	Comedy
genre	Drama
genre	Music
genre	Romance
keyword	record store
keyword	store
keyword	pop music
keyword	song
keyword	record shop
keyword	vinyl
keyword	thirty something
keyword	love
keyword	jacket
keyword	answering machine
keyword	fear of commitment
keyword	grudge
keyword	loss of girlfriend
keyword	apartment
keyword	marriage proposal
keyword	rock band
keyword	frustration
keyword	sidewalk
keyword	curtains
keyword	bedroom
keyword	rock music
keyword	adolescent boy
keyword	storekeeper
keyword	musician
keyword	twenty something
keyword	soul music
keyword	band
keyword	university
keyword	small business
keyword	record label
keyword	drink
keyword	sexual attraction
keyword	crowd
keyword	sexuality
keyword	skateboarder
keyword	friend
keyword	attempted theft
keyword	black humor
keyword	house
keyword	irony
keyword	doubt
keyword	drunken telephone call
keyword	joy
keyword	apartment building
keyword	world music
keyword	breaking the fourth wall
keyword	college
keyword	ex boyfriend ex girlfriend relationship
keyword	urban comedy
keyword	sofa
keyword	singing
keyword	couch
keyword	sexual desire
keyword	cassette tape
keyword	reference to bruce springsteen
keyword	sadness
keyword	brunette
keyword	chicago illinois
keyword	break up
keyword	shoplifting
keyword	live music
keyword	bruce springsteen
keyword	college campus
keyword	crying
keyword	single
keyword	music store
keyword	reference to beethoven
keyword	drinking
keyword	club dj
keyword	sarcasm
keyword	recording
keyword	wet
keyword	rage
keyword	obscene finger gesture
keyword	boyfriend girlfriend relationship
keyword	telephone
keyword	teenage boy
keyword	audio cassette
keyword	high school
keyword	university student
keyword	discussion
keyword	rain
keyword	blonde
keyword	insecurity
keyword	funeral
keyword	misfit
keyword	caress
keyword	1980s
keyword	jealousy
keyword	shyness
keyword	room
keyword	immaturity
keyword	record producer
keyword	living room
keyword	2000s
keyword	man with glasses
keyword	business proposition
keyword	self doubt
keyword	laughing
keyword	disappointment
keyword	student
keyword	sex
keyword	teenager
keyword	rainy night
keyword	talking to the camera
keyword	bed
keyword	classic rock music
keyword	bitterness
keyword	loss of father
keyword	audience
keyword	memory
keyword	looking at the camera
keyword	anger
keyword	flashback
keyword	reconciliation
keyword	fantasy sequence
keyword	baldness
keyword	black woman
keyword	affection
keyword	long hair
keyword	employer employee relationship
keyword	love interest
keyword	college student
keyword	falling in love
keyword	hugging
keyword	headphones
keyword	nightclub
keyword	1990s
keyword	wrath
keyword	high school student
keyword	fat man
keyword	heavy rain
keyword	kissing
keyword	sex in car
keyword	kiss
keyword	fondling
keyword	telephone call
keyword	store manager
keyword	campus
keyword	desire
keyword	fear
keyword	reference to johnny cash
keyword	word play in title
keyword	friendship
keyword	captain beefheart album
keyword	pun in title
keyword	f word
keyword	record collection
keyword	street
keyword	no opening credits
keyword	juvenile delinquent
keyword	dumped by girlfriend
keyword	death of father
keyword	based on book
keyword	based on novel
keyword	
cast	John Cusack	Rob Gordon
cast	Iben Hjejle	Laura
cast	Todd Louiso	Dick
cast	Jack Black	Barry
cast	Lisa Bonet	Marie De Salle
cast	Catherine Zeta-Jones	Charlie Nicholson
cast	Joan Cusack	Liz
cast	Tim Robbins	Ian 'Ray' Raymond
cast	Chris Rehmann	Vince
cast	Ben Carr	Justin
cast	Lili Taylor	Sarah Kendrew
cast	Joelle Carter	Penny Hardwick
cast	Natasha Gregson Wagner	Caroline Fortis
cast	Shannon Stillo	Alison Jr. High
cast	Drake Bell	Rob Jr. High
cast	Laura Whyte	Laura's Mom
cast	Sara Gilbert	Anaugh
cast	Rich Talarico	Barry's Customer
cast	Matthew O'Neill	Beta Band Customer
cast	Brian Powell	Middle Aged Customer
cast	Margaret Travolta	Rob's Mom
cast	Jillian Peterson	Laura's Sister Jo
cast	Dick Cusack	Minister
cast	Susan Yoo	Girl - 19 Year Old
cast	Chris Bauer	Paul
cast	K.K. Dodds	Miranda
cast	Marilyn Dodds Frank	Alison's Mom
cast	Duke Doyle	Kevin Bannister
cast	Aaron Himelstein	Boy in Park
cast	Jonathan Herrington	Chris Thompson
cast	Daniel Lee Smith	Rock Guy
cast	Leah Gale	Mourner
cast	David Darlow	Mourner
cast	Erik Gundersen	Marco
cast	Bruce Springsteen	Himself
cast	Alex Désert	Louis
cast	Alan S. Johnson	Man in Store
cast	Ian Belknap	Party Guest
cast	Andrew Micheli	Party Guest
cast	Polly Noonan	Party Guest
cast	Philip Rayburn Smith	Party Guest
cast	Michele Graff	Party Guest
cast	Susie Cusack	Party Guest
cast	Liam Hayes	Piano Player
cast	Damian Rogers	Greenday Girl
cast	Robert A. Villanueva	Skateboarder
cast	Joe Spaulding	Flea Market Musician
cast	Scott A. Martin	Bartender
cast	Heather Norris	Laura's Friend
cast	Harold Ramis	Rob's Dad
cast	James Azrael	Glam Rocker
cast	Julie DiJohn	Rock Club Patron
cast	Jennifré DuMont	Pedestrian
cast	Mark Finney	Record Store Customer
cast	Reese Foster	Cafe' Patron
cast	Lisa Harrison	Cafe Patron
cast	Susan Hegarty	Voice of Laura's Mom
cast	Penny Marshall	Funeral Attendee - In Front of Rob
cast	Ian Michaels	Guy in Chem Lab
cast	Tristan Layne Tapscott	Guy on the Street
cast	Timothy W. Tiedje	Operator
cast	Ian Williams	Store customer
