year	2010
imdb score	8.2
meta score	74
genre	Adventure
genre	Animation
genre	Comedy
genre	Drama
genre	Family
genre	Fantasy
keyword	dragon
keyword	viking
keyword	night
keyword	friendship
keyword	village
keyword	ignorance
keyword	island
keyword	flight
keyword	battle
keyword	twin
keyword	kiss
keyword	ship
keyword	catapult
keyword	dreamworks animated film
keyword	blockbuster
keyword	shore
keyword	engineer
keyword	medieval times
keyword	montage
keyword	flying
keyword	fire
keyword	northern lights
keyword	battle axe
keyword	heavy rain
keyword	training
keyword	single parent
keyword	exploding body
keyword	fish
keyword	tough girl
keyword	creativity
keyword	axe
keyword	exploding building
keyword	misadventure
keyword	norse
keyword	female warrior
keyword	reptile
keyword	rescue
keyword	voice over narration
keyword	exploding ship
keyword	change of heart
keyword	parenting
keyword	sky
keyword	tavern
keyword	boy hero
keyword	instinct
keyword	fire breathing
keyword	bravery
keyword	action hero
keyword	cottage
keyword	forest
keyword	teenage girl
keyword	3 dimensional
keyword	computer animation
keyword	strong man
keyword	cave
keyword	helmet
keyword	council
keyword	viking dragon ship
keyword	scandinavia
keyword	lightning
keyword	reading
keyword	3d
keyword	explosion
keyword	father son relationship
keyword	trust
keyword	lake
keyword	showdown
keyword	no opening credits
keyword	scottish accent
keyword	teacher student relationship
keyword	warrior
keyword	fireball
keyword	waterfall
keyword	coming of age
keyword	teenage hero
keyword	sheep
keyword	close up of eyes
keyword	shield
keyword	teenage boy
keyword	disabilities
keyword	sword
keyword	hook for a hand
keyword	rescue from drowning
keyword	amputee
keyword	moon
keyword	artificial leg
keyword	underwater scene
keyword	studio logo segues into film
keyword	school
keyword	hammer
keyword	aurora borealis
keyword	escape
keyword	girlfriend
keyword	best friend
keyword	imax version
keyword	arena
keyword	boat
keyword	exploding house
keyword	water well
keyword	jealousy
keyword	attack
keyword	single father
keyword	kissing
keyword	five word title
keyword	combat
keyword	hit with a hammer
keyword	human animal relationship
keyword	blacksmith
keyword	bully
keyword	giant creature
keyword	no title at beginning
keyword	tough guy
keyword	teenager
keyword	animal
keyword	misunderstood
keyword	hand
keyword	castle
keyword	thor
keyword	warrior woman
keyword	brawl
keyword	rainstorm
keyword	belief in gods
keyword	falling from height
keyword	inventor
keyword	nest
keyword	critically acclaimed
keyword	volcano
keyword	fictional war
keyword	armada
keyword	lifting someone into the air
keyword	peg leg
keyword	based on novel
keyword	surprise ending
keyword	
cast	Jay Baruchel	Hiccup
cast	Gerard Butler	Stoick
cast	Craig Ferguson	Gobber
cast	America Ferrera	Astrid
cast	Jonah Hill	Snotlout
cast	Christopher Mintz-Plasse	Fishlegs
cast	T.J. Miller	Tuffnut
cast	Kristen Wiig	Ruffnut
cast	Robin Atkin Downes	Ack
cast	Philip McGrade	Starkard
cast	Kieron Elliott	Hoark the Haggard
cast	Ashley Jensen	Phlegma the Fierce
cast	David Tennant	Spitelout
