logline	In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.
tagline	Once upon a time in Nazi occupied France...
tagline	You haven't seen war untill you've seen it through the eyes of Quentin Tarantino.
tagline	If You Need Heroes, Send In The Basterds
tagline	Mélanie Laurent Is A Basterd
tagline	An Inglorious, Uproarious Thrill-Ride of Vengeance.
tagline	"We're in the Nazi killin' business and cousin, business is a-boomin'."
tagline	A basterd's work is never done.
tagline	Brad Pitt Is A Basterd
tagline	"Can you Americans speak any other language than English?"
tagline	"I love my unofficial title, precisely because I have earned it."
tagline	"...because, Marcel, my sweet, we're going to make a film, just for the Nazis."
tagline	Diane Kruger Is A Basterd
tagline	Til Schweiger Is A Basterd
tagline	Eli Roth Is A Basterd
